name,year,month,infection,forest cover,population,area,oro_temp,juntamoji_temp,debesuotumas,slegis_juros_lyg,santyk_oro_dregme,kritutliu_kiekis
Biržų r. sav.,2004,3,1,26.3,34266.0,1476.0,,,,,,
Kupiškio r. sav.,2004,3,0,27.9,23865.0,1080.0,,,,,,
Panevėžio r. sav.,2004,3,1,33.9,42588.0,2177.0,,,,,,
Pasvalio r. sav.,2004,3,0,16.5,33629.0,1289.0,,,,,,
Rokiškio r. sav.,2004,3,5,27.9,40832.0,1806.0,,,,,,
Šiaulių apskritis,2004,3,6,25.8,357441.0,8537.0,,,,,,
Šiaulių m. sav.,2004,3,4,15.0,127805.0,82.0,,,,,,
Akmenės r. sav.,2004,3,0,32.1,28951.0,844.0,,,,,,
Joniškio r. sav.,2004,3,0,18.4,31012.0,1152.0,,,,,,
Kelmės r. sav.,2004,3,1,26.2,39498.0,1705.0,,,,,,
Radviliškio r. sav.,2004,3,0,25.7,50638.0,1634.0,,,,,,
Šiaulių r. sav.,2004,3,1,32.6,51002.0,1806.0,,,,,,
Tauragės apskritis,2004,3,0,31.7,130179.0,4408.0,,,,,,
Jurbarko r. sav.,2004,3,0,38.0,36314.0,1506.0,,,,,,
Šilalės r. sav.,2004,3,0,24.0,30768.0,1188.0,,,,,,
Tauragės r. sav.,2004,3,0,38.5,51352.0,1179.0,,,,,,
Telšių apskritis,2004,3,4,32.9,175090.0,4349.0,,,,,,
Mažeikių r. sav.,2004,3,1,29.3,65831.0,1220.0,,,,,,
Plungės r. sav.,2004,3,0,32.7,43349.0,1105.0,,,,,,
Telšių r. sav.,2004,3,3,29.7,55587.0,1439.0,,,,,,
Utenos apskritis,2004,3,6,32.8,178637.0,7191.0,,,,,,
Visagino sav.,2004,3,0,56.0,27915.0,58.0,,,,,,
Anykščių r. sav.,2004,3,3,30.3,33783.0,1764.0,,,,,,
Ignalinos r. sav.,2004,3,0,35.5,21944.0,1441.0,,,,,,
Molėtų r. sav.,2004,3,0,28.5,24268.0,1367.0,,,,,,
Utenos r. sav.,2004,3,3,31.8,48800.0,1230.0,,,,,,
Zarasų r. sav.,2004,3,0,37.2,21927.0,1331.0,,,,,,
Vilniaus apskritis,2004,3,6,41.9,841748.0,9730.0,,,,,,
Šalčininkų r. sav.,2004,3,0,46.2,38205.0,1493.0,,,,,,
