"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2019","Miškingumas","Švenčionių r. sav.","proc.","60.2"
"2020","Miškingumas","Švenčionių r. sav.","proc.","60.3"
"2021","Miškingumas","Švenčionių r. sav.","proc.","60.5"
"2022","Miškingumas","Švenčionių r. sav.","proc.","60.6"
"2023","Miškingumas","Švenčionių r. sav.","proc.","60.7"
"2024","Miškingumas","Švenčionių r. sav.","proc.","60.3"
"2004","Miškingumas","Trakų r. sav.","proc.","47.5"
"2005","Miškingumas","Trakų r. sav.","proc.","47.7"
"2006","Miškingumas","Trakų r. sav.","proc.","47.7"
"2007","Miškingumas","Trakų r. sav.","proc.","47.7"
"2008","Miškingumas","Trakų r. sav.","proc.","47.7"
"2009","Miškingumas","Trakų r. sav.","proc.","47.7"
"2010","Miškingumas","Trakų r. sav.","proc.","49.6"
"2011","Miškingumas","Trakų r. sav.","proc.","49.7"
"2012","Miškingumas","Trakų r. sav.","proc.","49.7"
"2013","Miškingumas","Trakų r. sav.","proc.","49.8"
"2014","Miškingumas","Trakų r. sav.","proc.","49.9"
"2015","Miškingumas","Trakų r. sav.","proc.","49.9"
"2016","Miškingumas","Trakų r. sav.","proc.","49.9"
"2017","Miškingumas","Trakų r. sav.","proc.","50.3"
"2018","Miškingumas","Trakų r. sav.","proc.","50.5"
"2019","Miškingumas","Trakų r. sav.","proc.","50.5"
"2020","Miškingumas","Trakų r. sav.","proc.","50.5"
"2021","Miškingumas","Trakų r. sav.","proc.","51.4"
"2022","Miškingumas","Trakų r. sav.","proc.","50.1"
"2023","Miškingumas","Trakų r. sav.","proc.","50.2"
"2024","Miškingumas","Trakų r. sav.","proc.","50.0"
"2004","Miškingumas","Ukmergės r. sav.","proc.","31.3"
"2005","Miškingumas","Ukmergės r. sav.","proc.","31.4"
"2006","Miškingumas","Ukmergės r. sav.","proc.","31.4"
"2007","Miškingumas","Ukmergės r. sav.","proc.","31.4"
"2008","Miškingumas","Ukmergės r. sav.","proc.","32.6"
"2009","Miškingumas","Ukmergės r. sav.","proc.","32.4"
"2010","Miškingumas","Ukmergės r. sav.","proc.","32.4"
"2011","Miškingumas","Ukmergės r. sav.","proc.","32.4"
"2012","Miškingumas","Ukmergės r. sav.","proc.","32.4"
"2013","Miškingumas","Ukmergės r. sav.","proc.","32.4"
"2014","Miškingumas","Ukmergės r. sav.","proc.","32.5"
"2015","Miškingumas","Ukmergės r. sav.","proc.","32.6"
"2016","Miškingumas","Ukmergės r. sav.","proc.","32.6"
"2017","Miškingumas","Ukmergės r. sav.","proc.","32.6"
"2018","Miškingumas","Ukmergės r. sav.","proc.","32.9"
"2019","Miškingumas","Ukmergės r. sav.","proc.","32.9"
"2020","Miškingumas","Ukmergės r. sav.","proc.","33.0"
"2021","Miškingumas","Ukmergės r. sav.","proc.","33.1"
"2022","Miškingumas","Ukmergės r. sav.","proc.","33.1"
"2023","Miškingumas","Ukmergės r. sav.","proc.","33.2"
"2024","Miškingumas","Ukmergės r. sav.","proc.","33.4"
"2004","Miškingumas","Vilniaus m. sav.","proc.","35.6"
"2005","Miškingumas","Vilniaus m. sav.","proc.","35.6"
"2006","Miškingumas","Vilniaus m. sav.","proc.","35.6"
"2007","Miškingumas","Vilniaus m. sav.","proc.","35.6"
