"Laikotarpis","Rodiklis","Administracinė teritorija","Matavimo vienetai","Reikšmė"
"2007","Miškingumas","Kėdainių r. sav.","proc.","25.6"
"2008","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2009","Miškingumas","Kėdainių r. sav.","proc.","25.6"
"2010","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2011","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2012","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2013","Miškingumas","Kėdainių r. sav.","proc.","25.1"
"2014","Miškingumas","Kėdainių r. sav.","proc.","25.1"
"2015","Miškingumas","Kėdainių r. sav.","proc.","25.1"
"2016","Miškingumas","Kėdainių r. sav.","proc.","25.0"
"2017","Miškingumas","Kėdainių r. sav.","proc.","25.0"
"2018","Miškingumas","Kėdainių r. sav.","proc.","25.1"
"2019","Miškingumas","Kėdainių r. sav.","proc.","25.1"
"2020","Miškingumas","Kėdainių r. sav.","proc.","25.1"
"2021","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2022","Miškingumas","Kėdainių r. sav.","proc.","25.5"
"2023","Miškingumas","Kėdainių r. sav.","proc.","25.6"
"2024","Miškingumas","Kėdainių r. sav.","proc.","25.8"
"2004","Miškingumas","Prienų r. sav.","proc.","27.4"
"2005","Miškingumas","Prienų r. sav.","proc.","27.6"
"2006","Miškingumas","Prienų r. sav.","proc.","27.6"
"2007","Miškingumas","Prienų r. sav.","proc.","27.6"
"2008","Miškingumas","Prienų r. sav.","proc.","27.6"
"2009","Miškingumas","Prienų r. sav.","proc.","27.7"
"2010","Miškingumas","Prienų r. sav.","proc.","27.7"
"2011","Miškingumas","Prienų r. sav.","proc.","27.7"
"2012","Miškingumas","Prienų r. sav.","proc.","27.7"
"2013","Miškingumas","Prienų r. sav.","proc.","27.8"
"2014","Miškingumas","Prienų r. sav.","proc.","27.7"
"2015","Miškingumas","Prienų r. sav.","proc.","27.7"
"2016","Miškingumas","Prienų r. sav.","proc.","27.7"
"2017","Miškingumas","Prienų r. sav.","proc.","27.7"
"2018","Miškingumas","Prienų r. sav.","proc.","27.8"
"2019","Miškingumas","Prienų r. sav.","proc.","27.8"
"2020","Miškingumas","Prienų r. sav.","proc.","27.8"
"2021","Miškingumas","Prienų r. sav.","proc.","27.8"
"2022","Miškingumas","Prienų r. sav.","proc.","27.8"
"2023","Miškingumas","Prienų r. sav.","proc.","27.8"
"2024","Miškingumas","Prienų r. sav.","proc.","27.8"
"2004","Miškingumas","Raseinių r. sav.","proc.","22.9"
"2005","Miškingumas","Raseinių r. sav.","proc.","23.0"
"2006","Miškingumas","Raseinių r. sav.","proc.","23.3"
"2007","Miškingumas","Raseinių r. sav.","proc.","23.3"
"2008","Miškingumas","Raseinių r. sav.","proc.","23.4"
"2009","Miškingumas","Raseinių r. sav.","proc.","23.4"
"2010","Miškingumas","Raseinių r. sav.","proc.","23.4"
"2011","Miškingumas","Raseinių r. sav.","proc.","23.4"
"2012","Miškingumas","Raseinių r. sav.","proc.","23.4"
"2013","Miškingumas","Raseinių r. sav.","proc.","23.4"
"2014","Miškingumas","Raseinių r. sav.","proc.","23.7"
"2015","Miškingumas","Raseinių r. sav.","proc.","23.8"
"2016","Miškingumas","Raseinių r. sav.","proc.","23.8"
"2017","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2018","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2019","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2020","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2021","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2022","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2023","Miškingumas","Raseinių r. sav.","proc.","24.0"
"2024","Miškingumas","Raseinių r. sav.","proc.","24.2"
"2004","Miškingumas","Klaipėdos apskritis","proc.","24.7"
"2005","Miškingumas","Klaipėdos apskritis","proc.","26.3"
"2006","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2007","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2008","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2009","Miškingumas","Klaipėdos apskritis","proc.","26.4"
"2010","Miškingumas","Klaipėdos apskritis","proc.","26.4"
"2011","Miškingumas","Klaipėdos apskritis","proc.","26.4"
"2012","Miškingumas","Klaipėdos apskritis","proc.","26.4"
"2013","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2014","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2015","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2016","Miškingumas","Klaipėdos apskritis","proc.","26.6"
"2017","Miškingumas","Klaipėdos apskritis","proc.","26.6"
"2018","Miškingumas","Klaipėdos apskritis","proc.","26.6"
"2019","Miškingumas","Klaipėdos apskritis","proc.","26.6"
"2020","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2021","Miškingumas","Klaipėdos apskritis","proc.","26.5"
"2022","Miškingumas","Klaipėdos apskritis","proc.","26.6"
"2023","Miškingumas","Klaipėdos apskritis","proc.","26.6"
"2024","Miškingumas","Klaipėdos apskritis","proc.","26.7"
"2004","Miškingumas","Klaipėdos m. sav.","proc.","16.3"
"2005","Miškingumas","Klaipėdos m. sav.","proc.","20.5"
"2006","Miškingumas","Klaipėdos m. sav.","proc.","20.6"
"2007","Miškingumas","Klaipėdos m. sav.","proc.","20.6"
"2008","Miškingumas","Klaipėdos m. sav.","proc.","20.6"
"2009","Miškingumas","Klaipėdos m. sav.","proc.","20.6"
"2010","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2011","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2012","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2013","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2014","Miškingumas","Klaipėdos m. sav.","proc.","19.8"
"2015","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2016","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2017","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2018","Miškingumas","Klaipėdos m. sav.","proc.","19.8"
"2019","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2020","Miškingumas","Klaipėdos m. sav.","proc.","19.8"
"2021","Miškingumas","Klaipėdos m. sav.","proc.","19.8"
"2022","Miškingumas","Klaipėdos m. sav.","proc.","19.8"
"2023","Miškingumas","Klaipėdos m. sav.","proc.","19.9"
"2024","Miškingumas","Klaipėdos m. sav.","proc.","19.8"
"2004","Miškingumas","Klaipėdos r. sav.","proc.","23.8"
"2005","Miškingumas","Klaipėdos r. sav.","proc.","25.9"
"2006","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2007","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2008","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2009","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2010","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2011","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2012","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2013","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2014","Miškingumas","Klaipėdos r. sav.","proc.","26.0"
"2015","Miškingumas","Klaipėdos r. sav.","proc.","26.4"
"2016","Miškingumas","Klaipėdos r. sav.","proc.","26.4"
"2017","Miškingumas","Klaipėdos r. sav.","proc.","26.4"
"2018","Miškingumas","Klaipėdos r. sav.","proc.","26.5"
"2019","Miškingumas","Klaipėdos r. sav.","proc.","26.5"
"2020","Miškingumas","Klaipėdos r. sav.","proc.","26.5"
"2021","Miškingumas","Klaipėdos r. sav.","proc.","26.4"
"2022","Miškingumas","Klaipėdos r. sav.","proc.","26.5"
"2023","Miškingumas","Klaipėdos r. sav.","proc.","26.5"
"2024","Miškingumas","Klaipėdos r. sav.","proc.","26.6"
"2004","Miškingumas","Kretingos r. sav.","proc.","33.1"
"2005","Miškingumas","Kretingos r. sav.","proc.","34.4"
"2006","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2007","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2008","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2009","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2010","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2011","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2012","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2013","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2014","Miškingumas","Kretingos r. sav.","proc.","34.6"
"2015","Miškingumas","Kretingos r. sav.","proc.","34.9"
"2016","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2017","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2018","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2019","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2020","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2021","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2022","Miškingumas","Kretingos r. sav.","proc.","34.9"
"2023","Miškingumas","Kretingos r. sav.","proc.","35.0"
"2024","Miškingumas","Kretingos r. sav.","proc.","35.1"
"2004","Miškingumas","Neringos sav.","proc.","84.1"
"2005","Miškingumas","Neringos sav.","proc.","84.1"
"2006","Miškingumas","Neringos sav.","proc.","84.1"
"2007","Miškingumas","Neringos sav.","proc.","84.1"
"2008","Miškingumas","Neringos sav.","proc.","84.1"
"2009","Miškingumas","Neringos sav.","proc.","83.0"
"2010","Miškingumas","Neringos sav.","proc.","83.0"
"2011","Miškingumas","Neringos sav.","proc.","83.0"
"2012","Miškingumas","Neringos sav.","proc.","83.0"
"2013","Miškingumas","Neringos sav.","proc.","83.0"
"2014","Miškingumas","Neringos sav.","proc.","82.5"
"2015","Miškingumas","Neringos sav.","proc.","53.5"
"2016","Miškingumas","Neringos sav.","proc.","53.7"
"2017","Miškingumas","Neringos sav.","proc.","53.7"
"2018","Miškingumas","Neringos sav.","proc.","53.7"
"2019","Miškingumas","Neringos sav.","proc.","53.7"
"2020","Miškingumas","Neringos sav.","proc.","53.7"
"2021","Miškingumas","Neringos sav.","proc.","53.1"
"2022","Miškingumas","Neringos sav.","proc.","53.1"
"2023","Miškingumas","Neringos sav.","proc.","53.2"
"2024","Miškingumas","Neringos sav.","proc.","53.0"
"2004","Miškingumas","Palangos m. sav.","proc.","39.9"
"2005","Miškingumas","Palangos m. sav.","proc.","40.1"
"2006","Miškingumas","Palangos m. sav.","proc.","39.9"
"2007","Miškingumas","Palangos m. sav.","proc.","39.9"
"2008","Miškingumas","Palangos m. sav.","proc.","39.9"
"2009","Miškingumas","Palangos m. sav.","proc.","39.9"
"2010","Miškingumas","Palangos m. sav.","proc.","40.0"
"2011","Miškingumas","Palangos m. sav.","proc.","40.0"
"2012","Miškingumas","Palangos m. sav.","proc.","40.0"
"2013","Miškingumas","Palangos m. sav.","proc.","40.0"
"2014","Miškingumas","Palangos m. sav.","proc.","40.0"
"2015","Miškingumas","Palangos m. sav.","proc.","39.2"
"2016","Miškingumas","Palangos m. sav.","proc.","39.3"
"2017","Miškingumas","Palangos m. sav.","proc.","39.3"
"2018","Miškingumas","Palangos m. sav.","proc.","39.3"
"2019","Miškingumas","Palangos m. sav.","proc.","39.3"
"2020","Miškingumas","Palangos m. sav.","proc.","39.3"
"2021","Miškingumas","Palangos m. sav.","proc.","39.3"
"2022","Miškingumas","Palangos m. sav.","proc.","39.3"
"2023","Miškingumas","Palangos m. sav.","proc.","39.3"
"2024","Miškingumas","Palangos m. sav.","proc.","39.4"
"2004","Miškingumas","Skuodo r. sav.","proc.","15.4"
"2005","Miškingumas","Skuodo r. sav.","proc.","19.5"
"2006","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2007","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2008","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2009","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2010","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2011","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2012","Miškingumas","Skuodo r. sav.","proc.","19.8"
"2013","Miškingumas","Skuodo r. sav.","proc.","20.0"
"2014","Miškingumas","Skuodo r. sav.","proc.","10.6"
"2015","Miškingumas","Skuodo r. sav.","proc.","10.9"
"2016","Miškingumas","Skuodo r. sav.","proc.","10.9"
"2017","Miškingumas","Skuodo r. sav.","proc.","10.9"
"2018","Miškingumas","Skuodo r. sav.","proc.","10.9"
"2019","Miškingumas","Skuodo r. sav.","proc.","10.9"
"2020","Miškingumas","Skuodo r. sav.","proc.","20.1"
"2021","Miškingumas","Skuodo r. sav.","proc.","20.1"
"2022","Miškingumas","Skuodo r. sav.","proc.","20.1"
"2023","Miškingumas","Skuodo r. sav.","proc.","20.1"
"2024","Miškingumas","Skuodo r. sav.","proc.","20.2"
"2004","Miškingumas","Šilutės r. sav.","proc.","22.1"
"2005","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2006","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2007","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2008","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2009","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2010","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2011","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2012","Miškingumas","Šilutės r. sav.","proc.","22.3"
"2013","Miškingumas","Šilutės r. sav.","proc.","22.4"
"2014","Miškingumas","Šilutės r. sav.","proc.","42.2"
"2015","Miškingumas","Šilutės r. sav.","proc.","42.1"
"2016","Miškingumas","Šilutės r. sav.","proc.","42.1"
"2017","Miškingumas","Šilutės r. sav.","proc.","42.1"
"2018","Miškingumas","Šilutės r. sav.","proc.","42.1"
"2019","Miškingumas","Šilutės r. sav.","proc.","42.1"
"2020","Miškingumas","Šilutės r. sav.","proc.","22.7"
"2021","Miškingumas","Šilutės r. sav.","proc.","22.7"
"2022","Miškingumas","Šilutės r. sav.","proc.","22.7"
"2023","Miškingumas","Šilutės r. sav.","proc.","22.7"
"2024","Miškingumas","Šilutės r. sav.","proc.","22.9"
"2004","Miškingumas","Marijampolės apskritis","proc.","21.6"
"2005","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2006","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2007","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2008","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2009","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2010","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2011","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2012","Miškingumas","Marijampolės apskritis","proc.","21.7"
"2013","Miškingumas","Marijampolės apskritis","proc.","21.9"
"2014","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2015","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2016","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2017","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2018","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2019","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2020","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2021","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2022","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2023","Miškingumas","Marijampolės apskritis","proc.","22.0"
"2024","Miškingumas","Marijampolės apskritis","proc.","22.1"
"2004","Miškingumas","Kalvarijos sav.","proc.","13.0"
"2005","Miškingumas","Kalvarijos sav.","proc.","13.0"
"2006","Miškingumas","Kalvarijos sav.","proc.","13.0"
"2007","Miškingumas","Kalvarijos sav.","proc.","13.0"
"2008","Miškingumas","Kalvarijos sav.","proc.","13.1"
"2009","Miškingumas","Kalvarijos sav.","proc.","13.1"
"2010","Miškingumas","Kalvarijos sav.","proc.","13.1"
"2011","Miškingumas","Kalvarijos sav.","proc.","13.1"
"2012","Miškingumas","Kalvarijos sav.","proc.","13.1"
"2013","Miškingumas","Kalvarijos sav.","proc.","14.2"
"2014","Miškingumas","Kalvarijos sav.","proc.","14.2"
"2015","Miškingumas","Kalvarijos sav.","proc.","14.2"
"2016","Miškingumas","Kalvarijos sav.","proc.","14.2"
"2017","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2018","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2019","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2020","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2021","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2022","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2023","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2024","Miškingumas","Kalvarijos sav.","proc.","14.4"
"2004","Miškingumas","Kazlų Rūdos sav.","proc.","59.2"
"2005","Miškingumas","Kazlų Rūdos sav.","proc.","59.4"
"2006","Miškingumas","Kazlų Rūdos sav.","proc.","59.4"
"2007","Miškingumas","Kazlų Rūdos sav.","proc.","59.4"
"2008","Miškingumas","Kazlų Rūdos sav.","proc.","59.5"
"2009","Miškingumas","Kazlų Rūdos sav.","proc.","59.5"
"2010","Miškingumas","Kazlų Rūdos sav.","proc.","59.5"
"2011","Miškingumas","Kazlų Rūdos sav.","proc.","59.5"
"2012","Miškingumas","Kazlų Rūdos sav.","proc.","59.5"
"2013","Miškingumas","Kazlų Rūdos sav.","proc.","59.2"
"2014","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2015","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2016","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2017","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2018","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2019","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2020","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2021","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2022","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2023","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2024","Miškingumas","Kazlų Rūdos sav.","proc.","60.0"
"2004","Miškingumas","Marijampolės sav.","proc.","15.2"
"2005","Miškingumas","Marijampolės sav.","proc.","15.3"
"2006","Miškingumas","Marijampolės sav.","proc.","15.3"
"2007","Miškingumas","Marijampolės sav.","proc.","15.3"
"2008","Miškingumas","Marijampolės sav.","proc.","15.3"
"2009","Miškingumas","Marijampolės sav.","proc.","15.3"
"2010","Miškingumas","Marijampolės sav.","proc.","15.3"
"2011","Miškingumas","Marijampolės sav.","proc.","15.3"
"2012","Miškingumas","Marijampolės sav.","proc.","15.3"
"2013","Miškingumas","Marijampolės sav.","proc.","15.4"
"2014","Miškingumas","Marijampolės sav.","proc.","15.4"
"2015","Miškingumas","Marijampolės sav.","proc.","15.4"
"2016","Miškingumas","Marijampolės sav.","proc.","15.3"
"2017","Miškingumas","Marijampolės sav.","proc.","15.3"
"2018","Miškingumas","Marijampolės sav.","proc.","15.3"
"2019","Miškingumas","Marijampolės sav.","proc.","15.3"
"2020","Miškingumas","Marijampolės sav.","proc.","15.3"
"2021","Miškingumas","Marijampolės sav.","proc.","15.3"
"2022","Miškingumas","Marijampolės sav.","proc.","15.3"
"2023","Miškingumas","Marijampolės sav.","proc.","15.4"
"2024","Miškingumas","Marijampolės sav.","proc.","15.4"
"2004","Miškingumas","Marijampolės r. sav.","proc.",
"2005","Miškingumas","Marijampolės r. sav.","proc.",
"2006","Miškingumas","Marijampolės r. sav.","proc.",
"2007","Miškingumas","Marijampolės r. sav.","proc.",
"2008","Miškingumas","Marijampolės r. sav.","proc.",
"2009","Miškingumas","Marijampolės r. sav.","proc.",
"2010","Miškingumas","Marijampolės r. sav.","proc.",
"2011","Miškingumas","Marijampolės r. sav.","proc.",
"2012","Miškingumas","Marijampolės r. sav.","proc.",
"2013","Miškingumas","Marijampolės r. sav.","proc.",
"2014","Miškingumas","Marijampolės r. sav.","proc.",
"2015","Miškingumas","Marijampolės r. sav.","proc.",
"2016","Miškingumas","Marijampolės r. sav.","proc.",
"2017","Miškingumas","Marijampolės r. sav.","proc.",
"2018","Miškingumas","Marijampolės r. sav.","proc.",
"2019","Miškingumas","Marijampolės r. sav.","proc.",
"2020","Miškingumas","Marijampolės r. sav.","proc.",
"2021","Miškingumas","Marijampolės r. sav.","proc.",
"2022","Miškingumas","Marijampolės r. sav.","proc.",
"2023","Miškingumas","Marijampolės r. sav.","proc.","0.0"
"2024","Miškingumas","Marijampolės r. sav.","proc.",
"2004","Miškingumas","Šakių r. sav.","proc.","22.8"
"2005","Miškingumas","Šakių r. sav.","proc.","22.9"
"2006","Miškingumas","Šakių r. sav.","proc.","22.9"
"2007","Miškingumas","Šakių r. sav.","proc.","22.9"
"2008","Miškingumas","Šakių r. sav.","proc.","22.9"
"2009","Miškingumas","Šakių r. sav.","proc.","22.9"
"2010","Miškingumas","Šakių r. sav.","proc.","22.9"
"2011","Miškingumas","Šakių r. sav.","proc.","22.9"
"2012","Miškingumas","Šakių r. sav.","proc.","22.9"
"2013","Miškingumas","Šakių r. sav.","proc.","22.9"
"2014","Miškingumas","Šakių r. sav.","proc.","23.0"
"2015","Miškingumas","Šakių r. sav.","proc.","23.0"
"2016","Miškingumas","Šakių r. sav.","proc.","23.0"
"2017","Miškingumas","Šakių r. sav.","proc.","23.0"
"2018","Miškingumas","Šakių r. sav.","proc.","23.0"
"2019","Miškingumas","Šakių r. sav.","proc.","23.0"
"2020","Miškingumas","Šakių r. sav.","proc.","23.0"
"2021","Miškingumas","Šakių r. sav.","proc.","23.0"
"2022","Miškingumas","Šakių r. sav.","proc.","23.0"
"2023","Miškingumas","Šakių r. sav.","proc.","23.1"
"2024","Miškingumas","Šakių r. sav.","proc.","23.1"
"2004","Miškingumas","Vilkaviškio r. sav.","proc.","10.5"
"2005","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2006","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2007","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2008","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2009","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2010","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2011","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2012","Miškingumas","Vilkaviškio r. sav.","proc.","10.6"
"2013","Miškingumas","Vilkaviškio r. sav.","proc.","11.0"
"2014","Miškingumas","Vilkaviškio r. sav.","proc.","11.0"
"2015","Miškingumas","Vilkaviškio r. sav.","proc.","11.0"
"2016","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2017","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2018","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2019","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2020","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2021","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2022","Miškingumas","Vilkaviškio r. sav.","proc.","10.9"
"2023","Miškingumas","Vilkaviškio r. sav.","proc.","11.0"
"2024","Miškingumas","Vilkaviškio r. sav.","proc.","11.0"
"2004","Miškingumas","Panevėžio apskritis","proc.","27.2"
"2005","Miškingumas","Panevėžio apskritis","proc.","27.3"
"2006","Miškingumas","Panevėžio apskritis","proc.","27.4"
"2007","Miškingumas","Panevėžio apskritis","proc.","28.1"
"2008","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2009","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2010","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2011","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2012","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2013","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2014","Miškingumas","Panevėžio apskritis","proc.","28.2"
"2015","Miškingumas","Panevėžio apskritis","proc.","28.3"
"2016","Miškingumas","Panevėžio apskritis","proc.","28.3"
"2017","Miškingumas","Panevėžio apskritis","proc.","28.6"
"2018","Miškingumas","Panevėžio apskritis","proc.","28.7"
"2019","Miškingumas","Panevėžio apskritis","proc.","28.7"
"2020","Miškingumas","Panevėžio apskritis","proc.","28.8"
"2021","Miškingumas","Panevėžio apskritis","proc.","28.8"
"2022","Miškingumas","Panevėžio apskritis","proc.","28.3"
"2023","Miškingumas","Panevėžio apskritis","proc.","28.3"
"2024","Miškingumas","Panevėžio apskritis","proc.","28.9"
"2004","Miškingumas","Biržų r. sav.","proc.","26.3"
"2005","Miškingumas","Biržų r. sav.","proc.","26.3"
"2006","Miškingumas","Biržų r. sav.","proc.","26.3"
"2007","Miškingumas","Biržų r. sav.","proc.","27.6"
"2008","Miškingumas","Biržų r. sav.","proc.","27.2"
"2009","Miškingumas","Biržų r. sav.","proc.","27.2"
"2010","Miškingumas","Biržų r. sav.","proc.","27.2"
"2011","Miškingumas","Biržų r. sav.","proc.","27.1"
"2012","Miškingumas","Biržų r. sav.","proc.","27.1"
"2013","Miškingumas","Biržų r. sav.","proc.","27.1"
"2014","Miškingumas","Biržų r. sav.","proc.","27.2"
"2015","Miškingumas","Biržų r. sav.","proc.","27.2"
"2016","Miškingumas","Biržų r. sav.","proc.","27.2"
"2017","Miškingumas","Biržų r. sav.","proc.","27.9"
"2018","Miškingumas","Biržų r. sav.","proc.","27.7"
"2019","Miškingumas","Biržų r. sav.","proc.","27.7"
"2020","Miškingumas","Biržų r. sav.","proc.","27.7"
"2021","Miškingumas","Biržų r. sav.","proc.","27.7"
"2022","Miškingumas","Biržų r. sav.","proc.","27.8"
"2023","Miškingumas","Biržų r. sav.","proc.","27.8"
"2024","Miškingumas","Biržų r. sav.","proc.","27.9"
"2004","Miškingumas","Kupiškio r. sav.","proc.","27.9"
"2005","Miškingumas","Kupiškio r. sav.","proc.","28.1"
"2006","Miškingumas","Kupiškio r. sav.","proc.","28.1"
"2007","Miškingumas","Kupiškio r. sav.","proc.","29.6"
"2008","Miškingumas","Kupiškio r. sav.","proc.","29.3"
"2009","Miškingumas","Kupiškio r. sav.","proc.","29.3"
"2010","Miškingumas","Kupiškio r. sav.","proc.","29.3"
"2011","Miškingumas","Kupiškio r. sav.","proc.","29.3"
"2012","Miškingumas","Kupiškio r. sav.","proc.","29.3"
"2013","Miškingumas","Kupiškio r. sav.","proc.","29.4"
"2014","Miškingumas","Kupiškio r. sav.","proc.","29.4"
"2015","Miškingumas","Kupiškio r. sav.","proc.","29.5"
"2016","Miškingumas","Kupiškio r. sav.","proc.","29.5"
"2017","Miškingumas","Kupiškio r. sav.","proc.","29.9"
"2018","Miškingumas","Kupiškio r. sav.","proc.","30.0"
"2019","Miškingumas","Kupiškio r. sav.","proc.","30.0"
"2020","Miškingumas","Kupiškio r. sav.","proc.","30.0"
"2021","Miškingumas","Kupiškio r. sav.","proc.","30.0"
"2022","Miškingumas","Kupiškio r. sav.","proc.","30.0"
"2023","Miškingumas","Kupiškio r. sav.","proc.","30.1"
"2024","Miškingumas","Kupiškio r. sav.","proc.","30.1"
"2004","Miškingumas","Panevėžio m. sav.","proc.","0.6"
"2005","Miškingumas","Panevėžio m. sav.","proc.","0.6"
"2006","Miškingumas","Panevėžio m. sav.","proc.","0.6"
"2007","Miškingumas","Panevėžio m. sav.","proc.","2.7"
"2008","Miškingumas","Panevėžio m. sav.","proc.","2.2"
"2009","Miškingumas","Panevėžio m. sav.","proc.","2.2"
"2010","Miškingumas","Panevėžio m. sav.","proc.","2.2"
"2011","Miškingumas","Panevėžio m. sav.","proc.","2.2"
"2012","Miškingumas","Panevėžio m. sav.","proc.","2.2"
"2013","Miškingumas","Panevėžio m. sav.","proc.","2.2"
