"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41595"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41248"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41498"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41490"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Jonavos r. sav.","Miestas ir kaimas","asmenys","41595"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","37117"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","36732"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","36217"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","35970"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","35571"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","35174"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","34795"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","33920"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","33389"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","33050"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","32608"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","32228"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","31890"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","31299"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","30835"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","30569"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","30208"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29835"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29297"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29817"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","29055"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Kaišiadorių r. sav.","Miestas ir kaimas","asmenys","28553"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","363952"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","356954"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","348506"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","343932"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","339535"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","335393"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","329542"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","317319"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","310773"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","307662"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","305111"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","303101"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","299982"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","296078"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","292823"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","292451"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","294943"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","298753"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","297906"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","302875"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","304177"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Kauno m. sav.","Miestas ir kaimas","asmenys","304114"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","83167"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","83200"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","83091"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","83346"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","83946"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","85752"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","86978"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","85922"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","86109"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","85777"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","85893"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","86593"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","87001"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","87824"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","88825"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","90545"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","91688"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","92400"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","95491"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","100500"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","106261"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Kauno r. sav.","Miestas ir kaimas","asmenys","109614"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","63692"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","62551"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","60352"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","59253"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","58226"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","57399"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","56025"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","54254"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","52911"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","52162"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","51297"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","50591"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","49783"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","48786"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","47694"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","47139"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","46730"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","46382"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45913"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45997"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45910"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Kėdainių r. sav.","Miestas ir kaimas","asmenys","45554"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","34438"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","33866"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","33060"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","32421"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","31807"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","31457"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","30989"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","29936"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","29365"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","29011"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","28530"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","28150"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","27697"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","27161"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","26482"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","26034"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","25727"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","25286"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","25010"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","24926"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","24674"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Prienų r. sav.","Miestas ir kaimas","asmenys","24514"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","42958"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","42282"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","41530"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","40996"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","40361"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","39647"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","38852"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","37628"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","36846"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","36529"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","36144"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","35602"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","34816"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","33945"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","32959"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","32373"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","31729"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","31192"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","30620"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","30167"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","29774"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Raseinių r. sav.","Miestas ir kaimas","asmenys","29466"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","376854"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","372541"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","364486"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","360434"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","357201"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","355084"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","350306"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","340047"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","334744"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","331495"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","328931"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","327425"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","325066"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","321441"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","318624"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","318729"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","320684"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","322283"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","324263"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","334281"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","339831"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos apskritis","Miestas ir kaimas","asmenys","343862"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","186811"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","183627"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","178380"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","175389"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","172686"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","170699"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","168134"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","162898"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","160142"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","158883"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","158074"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","157431"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","156090"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","153783"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","151917"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","151178"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","152177"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","152008"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","152237"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","156745"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","159279"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos m. sav.","Miestas ir kaimas","asmenys","160979"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","47367"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","48104"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","48488"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","49293"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","50488"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","51690"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","51843"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","51279"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","51405"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","50913"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","50524"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","50678"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","50843"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","51289"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","52150"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","53668"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","54986"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","56964"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","59419"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","63990"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","67259"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Klaipėdos r. sav.","Miestas ir kaimas","asmenys","69256"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","45454"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","45119"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","44423"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","44187"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","43786"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","43573"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","42607"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","41461"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","40880"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","40609"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","40222"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","39939"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","39383"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","38789"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","38219"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37846"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37672"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37639"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37404"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37554"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37442"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Kretingos r. sav.","Miestas ir kaimas","asmenys","37426"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2244"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2316"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2230"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2204"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2300"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2477"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2403"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2564"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Neringos sav.","Miestas ir kaimas","asmenys","2641"
