"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","34175"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","33909"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","33420"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","32978"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","32525"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","31862"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","31363"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","31079"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30503"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","30052"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29699"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29760"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29863"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Šalčininkų r. sav.","Miestas ir kaimas","asmenys","29822"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","19677"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","19529"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","19239"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","18999"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","18752"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","18461"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","18166"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","17659"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","17225"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","16938"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","16645"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","16378"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","16158"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","16020"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15767"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15597"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15240"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","15023"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","14889"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","14857"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","14671"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Širvintų r. sav.","Miestas ir kaimas","asmenys","14577"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","32002"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","31436"
"2006","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","30690"
"2007","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","30148"
"2008","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","29613"
"2009","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","29218"
"2010","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","28690"
"2011","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","27961"
"2012","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","27434"
"2013","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","26926"
"2014","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","26346"
"2015","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","25869"
"2016","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","25347"
"2017","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","24828"
"2018","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","24238"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","23759"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","23352"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22966"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22478"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","22227"
"2024","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","21792"
"2025","Nuolatinių gyventojų skaičius metų pradžioje","Švenčionių r. sav.","Miestas ir kaimas","asmenys","21459"
"2004","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","36916"
"2005","Nuolatinių gyventojų skaičius metų pradžioje","Trakų r. sav.","Miestas ir kaimas","asmenys","36712"
