name,year,month,infection
Alytaus apskritis,2007,1,4
Alytaus m. sav.,2007,1,4
Druskininkų sav.,2007,1,0
Alytaus r. sav.,2007,1,0
Lazdijų r. sav.,2007,1,0
Varėnos r. sav.,2007,1,0
Kauno apskritis,2007,1,18
Kauno m. sav.,2007,1,9
Jonavos r. sav.,2007,1,2
Kaišiadorių r. sav.,2007,1,0
Kauno r. sav.,2007,1,4
Kėdainių r. sav.,2007,1,1
Prienų r. sav.,2007,1,0
Raseinių r. sav.,2007,1,2
Klaipėdos apskritis,2007,1,3
Klaipėdos m. sav.,2007,1,1
Palangos m. sav.,2007,1,0
Klaipėdos r. sav.,2007,1,0
Kretingos r. sav.,2007,1,0
Skuodo r. sav.,2007,1,0
Šilutės r. sav.,2007,1,2
Marijampolės apskritis,2007,1,0
Marijampolės r. sav.,2007,1,0
Šakių r. sav.,2007,1,0
Vilkaviškio r. sav.,2007,1,0
Panevėžio apskritis,2007,1,15
Panevėžio m. sav.,2007,1,6
Biržų r. sav.,2007,1,0
Kupiškio r. sav.,2007,1,2
Panevėžio r. sav.,2007,1,4
Pasvalio r. sav.,2007,1,1
Rokiškio r. sav.,2007,1,2
Šiaulių apskritis,2007,1,11
Šiaulių m. sav.,2007,1,6
Akmenės r. sav.,2007,1,0
Joniškio r. sav.,2007,1,0
Kelmės r. sav.,2007,1,1
Radviliškio r. sav.,2007,1,1
Šiaulių r. sav.,2007,1,3
Tauragės apskritis,2007,1,7
Jurbarko r. sav.,2007,1,0
Šilalės r. sav.,2007,1,0
Tauragės r. sav.,2007,1,7
Telšių apskritis,2007,1,9
Mažeikių r. sav.,2007,1,2
Plungės r. sav.,2007,1,1
Telšių r. sav.,2007,1,6
Utenos apskritis,2007,1,2
Visagino sav.,2007,1,0
Anykščių r. sav.,2007,1,0
Ignalinos r. sav.,2007,1,0
Molėtų r. sav.,2007,1,1
Utenos r. sav.,2007,1,0
Zarasų r. sav.,2007,1,1
Vilniaus apskritis,2007,1,23
Vilniaus m. sav.,2007,1,22
Šalčininkų r. sav.,2007,1,0
Širvintų r. sav.,2007,1,1
Švenčionių r. sav.,2007,1,0
Ukmergės r. sav.,2007,1,0
Vilniaus r. sav.,2007,1,0
Trakų r. sav.,2007,1,0
Alytaus apskritis,2007,2,1
Alytaus m. sav.,2007,2,1
Druskininkų sav.,2007,2,0
Alytaus r. sav.,2007,2,0
Lazdijų r. sav.,2007,2,0
Varėnos r. sav.,2007,2,0
Kauno apskritis,2007,2,3
Kauno m. sav.,2007,2,3
Jonavos r. sav.,2007,2,0
Kaišiadorių r. sav.,2007,2,0
Kauno r. sav.,2007,2,0
Kėdainių r. sav.,2007,2,0
Prienų r. sav.,2007,2,0
Raseinių r. sav.,2007,2,0
Klaipėdos apskritis,2007,2,0
Klaipėdos m. sav.,2007,2,0
Palangos m. sav.,2007,2,0
Klaipėdos r. sav.,2007,2,0
Kretingos r. sav.,2007,2,0
Skuodo r. sav.,2007,2,0
Šilutės r. sav.,2007,2,0
Marijampolės apskritis,2007,2,4
Marijampolės r. sav.,2007,2,2
Šakių r. sav.,2007,2,0
Vilkaviškio r. sav.,2007,2,2
Panevėžio apskritis,2007,2,3
Panevėžio m. sav.,2007,2,3
Biržų r. sav.,2007,2,0
Kupiškio r. sav.,2007,2,0
Panevėžio r. sav.,2007,2,0
Pasvalio r. sav.,2007,2,0
Rokiškio r. sav.,2007,2,0
Šiaulių apskritis,2007,2,4
Šiaulių m. sav.,2007,2,0
Akmenės r. sav.,2007,2,0
Joniškio r. sav.,2007,2,0
Kelmės r. sav.,2007,2,1
Radviliškio r. sav.,2007,2,2
Šiaulių r. sav.,2007,2,0
Tauragės apskritis,2007,2,0
Jurbarko r. sav.,2007,2,0
Šilalės r. sav.,2007,2,0
Tauragės r. sav.,2007,2,0
Telšių apskritis,2007,2,1
Mažeikių r. sav.,2007,2,0
Plungės r. sav.,2007,2,1
Telšių r. sav.,2007,2,0
Utenos apskritis,2007,2,1
Visagino sav.,2007,2,0
Anykščių r. sav.,2007,2,0
Ignalinos r. sav.,2007,2,0
Molėtų r. sav.,2007,2,0
Utenos r. sav.,2007,2,1
Zarasų r. sav.,2007,2,0
Vilniaus apskritis,2007,2,25
Vilniaus m. sav.,2007,2,21
Šalčininkų r. sav.,2007,2,0
Širvintų r. sav.,2007,2,1
Švenčionių r. sav.,2007,2,0
Ukmergės r. sav.,2007,2,1
Vilniaus r. sav.,2007,2,2
Trakų r. sav.,2007,2,0
Alytaus apskritis,2007,3,0
Alytaus m. sav.,2007,3,0
Druskininkų sav.,2007,3,0
Alytaus r. sav.,2007,3,0
Lazdijų r. sav.,2007,3,0
Varėnos r. sav.,2007,3,0
Kauno apskritis,2007,3,5
Kauno m. sav.,2007,3,3
Jonavos r. sav.,2007,3,0
Kaišiadorių r. sav.,2007,3,0
Kauno r. sav.,2007,3,2
Kėdainių r. sav.,2007,3,0
Prienų r. sav.,2007,3,0
Raseinių r. sav.,2007,3,0
Klaipėdos apskritis,2007,3,0
Klaipėdos m. sav.,2007,3,0
Palangos m. sav.,2007,3,0
Klaipėdos r. sav.,2007,3,0
Kretingos r. sav.,2007,3,0
Skuodo r. sav.,2007,3,0
Šilutės r. sav.,2007,3,0
Marijampolės apskritis,2007,3,2
Marijampolės r. sav.,2007,3,2
Šakių r. sav.,2007,3,0
Vilkaviškio r. sav.,2007,3,0
Panevėžio apskritis,2007,3,7
Panevėžio m. sav.,2007,3,6
Biržų r. sav.,2007,3,0
Kupiškio r. sav.,2007,3,0
Panevėžio r. sav.,2007,3,0
Pasvalio r. sav.,2007,3,0
Rokiškio r. sav.,2007,3,1
Šiaulių apskritis,2007,3,6
Šiaulių m. sav.,2007,3,3
Akmenės r. sav.,2007,3,0
Joniškio r. sav.,2007,3,0
Kelmės r. sav.,2007,3,3
Radviliškio r. sav.,2007,3,0
Šiaulių r. sav.,2007,3,0
Tauragės apskritis,2007,3,1
Jurbarko r. sav.,2007,3,0
Šilalės r. sav.,2007,3,0
Tauragės r. sav.,2007,3,1
Telšių apskritis,2007,3,0
Mažeikių r. sav.,2007,3,0
Plungės r. sav.,2007,3,0
Telšių r. sav.,2007,3,0
Utenos apskritis,2007,3,3
Visagino sav.,2007,3,1
Anykščių r. sav.,2007,3,1
Ignalinos r. sav.,2007,3,0
Molėtų r. sav.,2007,3,1
Utenos r. sav.,2007,3,0
Zarasų r. sav.,2007,3,0
Vilniaus apskritis,2007,3,9
Vilniaus m. sav.,2007,3,7
Šalčininkų r. sav.,2007,3,0
Širvintų r. sav.,2007,3,1
Švenčionių r. sav.,2007,3,0
Ukmergės r. sav.,2007,3,1
Vilniaus r. sav.,2007,3,0
Trakų r. sav.,2007,3,2
Alytaus apskritis,2007,4,1
Alytaus m. sav.,2007,4,1
Druskininkų sav.,2007,4,0
Alytaus r. sav.,2007,4,0
Lazdijų r. sav.,2007,4,0
Varėnos r. sav.,2007,4,0
Kauno apskritis,2007,4,3
Kauno m. sav.,2007,4,3
Jonavos r. sav.,2007,4,0
Kaišiadorių r. sav.,2007,4,0
Kauno r. sav.,2007,4,0
Kėdainių r. sav.,2007,4,0
Prienų r. sav.,2007,4,0
Raseinių r. sav.,2007,4,0
Klaipėdos apskritis,2007,4,1
Klaipėdos m. sav.,2007,4,1
Palangos m. sav.,2007,4,0
Klaipėdos r. sav.,2007,4,0
Kretingos r. sav.,2007,4,0
Skuodo r. sav.,2007,4,0
Šilutės r. sav.,2007,4,0
Marijampolės apskritis,2007,4,4
Marijampolės r. sav.,2007,4,3
Šakių r. sav.,2007,4,0
Vilkaviškio r. sav.,2007,4,1
Panevėžio apskritis,2007,4,4
Panevėžio m. sav.,2007,4,1
Biržų r. sav.,2007,4,0
Kupiškio r. sav.,2007,4,1
Panevėžio r. sav.,2007,4,1
Pasvalio r. sav.,2007,4,0
Rokiškio r. sav.,2007,4,1
Šiaulių apskritis,2007,4,0
Šiaulių m. sav.,2007,4,0
Akmenės r. sav.,2007,4,0
Joniškio r. sav.,2007,4,0
Kelmės r. sav.,2007,4,0
Radviliškio r. sav.,2007,4,0
Šiaulių r. sav.,2007,4,0
Tauragės apskritis,2007,4,0
Jurbarko r. sav.,2007,4,0
Šilalės r. sav.,2007,4,0
Tauragės r. sav.,2007,4,0
Telšių apskritis,2007,4,0
Mažeikių r. sav.,2007,4,0
Plungės r. sav.,2007,4,0
Telšių r. sav.,2007,4,0
Utenos apskritis,2007,4,1
Visagino sav.,2007,4,0
Anykščių r. sav.,2007,4,0
Ignalinos r. sav.,2007,4,0
Molėtų r. sav.,2007,4,0
Utenos r. sav.,2007,4,0
Zarasų r. sav.,2007,4,1
Vilniaus apskritis,2007,4,5
Vilniaus m. sav.,2007,4,4
Šalčininkų r. sav.,2007,4,0
Širvintų r. sav.,2007,4,0
Švenčionių r. sav.,2007,4,0
Ukmergės r. sav.,2007,4,0
Vilniaus r. sav.,2007,4,1
Trakų r. sav.,2007,4,0
Alytaus apskritis,2007,5,3
Alytaus m. sav.,2007,5,1
Druskininkų sav.,2007,5,0
Alytaus r. sav.,2007,5,1
Lazdijų r. sav.,2007,5,0
Varėnos r. sav.,2007,5,1
Kauno apskritis,2007,5,7
Kauno m. sav.,2007,5,6
Jonavos r. sav.,2007,5,0
