name,year,month,infection
Alytaus r. sav.,2011,1,0
Alytaus m. sav.,2011,1,0
Druskininkų sav.,2011,1,0
Lazdyjų r.,2011,1,0
Varėnos r. sav.,2011,1,1
Alytaus apskritis,2011,1,1
Birštono sav.,2011,1,0
Jonavos r. sav.,2011,1,2
Kaišiadorių r. sav.,2011,1,0
Kauno m. sav.,2011,1,4
Kauno r. sav.,2011,1,1
Kėdainių r. sav.,2011,1,1
Prienų r. sav.,2011,1,1
Raseinių r. sav.,2011,1,0
Kauno apskritis,2011,1,9
Klaipėdos m. sav.,2011,1,0
Klaipėdos r. sav.,2011,1,1
Kretingos r. sav.,2011,1,0
Neringos sav.,2011,1,0
Palangos m. sav.,2011,1,0
Šilutės r. sav.,2011,1,0
Skuodo r. sav.,2011,1,0
Klaipėdos apskritis,2011,1,1
Marijampolės r. sav.,2011,1,0
Šakių r. sav.,2011,1,0
Vilkaviškio r. sav.,2011,1,0
Marijampolės apskritis,2011,1,0
Biržų r. sav.,2011,1,0
Kupiškio r. sav.,2011,1,1
Panevėžio r. sav.,2011,1,3
Panevėžio m. sav.,2011,1,9
Pasvalio r. sav.,2011,1,0
Rokiškio r. sav.,2011,1,0
Panevėžio apskritis,2011,1,13
Akmenės r. sav.,2011,1,0
Joniškio r. sav.,2011,1,0
Kelmės r. sav.,2011,1,1
Radviliškio r. sav.,2011,1,0
Šiaulių m. sav.,2011,1,1
Šiaulių r. sav.,2011,1,0
Šiaulių apskritis,2011,1,2
Jurbarko r. sav.,2011,1,0
Šilalės r. sav.,2011,1,0
Tauragės r. sav.,2011,1,3
Tauragės apskritis,2011,1,3
Mažeikių r. sav.,2011,1,1
Plungės r. sav.,2011,1,2
Telšių r. sav.,2011,1,1
Telšių apskritis,2011,1,4
Anykščių r. sav.,2011,1,1
Ignalinos r. sav.,2011,1,0
Molėtų r. sav.,2011,1,1
Utenos r. sav.,2011,1,1
Visagino sav.,2011,1,0
Zarasų r. sav.,2011,1,1
Utenos apskritis,2011,1,4
Šalčininkų r. sav.,2011,1,1
Širvintų r. sav.,2011,1,1
Švenčionių r. sav.,2011,1,1
Trakų r. sav.,2011,1,1
Ukmergės r. sav.,2011,1,1
Vilniaus r. sav.,2011,1,1
Vilniaus m. sav.,2011,1,20
Vilniaus apskritis,2011,1,26
Alytaus r. sav.,2011,2,1
Alytaus m. sav.,2011,2,1
Druskininkų sav.,2011,2,0
Lazdyjų r.,2011,2,0
Varėnos r. sav.,2011,2,0
Alytaus apskritis,2011,2,2
Birštono sav.,2011,2,0
Jonavos r. sav.,2011,2,0
Kaišiadorių r. sav.,2011,2,0
Kauno m. sav.,2011,2,3
Kauno r. sav.,2011,2,1
Kėdainių r. sav.,2011,2,0
Prienų r. sav.,2011,2,1
Raseinių r. sav.,2011,2,0
Kauno apskritis,2011,2,5
Klaipėdos m. sav.,2011,2,1
Klaipėdos r. sav.,2011,2,1
Kretingos r. sav.,2011,2,0
Neringos sav.,2011,2,0
Palangos m. sav.,2011,2,0
Šilutės r. sav.,2011,2,3
Skuodo r. sav.,2011,2,0
Klaipėdos apskritis,2011,2,5
Marijampolės r. sav.,2011,2,1
Šakių r. sav.,2011,2,0
Vilkaviškio r. sav.,2011,2,0
Marijampolės apskritis,2011,2,1
Biržų r. sav.,2011,2,1
Kupiškio r. sav.,2011,2,0
Panevėžio r. sav.,2011,2,0
Panevėžio m. sav.,2011,2,3
Pasvalio r. sav.,2011,2,0
Rokiškio r. sav.,2011,2,1
Panevėžio apskritis,2011,2,5
Akmenės r. sav.,2011,2,1
Joniškio r. sav.,2011,2,0
Kelmės r. sav.,2011,2,0
Radviliškio r. sav.,2011,2,0
Šiaulių m. sav.,2011,2,1
Šiaulių r. sav.,2011,2,0
Šiaulių apskritis,2011,2,2
Jurbarko r. sav.,2011,2,0
Šilalės r. sav.,2011,2,0
Tauragės r. sav.,2011,2,0
Tauragės apskritis,2011,2,0
Mažeikių r. sav.,2011,2,0
Plungės r. sav.,2011,2,0
Telšių r. sav.,2011,2,2
Telšių apskritis,2011,2,2
Anykščių r. sav.,2011,2,1
Ignalinos r. sav.,2011,2,0
Molėtų r. sav.,2011,2,1
Utenos r. sav.,2011,2,2
Visagino sav.,2011,2,0
Zarasų r. sav.,2011,2,1
Utenos apskritis,2011,2,5
Šalčininkų r. sav.,2011,2,0
Širvintų r. sav.,2011,2,1
Švenčionių r. sav.,2011,2,1
Trakų r. sav.,2011,2,2
Ukmergės r. sav.,2011,2,0
Vilniaus r. sav.,2011,2,0
Vilniaus m. sav.,2011,2,13
Vilniaus apskritis,2011,2,17
Alytaus r. sav.,2011,3,0
Alytaus m. sav.,2011,3,0
Druskininkų sav.,2011,3,0
Lazdyjų r.,2011,3,0
Varėnos r. sav.,2011,3,1
Alytaus apskritis,2011,3,1
Birštono sav.,2011,3,0
Jonavos r. sav.,2011,3,1
Kaišiadorių r. sav.,2011,3,0
Kauno m. sav.,2011,3,3
Kauno r. sav.,2011,3,0
