name,year,month,infection
Alytaus r. sav.,2013,1,0
Alytaus m. sav.,2013,1,0
Druskininkų sav.,2013,1,0
Lazdyjų r.,2013,1,0
Varėnos r. sav.,2013,1,0
Alytaus apskritis,2013,1,0
Birštono sav.,2013,1,1
Jonavos r. sav.,2013,1,1
Kaišiadorių r. sav.,2013,1,0
Kauno m. sav.,2013,1,2
Kauno r. sav.,2013,1,2
Kėdainių r. sav.,2013,1,0
Prienų r. sav.,2013,1,0
Raseinių r. sav.,2013,1,0
Kauno apskritis,2013,1,6
Klaipėdos m. sav.,2013,1,0
Klaipėdos r. sav.,2013,1,1
Kretingos r. sav.,2013,1,1
Neringos sav.,2013,1,0
Palangos m. sav.,2013,1,1
Šilutės r. sav.,2013,1,0
Skuodo r. sav.,2013,1,0
Klaipėdos apskritis,2013,1,3
Marijampolės r. sav.,2013,1,0
Šakių r. sav.,2013,1,0
Vilkaviškio r. sav.,2013,1,1
Marijampolės apskritis,2013,1,1
Biržų r. sav.,2013,1,0
Kupiškio r. sav.,2013,1,1
Panevėžio r. sav.,2013,1,0
Panevėžio m. sav.,2013,1,2
Pasvalio r. sav.,2013,1,0
Rokiškio r. sav.,2013,1,0
Panevėžio apskritis,2013,1,3
Akmenės r. sav.,2013,1,0
Joniškio r. sav.,2013,1,1
Kelmės r. sav.,2013,1,0
Radviliškio r. sav.,2013,1,0
Šiaulių m. sav.,2013,1,2
Šiaulių r. sav.,2013,1,2
Šiaulių apskritis,2013,1,5
Jurbarko r. sav.,2013,1,0
Šilalės r. sav.,2013,1,0
Tauragės r. sav.,2013,1,1
Tauragės apskritis,2013,1,1
Mažeikių r. sav.,2013,1,0
Plungės r. sav.,2013,1,0
Telšių r. sav.,2013,1,0
Telšių apskritis,2013,1,0
Anykščių r. sav.,2013,1,3
Ignalinos r. sav.,2013,1,2
Molėtų r. sav.,2013,1,0
Utenos r. sav.,2013,1,0
Visagino sav.,2013,1,1
Zarasų r. sav.,2013,1,1
Utenos apskritis,2013,1,7
Šalčininkų r. sav.,2013,1,0
Širvintų r. sav.,2013,1,2
Švenčionių r. sav.,2013,1,1
Trakų r. sav.,2013,1,1
Ukmergės r. sav.,2013,1,1
Vilniaus r. sav.,2013,1,0
Vilniaus m. sav.,2013,1,14
Vilniaus apskritis,2013,1,19
Alytaus r. sav.,2013,2,0
