name,year,month,infection
Alytaus r. sav.,2018,1,0
Alytaus m. sav.,2018,1,0
Druskininkų sav.,2018,1,0
Lazdijų r. sav.,2018,1,0
Varėnos r. sav.,2018,1,4
Alytaus apskritis,2018,1,4
Birštono sav.,2018,1,0
Jonavos r. sav.,2018,1,3
Kaišiadorių r. sav.,2018,1,0
Kauno m. sav.,2018,1,3
Kauno r. sav.,2018,1,1
Kėdainių r. sav.,2018,1,1
Prienų r. sav.,2018,1,0
Raseinių r. sav.,2018,1,0
Kauno apskritis,2018,1,8
Klaipėdos m. sav.,2018,1,3
Klaipėdos r. sav.,2018,1,1
Kretingos r. sav.,2018,1,0
Neringos sav.,2018,1,0
Palangos m. sav.,2018,1,1
Šilutės r. sav.,2018,1,3
Skuodo r. sav.,2018,1,0
Klaipėdos apskritis,2018,1,8
Marijampolės r. sav.,2018,1,0
Šakių r. sav.,2018,1,0
Vilkaviškio r. sav.,2018,1,1
Marijampolės apskritis,2018,1,1
Biržų r. sav.,2018,1,0
Kupiškio r. sav.,2018,1,2
Panevėžio r. sav.,2018,1,1
Panevėžio m. sav.,2018,1,6
Pasvalio r. sav.,2018,1,0
Rokiškio r. sav.,2018,1,0
Panevėžio apskritis,2018,1,9
Akmenės r. sav.,2018,1,0
Joniškio r. sav.,2018,1,0
Kelmės r. sav.,2018,1,1
Radviliškio r. sav.,2018,1,0
Šiaulių m. sav.,2018,1,0
Šiaulių r. sav.,2018,1,2
Šiaulių apskritis,2018,1,3
Jurbarko r. sav.,2018,1,0
Šilalės r. sav.,2018,1,2
Tauragės r. sav.,2018,1,2
Tauragės apskritis,2018,1,4
Mažeikių r. sav.,2018,1,1
Plungės r. sav.,2018,1,1
Telšių r. sav.,2018,1,1
Telšių apskritis,2018,1,3
Anykščių r. sav.,2018,1,1
Ignalinos r. sav.,2018,1,1
Molėtų r. sav.,2018,1,1
Utenos r. sav.,2018,1,0
Visagino sav.,2018,1,0
Zarasų r. sav.,2018,1,0
Utenos apskritis,2018,1,3
Šalčininkų r. sav.,2018,1,0
Širvintų r. sav.,2018,1,0
Švenčionių r. sav.,2018,1,0
Trakų r. sav.,2018,1,3
Ukmergės r. sav.,2018,1,2
Vilniaus r. sav.,2018,1,1
Vilniaus m. sav.,2018,1,27
Vilniaus apskritis,2018,1,33
Alytaus r. sav.,2018,2,0
Alytaus m. sav.,2018,2,0
Druskininkų sav.,2018,2,0
Lazdijų r. sav.,2018,2,0
Varėnos r. sav.,2018,2,0
Alytaus apskritis,2018,2,0
Birštono sav.,2018,2,0
Jonavos r. sav.,2018,2,0
Kaišiadorių r. sav.,2018,2,0
Kauno m. sav.,2018,2,3
Kauno r. sav.,2018,2,2
Kėdainių r. sav.,2018,2,0
Prienų r. sav.,2018,2,1
Raseinių r. sav.,2018,2,0
Kauno apskritis,2018,2,6
Klaipėdos m. sav.,2018,2,1
Klaipėdos r. sav.,2018,2,0
Kretingos r. sav.,2018,2,0
Neringos sav.,2018,2,0
Palangos m. sav.,2018,2,1
Šilutės r. sav.,2018,2,1
Skuodo r. sav.,2018,2,0
Klaipėdos apskritis,2018,2,3
Marijampolės r. sav.,2018,2,1
Šakių r. sav.,2018,2,0
Vilkaviškio r. sav.,2018,2,0
Marijampolės apskritis,2018,2,1
Biržų r. sav.,2018,2,0
Kupiškio r. sav.,2018,2,0
Panevėžio r. sav.,2018,2,2
Panevėžio m. sav.,2018,2,6
Pasvalio r. sav.,2018,2,0
Rokiškio r. sav.,2018,2,1
Panevėžio apskritis,2018,2,9
Akmenės r. sav.,2018,2,0
Joniškio r. sav.,2018,2,0
Kelmės r. sav.,2018,2,0
Radviliškio r. sav.,2018,2,0
Šiaulių m. sav.,2018,2,0
Šiaulių r. sav.,2018,2,0
Šiaulių apskritis,2018,2,0
Jurbarko r. sav.,2018,2,0
Šilalės r. sav.,2018,2,5
Tauragės r. sav.,2018,2,1
Tauragės apskritis,2018,2,6
Mažeikių r. sav.,2018,2,1
Plungės r. sav.,2018,2,1
Telšių r. sav.,2018,2,0
Telšių apskritis,2018,2,2
Anykščių r. sav.,2018,2,1
Ignalinos r. sav.,2018,2,1
Molėtų r. sav.,2018,2,1
Utenos r. sav.,2018,2,0
Visagino sav.,2018,2,1
Zarasų r. sav.,2018,2,0
Utenos apskritis,2018,2,4
Šalčininkų r. sav.,2018,2,0
Širvintų r. sav.,2018,2,0
Švenčionių r. sav.,2018,2,1
Trakų r. sav.,2018,2,0
Ukmergės r. sav.,2018,2,1
Vilniaus r. sav.,2018,2,2
Vilniaus m. sav.,2018,2,13
Vilniaus apskritis,2018,2,17
Alytaus r. sav.,2018,3,0
Alytaus m. sav.,2018,3,0
Druskininkų sav.,2018,3,0
Lazdijų r. sav.,2018,3,0
Varėnos r. sav.,2018,3,0
Alytaus apskritis,2018,3,0
Birštono sav.,2018,3,0
Jonavos r. sav.,2018,3,0
Kaišiadorių r. sav.,2018,3,0
Kauno m. sav.,2018,3,0
Kauno r. sav.,2018,3,0
Kėdainių r. sav.,2018,3,0
Prienų r. sav.,2018,3,0
Raseinių r. sav.,2018,3,0
Kauno apskritis,2018,3,0
Klaipėdos m. sav.,2018,3,0
Klaipėdos r. sav.,2018,3,0
Kretingos r. sav.,2018,3,0
Neringos sav.,2018,3,0
Palangos m. sav.,2018,3,1
Šilutės r. sav.,2018,3,0
Skuodo r. sav.,2018,3,0
Klaipėdos apskritis,2018,3,1
Marijampolės r. sav.,2018,3,1
Šakių r. sav.,2018,3,0
Vilkaviškio r. sav.,2018,3,1
Marijampolės apskritis,2018,3,2
Biržų r. sav.,2018,3,0
Kupiškio r. sav.,2018,3,2
Panevėžio r. sav.,2018,3,1
Panevėžio m. sav.,2018,3,1
Pasvalio r. sav.,2018,3,0
Rokiškio r. sav.,2018,3,0
Panevėžio apskritis,2018,3,4
Akmenės r. sav.,2018,3,0
Joniškio r. sav.,2018,3,0
Kelmės r. sav.,2018,3,0
Radviliškio r. sav.,2018,3,0
Šiaulių m. sav.,2018,3,0
Šiaulių r. sav.,2018,3,0
Šiaulių apskritis,2018,3,1
Jurbarko r. sav.,2018,3,0
Šilalės r. sav.,2018,3,0
Tauragės r. sav.,2018,3,3
Tauragės apskritis,2018,3,3
Mažeikių r. sav.,2018,3,0
Plungės r. sav.,2018,3,0
Telšių r. sav.,2018,3,0
Telšių apskritis,2018,3,0
Anykščių r. sav.,2018,3,0
Ignalinos r. sav.,2018,3,0
Molėtų r. sav.,2018,3,1
Utenos r. sav.,2018,3,0
Visagino sav.,2018,3,0
Zarasų r. sav.,2018,3,1
Utenos apskritis,2018,3,2
Šalčininkų r. sav.,2018,3,0
Širvintų r. sav.,2018,3,0
Švenčionių r. sav.,2018,3,1
Trakų r. sav.,2018,3,0
Ukmergės r. sav.,2018,3,1
Vilniaus r. sav.,2018,3,0
Vilniaus m. sav.,2018,3,8
Vilniaus apskritis,2018,3,10
Alytaus r. sav.,2018,7,0
Alytaus m. sav.,2018,7,2
Druskininkų sav.,2018,7,1
Lazdijų r. sav.,2018,7,2
Varėnos r. sav.,2018,7,5
Alytaus apskritis,2018,7,10
Birštono sav.,2018,7,1
Jonavos r. sav.,2018,7,6
Kaišiadorių r. sav.,2018,7,1
Kauno m. sav.,2018,7,58
Kauno r. sav.,2018,7,11
Kėdainių r. sav.,2018,7,1
Prienų r. sav.,2018,7,6
Raseinių r. sav.,2018,7,1
Kauno apskritis,2018,7,85
Klaipėdos m. sav.,2018,7,5
Klaipėdos r. sav.,2018,7,2
Kretingos r. sav.,2018,7,7
Neringos sav.,2018,7,0
Palangos m. sav.,2018,7,1
Šilutės r. sav.,2018,7,0
Skuodo r. sav.,2018,7,2
Klaipėdos apskritis,2018,7,17
Marijampolės r. sav.,2018,7,3
Šakių r. sav.,2018,7,3
Vilkaviškio r. sav.,2018,7,1
Marijampolės apskritis,2018,7,7
Biržų r. sav.,2018,7,3
Kupiškio r. sav.,2018,7,4
Panevėžio r. sav.,2018,7,4
Panevėžio m. sav.,2018,7,10
Pasvalio r. sav.,2018,7,1
Rokiškio r. sav.,2018,7,6
Panevėžio apskritis,2018,7,28
Akmenės r. sav.,2018,7,3
Joniškio r. sav.,2018,7,5
Kelmės r. sav.,2018,7,0
Radviliškio r. sav.,2018,7,2
Šiaulių m. sav.,2018,7,15
Šiaulių r. sav.,2018,7,3
Šiaulių apskritis,2018,7,30
Jurbarko r. sav.,2018,7,0
Šilalės r. sav.,2018,7,6
Tauragės r. sav.,2018,7,8
Tauragės apskritis,2018,7,14
Mažeikių r. sav.,2018,7,5
Plungės r. sav.,2018,7,5
Telšių r. sav.,2018,7,3
Telšių apskritis,2018,7,13
Anykščių r. sav.,2018,7,2
Ignalinos r. sav.,2018,7,2
Molėtų r. sav.,2018,7,8
Utenos r. sav.,2018,7,2
Visagino sav.,2018,7,0
Zarasų r. sav.,2018,7,3
Utenos apskritis,2018,7,17
Šalčininkų r. sav.,2018,7,1
Širvintų r. sav.,2018,7,2
Švenčionių r. sav.,2018,7,7
Trakų r. sav.,2018,7,19
Ukmergės r. sav.,2018,7,9
Vilniaus r. sav.,2018,7,16
Vilniaus m. sav.,2018,7,93
Vilniaus apskritis,2018,7,147
Alytaus r. sav.,2018,8,0
Alytaus m. sav.,2018,8,4
Druskininkų sav.,2018,8,3
Lazdijų r. sav.,2018,8,1
Varėnos r. sav.,2018,8,1
Alytaus apskritis,2018,8,9
Birštono sav.,2018,8,1
Jonavos r. sav.,2018,8,10
Kaišiadorių r. sav.,2018,8,2
Kauno m. sav.,2018,8,61
Kauno r. sav.,2018,8,17
Kėdainių r. sav.,2018,8,5
Prienų r. sav.,2018,8,2
Raseinių r. sav.,2018,8,4
Kauno apskritis,2018,8,102
Klaipėdos m. sav.,2018,8,3
Klaipėdos r. sav.,2018,8,3
Kretingos r. sav.,2018,8,4
Neringos sav.,2018,8,0
Palangos m. sav.,2018,8,5
Šilutės r. sav.,2018,8,3
Skuodo r. sav.,2018,8,1
Klaipėdos apskritis,2018,8,19
Marijampolės r. sav.,2018,8,3
Šakių r. sav.,2018,8,1
Vilkaviškio r. sav.,2018,8,0
Marijampolės apskritis,2018,8,4
Biržų r. sav.,2018,8,2
Kupiškio r. sav.,2018,8,4
Panevėžio r. sav.,2018,8,11
Panevėžio m. sav.,2018,8,26
Pasvalio r. sav.,2018,8,0
Rokiškio r. sav.,2018,8,4
Panevėžio apskritis,2018,8,47
Akmenės r. sav.,2018,8,1
Joniškio r. sav.,2018,8,3
Kelmės r. sav.,2018,8,2
Radviliškio r. sav.,2018,8,5
Šiaulių m. sav.,2018,8,20
Šiaulių r. sav.,2018,8,5
Šiaulių apskritis,2018,8,37
Jurbarko r. sav.,2018,8,1
Šilalės r. sav.,2018,8,2
Tauragės r. sav.,2018,8,1
Tauragės apskritis,2018,8,4
Mažeikių r. sav.,2018,8,3
Plungės r. sav.,2018,8,19
Telšių r. sav.,2018,8,1
Telšių apskritis,2018,8,23
Anykščių r. sav.,2018,8,4
Ignalinos r. sav.,2018,8,1
Molėtų r. sav.,2018,8,3
Utenos r. sav.,2018,8,5
Visagino sav.,2018,8,1
Zarasų r. sav.,2018,8,6
Utenos apskritis,2018,8,20
Šalčininkų r. sav.,2018,8,1
Širvintų r. sav.,2018,8,2
Švenčionių r. sav.,2018,8,13
Trakų r. sav.,2018,8,14
Ukmergės r. sav.,2018,8,7
Vilniaus r. sav.,2018,8,5
Vilniaus m. sav.,2018,8,114
Vilniaus apskritis,2018,8,156
Alytaus r. sav.,2018,9,1
Alytaus m. sav.,2018,9,0
Druskininkų sav.,2018,9,2
Lazdijų r. sav.,2018,9,2
Varėnos r. sav.,2018,9,6
Alytaus apskritis,2018,9,11
Birštono sav.,2018,9,2
Jonavos r. sav.,2018,9,10
Kaišiadorių r. sav.,2018,9,3
Kauno m. sav.,2018,9,47
Kauno r. sav.,2018,9,18
Kėdainių r. sav.,2018,9,1
Prienų r. sav.,2018,9,4
Raseinių r. sav.,2018,9,2
Kauno apskritis,2018,9,87
Klaipėdos m. sav.,2018,9,6
Klaipėdos r. sav.,2018,9,1
Kretingos r. sav.,2018,9,5
Neringos sav.,2018,9,0
Palangos m. sav.,2018,9,3
Šilutės r. sav.,2018,9,1
Skuodo r. sav.,2018,9,0
Klaipėdos apskritis,2018,9,16
Marijampolės r. sav.,2018,9,7
Šakių r. sav.,2018,9,2
Vilkaviškio r. sav.,2018,9,2
Marijampolės apskritis,2018,9,11
Biržų r. sav.,2018,9,0
Kupiškio r. sav.,2018,9,1
Panevėžio r. sav.,2018,9,8
Panevėžio m. sav.,2018,9,18
Pasvalio r. sav.,2018,9,0
Rokiškio r. sav.,2018,9,5
Panevėžio apskritis,2018,9,32
Akmenės r. sav.,2018,9,0
Joniškio r. sav.,2018,9,0
Kelmės r. sav.,2018,9,0
Radviliškio r. sav.,2018,9,8
Šiaulių m. sav.,2018,9,14
Šiaulių r. sav.,2018,9,3
Šiaulių apskritis,2018,9,28
Jurbarko r. sav.,2018,9,2
Šilalės r. sav.,2018,9,4
Tauragės r. sav.,2018,9,9
Tauragės apskritis,2018,9,15
Mažeikių r. sav.,2018,9,3
Plungės r. sav.,2018,9,7
Telšių r. sav.,2018,9,4
Telšių apskritis,2018,9,14
Anykščių r. sav.,2018,9,1
Ignalinos r. sav.,2018,9,6
Molėtų r. sav.,2018,9,7
Utenos r. sav.,2018,9,1
Visagino sav.,2018,9,0
Zarasų r. sav.,2018,9,2
Utenos apskritis,2018,9,17
Šalčininkų r. sav.,2018,9,1
Širvintų r. sav.,2018,9,2
Švenčionių r. sav.,2018,9,7
Trakų r. sav.,2018,9,8
Ukmergės r. sav.,2018,9,5
Vilniaus r. sav.,2018,9,15
Vilniaus m. sav.,2018,9,79
Vilniaus apskritis,2018,9,117
Alytaus r. sav.,2018,10,0
Alytaus m. sav.,2018,10,1
Druskininkų sav.,2018,10,0
Lazdijų r. sav.,2018,10,0
Varėnos r. sav.,2018,10,3
Alytaus apskritis,2018,10,4
Birštono sav.,2018,10,1
Jonavos r. sav.,2018,10,11
Kaišiadorių r. sav.,2018,10,5
Kauno m. sav.,2018,10,34
Kauno r. sav.,2018,10,14
Kėdainių r. sav.,2018,10,2
Prienų r. sav.,2018,10,2
Raseinių r. sav.,2018,10,2
Kauno apskritis,2018,10,71
Klaipėdos m. sav.,2018,10,4
Klaipėdos r. sav.,2018,10,0
Kretingos r. sav.,2018,10,4
Neringos sav.,2018,10,0
Palangos m. sav.,2018,10,1
Šilutės r. sav.,2018,10,2
Skuodo r. sav.,2018,10,1
Klaipėdos apskritis,2018,10,12
Marijampolės r. sav.,2018,10,5
Šakių r. sav.,2018,10,6
Vilkaviškio r. sav.,2018,10,3
Marijampolės apskritis,2018,10,14
Biržų r. sav.,2018,10,1
Kupiškio r. sav.,2018,10,6
Panevėžio r. sav.,2018,10,7
Panevėžio m. sav.,2018,10,14
Pasvalio r. sav.,2018,10,0
Rokiškio r. sav.,2018,10,0
Panevėžio apskritis,2018,10,28
Akmenės r. sav.,2018,10,1
Joniškio r. sav.,2018,10,1
Kelmės r. sav.,2018,10,1
Radviliškio r. sav.,2018,10,5
