name,year,month,infection
Alytaus r. sav.,2012,1,0
Alytaus m. sav.,2012,1,4
Druskininkų sav.,2012,1,0
Lazdyjų r.,2012,1,0
Varėnos r. sav.,2012,1,0
Alytaus apskritis,2012,1,4
Birštono sav.,2012,1,1
Jonavos r. sav.,2012,1,3
Kaišiadorių r. sav.,2012,1,0
Kauno m. sav.,2012,1,9
Kauno r. sav.,2012,1,1
Kėdainių r. sav.,2012,1,0
Prienų r. sav.,2012,1,0
Raseinių r. sav.,2012,1,0
Kauno apskritis,2012,1,14
Klaipėdos m. sav.,2012,1,1
Klaipėdos r. sav.,2012,1,0
Kretingos r. sav.,2012,1,1
Neringos sav.,2012,1,0
Palangos m. sav.,2012,1,2
Šilutės r. sav.,2012,1,2
Skuodo r. sav.,2012,1,0
Klaipėdos apskritis,2012,1,6
Marijampolės r. sav.,2012,1,0
Šakių r. sav.,2012,1,0
Vilkaviškio r. sav.,2012,1,0
Marijampolės apskritis,2012,1,0
Biržų r. sav.,2012,1,1
Kupiškio r. sav.,2012,1,1
Panevėžio r. sav.,2012,1,1
Panevėžio m. sav.,2012,1,3
Pasvalio r. sav.,2012,1,0
Rokiškio r. sav.,2012,1,0
Panevėžio apskritis,2012,1,6
Akmenės r. sav.,2012,1,0
Joniškio r. sav.,2012,1,0
Kelmės r. sav.,2012,1,0
Radviliškio r. sav.,2012,1,0
Šiaulių m. sav.,2012,1,7
Šiaulių r. sav.,2012,1,1
Šiaulių apskritis,2012,1,8
Jurbarko r. sav.,2012,1,0
Šilalės r. sav.,2012,1,1
Tauragės r. sav.,2012,1,3
Tauragės apskritis,2012,1,4
Mažeikių r. sav.,2012,1,2
Plungės r. sav.,2012,1,1
Telšių r. sav.,2012,1,2
Telšių apskritis,2012,1,5
Anykščių r. sav.,2012,1,1
Ignalinos r. sav.,2012,1,0
Molėtų r. sav.,2012,1,1
Utenos r. sav.,2012,1,2
Visagino sav.,2012,1,0
Zarasų r. sav.,2012,1,1
Utenos apskritis,2012,1,5
Šalčininkų r. sav.,2012,1,0
Širvintų r. sav.,2012,1,0
Švenčionių r. sav.,2012,1,1
Trakų r. sav.,2012,1,2
Ukmergės r. sav.,2012,1,0
Vilniaus r. sav.,2012,1,4
Vilniaus m. sav.,2012,1,15
Vilniaus apskritis,2012,1,22
Alytaus r. sav.,2012,2,0
Alytaus m. sav.,2012,2,0
Druskininkų sav.,2012,2,0
Lazdyjų r.,2012,2,0
Varėnos r. sav.,2012,2,1
Alytaus apskritis,2012,2,1
Birštono sav.,2012,2,0
Jonavos r. sav.,2012,2,0
Kaišiadorių r. sav.,2012,2,0
Kauno m. sav.,2012,2,2
Kauno r. sav.,2012,2,0
Kėdainių r. sav.,2012,2,0
Prienų r. sav.,2012,2,0
Raseinių r. sav.,2012,2,0
Kauno apskritis,2012,2,2
Klaipėdos m. sav.,2012,2,0
Klaipėdos r. sav.,2012,2,0
Kretingos r. sav.,2012,2,0
Neringos sav.,2012,2,0
Palangos m. sav.,2012,2,0
Šilutės r. sav.,2012,2,0
Skuodo r. sav.,2012,2,0
Klaipėdos apskritis,2012,2,0
Marijampolės r. sav.,2012,2,2
Šakių r. sav.,2012,2,0
Vilkaviškio r. sav.,2012,2,0
Marijampolės apskritis,2012,2,2
Biržų r. sav.,2012,2,0
Kupiškio r. sav.,2012,2,0
Panevėžio r. sav.,2012,2,0
Panevėžio m. sav.,2012,2,1
Pasvalio r. sav.,2012,2,0
Rokiškio r. sav.,2012,2,0
Panevėžio apskritis,2012,2,1
Akmenės r. sav.,2012,2,0
Joniškio r. sav.,2012,2,1
Kelmės r. sav.,2012,2,0
Radviliškio r. sav.,2012,2,0
Šiaulių m. sav.,2012,2,0
Šiaulių r. sav.,2012,2,0
Šiaulių apskritis,2012,2,1
Jurbarko r. sav.,2012,2,0
Šilalės r. sav.,2012,2,0
Tauragės r. sav.,2012,2,1
Tauragės apskritis,2012,2,1
Mažeikių r. sav.,2012,2,1
Plungės r. sav.,2012,2,0
Telšių r. sav.,2012,2,0
Telšių apskritis,2012,2,1
Anykščių r. sav.,2012,2,1
Ignalinos r. sav.,2012,2,0
Molėtų r. sav.,2012,2,1
Utenos r. sav.,2012,2,4
Visagino sav.,2012,2,0
Zarasų r. sav.,2012,2,1
Utenos apskritis,2012,2,7
Šalčininkų r. sav.,2012,2,0
Širvintų r. sav.,2012,2,0
Švenčionių r. sav.,2012,2,0
Trakų r. sav.,2012,2,2
Ukmergės r. sav.,2012,2,0
Vilniaus r. sav.,2012,2,4
Vilniaus m. sav.,2012,2,11
Vilniaus apskritis,2012,2,17
Alytaus r. sav.,2012,3,0
Alytaus m. sav.,2012,3,1
Druskininkų sav.,2012,3,0
Lazdyjų r.,2012,3,0
Varėnos r. sav.,2012,3,0
Alytaus apskritis,2012,3,1
Birštono sav.,2012,3,0
Jonavos r. sav.,2012,3,0
Kaišiadorių r. sav.,2012,3,0
Kauno m. sav.,2012,3,2
Kauno r. sav.,2012,3,1
Kėdainių r. sav.,2012,3,1
Prienų r. sav.,2012,3,0
Raseinių r. sav.,2012,3,0
Kauno apskritis,2012,3,4
Klaipėdos m. sav.,2012,3,0
Klaipėdos r. sav.,2012,3,0
Kretingos r. sav.,2012,3,0
Neringos sav.,2012,3,0
Palangos m. sav.,2012,3,0
Šilutės r. sav.,2012,3,0
Skuodo r. sav.,2012,3,0
Klaipėdos apskritis,2012,3,0
Marijampolės r. sav.,2012,3,0
Šakių r. sav.,2012,3,0
Vilkaviškio r. sav.,2012,3,0
Marijampolės apskritis,2012,3,0
Biržų r. sav.,2012,3,0
Kupiškio r. sav.,2012,3,1
Panevėžio r. sav.,2012,3,0
Panevėžio m. sav.,2012,3,4
Pasvalio r. sav.,2012,3,0
Rokiškio r. sav.,2012,3,0
Panevėžio apskritis,2012,3,5
Akmenės r. sav.,2012,3,0
Joniškio r. sav.,2012,3,0
Kelmės r. sav.,2012,3,0
Radviliškio r. sav.,2012,3,0
Šiaulių m. sav.,2012,3,1
Šiaulių r. sav.,2012,3,1
Šiaulių apskritis,2012,3,2
Jurbarko r. sav.,2012,3,0
Šilalės r. sav.,2012,3,0
Tauragės r. sav.,2012,3,1
Tauragės apskritis,2012,3,1
Mažeikių r. sav.,2012,3,0
Plungės r. sav.,2012,3,0
Telšių r. sav.,2012,3,0
Telšių apskritis,2012,3,0
Anykščių r. sav.,2012,3,0
Ignalinos r. sav.,2012,3,1
Molėtų r. sav.,2012,3,0
Utenos r. sav.,2012,3,0
Visagino sav.,2012,3,0
Zarasų r. sav.,2012,3,2
Utenos apskritis,2012,3,3
Šalčininkų r. sav.,2012,3,0
Širvintų r. sav.,2012,3,0
Švenčionių r. sav.,2012,3,0
Trakų r. sav.,2012,3,0
Ukmergės r. sav.,2012,3,0
Vilniaus r. sav.,2012,3,1
Vilniaus m. sav.,2012,3,10
Vilniaus apskritis,2012,3,11
Alytaus r. sav.,2012,4,0
Alytaus m. sav.,2012,4,0
Druskininkų sav.,2012,4,0
Lazdyjų r.,2012,4,0
Varėnos r. sav.,2012,4,1
Alytaus apskritis,2012,4,1
Birštono sav.,2012,4,0
Jonavos r. sav.,2012,4,0
Kaišiadorių r. sav.,2012,4,1
Kauno m. sav.,2012,4,4
Kauno r. sav.,2012,4,0
Kėdainių r. sav.,2012,4,1
Prienų r. sav.,2012,4,1
Raseinių r. sav.,2012,4,0
Kauno apskritis,2012,4,7
Klaipėdos m. sav.,2012,4,0
Klaipėdos r. sav.,2012,4,0
Kretingos r. sav.,2012,4,0
Neringos sav.,2012,4,0
Palangos m. sav.,2012,4,0
Šilutės r. sav.,2012,4,0
Skuodo r. sav.,2012,4,0
Klaipėdos apskritis,2012,4,0
Marijampolės r. sav.,2012,4,1
Šakių r. sav.,2012,4,0
