name,year,month,infection
Alytaus apskritis,2008,1,0
Alytaus m. sav.,2008,1,0
Druskininkų sav.,2008,1,0
Alytaus r. sav.,2008,1,0
Lazdijų r. sav.,2008,1,0
Varėnos r. sav.,2008,1,0
Kauno apskritis,2008,1,1
Kauno m. sav.,2008,1,1
Jonavos r. sav.,2008,1,0
Kaišiadorių r. sav.,2008,1,0
Kauno r. sav.,2008,1,0
Kėdainių r. sav.,2008,1,0
Prienų r. sav.,2008,1,0
Raseinių r. sav.,2008,1,0
Klaipėdos apskritis,2008,1,0
Klaipėdos m. sav.,2008,1,0
Palangos m. sav.,2008,1,0
Klaipėdos r. sav.,2008,1,0
Kretingos r. sav.,2008,1,0
Skuodo r. sav.,2008,1,0
Šilutės r. sav.,2008,1,0
Marijampolės apskritis,2008,1,1
Marijampolės r. sav.,2008,1,1
Šakių r. sav.,2008,1,0
Vilkaviškio r. sav.,2008,1,0
Panevėžio apskritis,2008,1,8
Panevėžio m. sav.,2008,1,3
Biržų r. sav.,2008,1,1
Kupiškio r. sav.,2008,1,2
Panevėžio r. sav.,2008,1,2
Pasvalio r. sav.,2008,1,0
Rokiškio r. sav.,2008,1,0
Šiaulių apskritis,2008,1,1
Šiaulių m. sav.,2008,1,0
Akmenės r. sav.,2008,1,0
Joniškio r. sav.,2008,1,0
Kelmės r. sav.,2008,1,1
Radviliškio r. sav.,2008,1,0
Šiaulių r. sav.,2008,1,0
Tauragės apskritis,2008,1,1
Jurbarko r. sav.,2008,1,0
Šilalės r. sav.,2008,1,0
Tauragės r. sav.,2008,1,1
Telšių apskritis,2008,1,1
Mažeikių r. sav.,2008,1,0
Plungės r. sav.,2008,1,0
Telšių r. sav.,2008,1,1
Utenos apskritis,2008,1,3
Visagino sav.,2008,1,0
Anykščių r. sav.,2008,1,0
Ignalinos r. sav.,2008,1,0
Molėtų r. sav.,2008,1,0
Utenos r. sav.,2008,1,3
Zarasų r. sav.,2008,1,0
Vilniaus apskritis,2008,1,13
Vilniaus m. sav.,2008,1,10
Šalčininkų r. sav.,2008,1,0
Širvintų r. sav.,2008,1,0
Švenčionių r. sav.,2008,1,1
Ukmergės r. sav.,2008,1,1
Vilniaus r. sav.,2008,1,1
Trakų r. sav.,2008,1,0
Alytaus apskritis,2008,2,1
Alytaus m. sav.,2008,2,0
Druskininkų sav.,2008,2,0
Alytaus r. sav.,2008,2,0
Lazdijų r. sav.,2008,2,1
Varėnos r. sav.,2008,2,0
Kauno apskritis,2008,2,3
Kauno m. sav.,2008,2,3
Jonavos r. sav.,2008,2,0
Kaišiadorių r. sav.,2008,2,0
Kauno r. sav.,2008,2,0
Kėdainių r. sav.,2008,2,0
Prienų r. sav.,2008,2,0
Raseinių r. sav.,2008,2,0
Klaipėdos apskritis,2008,2,1
Klaipėdos m. sav.,2008,2,0
Palangos m. sav.,2008,2,1
Klaipėdos r. sav.,2008,2,0
Kretingos r. sav.,2008,2,0
Skuodo r. sav.,2008,2,0
Šilutės r. sav.,2008,2,0
Marijampolės apskritis,2008,2,1
Marijampolės r. sav.,2008,2,1
Šakių r. sav.,2008,2,0
Vilkaviškio r. sav.,2008,2,0
Panevėžio apskritis,2008,2,6
Panevėžio m. sav.,2008,2,6
Biržų r. sav.,2008,2,0
Kupiškio r. sav.,2008,2,0
Panevėžio r. sav.,2008,2,0
Pasvalio r. sav.,2008,2,0
Rokiškio r. sav.,2008,2,0
Šiaulių apskritis,2008,2,0
Šiaulių m. sav.,2008,2,0
