name,year,month,infection
Alytaus r. sav.,2017,1,0
Alytaus m. sav.,2017,1,0
Druskininkų sav.,2017,1,0
Lazdijų r. sav.,2017,1,0
Varėnos r. sav.,2017,1,2
Alytaus apskritis,2017,1,2
Birštono sav.,2017,1,0
Jonavos r. sav.,2017,1,3
Kaišiadorių r. sav.,2017,1,0
Kauno m. sav.,2017,1,12
Kauno r. sav.,2017,1,2
Kėdainių r. sav.,2017,1,1
Prienų r. sav.,2017,1,3
Raseinių r. sav.,2017,1,1
Kauno apskritis,2017,1,22
Klaipėdos m. sav.,2017,1,1
Klaipėdos r. sav.,2017,1,0
Kretingos r. sav.,2017,1,0
Neringos sav.,2017,1,0
Palangos m. sav.,2017,1,1
Šilutės r. sav.,2017,1,0
Skuodo r. sav.,2017,1,0
Klaipėdos apskritis,2017,1,2
Marijampolės r. sav.,2017,1,0
Šakių r. sav.,2017,1,0
Vilkaviškio r. sav.,2017,1,0
Marijampolės apskritis,2017,1,0
Biržų r. sav.,2017,1,0
Kupiškio r. sav.,2017,1,0
Panevėžio r. sav.,2017,1,2
Panevėžio m. sav.,2017,1,12
Pasvalio r. sav.,2017,1,0
Rokiškio r. sav.,2017,1,0
Panevėžio apskritis,2017,1,14
Akmenės r. sav.,2017,1,0
Joniškio r. sav.,2017,1,0
Kelmės r. sav.,2017,1,1
Radviliškio r. sav.,2017,1,0
Šiaulių m. sav.,2017,1,2
Šiaulių r. sav.,2017,1,0
Šiaulių apskritis,2017,1,3
Jurbarko r. sav.,2017,1,0
Šilalės r. sav.,2017,1,1
Tauragės r. sav.,2017,1,1
Tauragės apskritis,2017,1,2
Mažeikių r. sav.,2017,1,0
Plungės r. sav.,2017,1,0
Telšių r. sav.,2017,1,1
Telšių apskritis,2017,1,1
Anykščių r. sav.,2017,1,0
Ignalinos r. sav.,2017,1,1
Molėtų r. sav.,2017,1,2
Utenos r. sav.,2017,1,1
Visagino sav.,2017,1,1
Zarasų r. sav.,2017,1,0
Utenos apskritis,2017,1,5
Šalčininkų r. sav.,2017,1,0
Širvintų r. sav.,2017,1,0
Švenčionių r. sav.,2017,1,1
Trakų r. sav.,2017,1,2
Ukmergės r. sav.,2017,1,0
Vilniaus r. sav.,2017,1,2
Vilniaus m. sav.,2017,1,16
Vilniaus apskritis,2017,1,21
Alytaus r. sav.,2017,2,1
Alytaus m. sav.,2017,2,0
Druskininkų sav.,2017,2,1
Lazdijų r. sav.,2017,2,0
Varėnos r. sav.,2017,2,0
Alytaus apskritis,2017,2,2
Birštono sav.,2017,2,0
Jonavos r. sav.,2017,2,0
Kaišiadorių r. sav.,2017,2,1
Kauno m. sav.,2017,2,4
Kauno r. sav.,2017,2,0
Kėdainių r. sav.,2017,2,0
Prienų r. sav.,2017,2,1
Raseinių r. sav.,2017,2,1
Kauno apskritis,2017,2,7
Klaipėdos m. sav.,2017,2,2
Klaipėdos r. sav.,2017,2,0
Kretingos r. sav.,2017,2,1
Neringos sav.,2017,2,0
Palangos m. sav.,2017,2,0
Šilutės r. sav.,2017,2,0
Skuodo r. sav.,2017,2,0
Klaipėdos apskritis,2017,2,3
Marijampolės r. sav.,2017,2,0
Šakių r. sav.,2017,2,0
Vilkaviškio r. sav.,2017,2,0
Marijampolės apskritis,2017,2,0
Biržų r. sav.,2017,2,1
Kupiškio r. sav.,2017,2,0
Panevėžio r. sav.,2017,2,1
Panevėžio m. sav.,2017,2,3
Pasvalio r. sav.,2017,2,0
Rokiškio r. sav.,2017,2,0
Panevėžio apskritis,2017,2,5
Akmenės r. sav.,2017,2,0
Joniškio r. sav.,2017,2,0
Kelmės r. sav.,2017,2,0
Radviliškio r. sav.,2017,2,0
Šiaulių m. sav.,2017,2,0
Šiaulių r. sav.,2017,2,0
Šiaulių apskritis,2017,2,0
Jurbarko r. sav.,2017,2,1
Šilalės r. sav.,2017,2,1
Tauragės r. sav.,2017,2,0
Tauragės apskritis,2017,2,2
Mažeikių r. sav.,2017,2,1
Plungės r. sav.,2017,2,1
Telšių r. sav.,2017,2,0
Telšių apskritis,2017,2,2
Anykščių r. sav.,2017,2,0
Ignalinos r. sav.,2017,2,1
Molėtų r. sav.,2017,2,1
Utenos r. sav.,2017,2,1
Visagino sav.,2017,2,0
Zarasų r. sav.,2017,2,0
Utenos apskritis,2017,2,3
Šalčininkų r. sav.,2017,2,0
Širvintų r. sav.,2017,2,0
Švenčionių r. sav.,2017,2,0
Trakų r. sav.,2017,2,1
Ukmergės r. sav.,2017,2,0
Vilniaus r. sav.,2017,2,3
Vilniaus m. sav.,2017,2,8
Vilniaus apskritis,2017,2,12
Alytaus r. sav.,2017,3,0
Alytaus m. sav.,2017,3,0
Druskininkų sav.,2017,3,0
Lazdijų r. sav.,2017,3,0
Varėnos r. sav.,2017,3,2
Alytaus apskritis,2017,3,2
Birštono sav.,2017,3,1
Jonavos r. sav.,2017,3,0
Kaišiadorių r. sav.,2017,3,0
Kauno m. sav.,2017,3,0
Kauno r. sav.,2017,3,1
Kėdainių r. sav.,2017,3,0
Prienų r. sav.,2017,3,0
Raseinių r. sav.,2017,3,0
Kauno apskritis,2017,3,2
Klaipėdos m. sav.,2017,3,0
Klaipėdos r. sav.,2017,3,1
Kretingos r. sav.,2017,3,0
Neringos sav.,2017,3,0
Palangos m. sav.,2017,3,1
Šilutės r. sav.,2017,3,0
Skuodo r. sav.,2017,3,0
Klaipėdos apskritis,2017,3,2
Marijampolės r. sav.,2017,3,0
Šakių r. sav.,2017,3,0
Vilkaviškio r. sav.,2017,3,1
Marijampolės apskritis,2017,3,1
Biržų r. sav.,2017,3,0
Kupiškio r. sav.,2017,3,0
Panevėžio r. sav.,2017,3,2
Panevėžio m. sav.,2017,3,4
Pasvalio r. sav.,2017,3,0
Rokiškio r. sav.,2017,3,0
Panevėžio apskritis,2017,3,6
Akmenės r. sav.,2017,3,0
Joniškio r. sav.,2017,3,0
Kelmės r. sav.,2017,3,0
Radviliškio r. sav.,2017,3,0
Šiaulių m. sav.,2017,3,0
Šiaulių r. sav.,2017,3,0
Šiaulių apskritis,2017,3,0
Jurbarko r. sav.,2017,3,0
Šilalės r. sav.,2017,3,0
Tauragės r. sav.,2017,3,0
Tauragės apskritis,2017,3,0
Mažeikių r. sav.,2017,3,0
Plungės r. sav.,2017,3,0
Telšių r. sav.,2017,3,0
Telšių apskritis,2017,3,0
Anykščių r. sav.,2017,3,0
Ignalinos r. sav.,2017,3,0
Molėtų r. sav.,2017,3,1
Utenos r. sav.,2017,3,1
Visagino sav.,2017,3,0
Zarasų r. sav.,2017,3,0
Utenos apskritis,2017,3,2
Šalčininkų r. sav.,2017,3,0
Širvintų r. sav.,2017,3,1
Švenčionių r. sav.,2017,3,2
Trakų r. sav.,2017,3,0
Ukmergės r. sav.,2017,3,1
Vilniaus r. sav.,2017,3,1
Vilniaus m. sav.,2017,3,9
Vilniaus apskritis,2017,3,14
Alytaus r. sav.,2017,4,0
Alytaus m. sav.,2017,4,0
Druskininkų sav.,2017,4,0
Lazdijų r. sav.,2017,4,0
Varėnos r. sav.,2017,4,1
Alytaus apskritis,2017,4,1
Birštono sav.,2017,4,0
Jonavos r. sav.,2017,4,0
Kaišiadorių r. sav.,2017,4,0
Kauno m. sav.,2017,4,5
Kauno r. sav.,2017,4,0
Kėdainių r. sav.,2017,4,0
Prienų r. sav.,2017,4,2
Raseinių r. sav.,2017,4,0
Kauno apskritis,2017,4,7
Klaipėdos m. sav.,2017,4,0
Klaipėdos r. sav.,2017,4,0
Kretingos r. sav.,2017,4,1
Neringos sav.,2017,4,0
Palangos m. sav.,2017,4,1
Šilutės r. sav.,2017,4,1
Skuodo r. sav.,2017,4,1
Klaipėdos apskritis,2017,4,4
Marijampolės r. sav.,2017,4,3
Šakių r. sav.,2017,4,0
Vilkaviškio r. sav.,2017,4,0
Marijampolės apskritis,2017,4,3
Biržų r. sav.,2017,4,2
Kupiškio r. sav.,2017,4,0
Panevėžio r. sav.,2017,4,1
Panevėžio m. sav.,2017,4,2
Pasvalio r. sav.,2017,4,0
Rokiškio r. sav.,2017,4,0
Panevėžio apskritis,2017,4,5
Akmenės r. sav.,2017,4,0
Joniškio r. sav.,2017,4,0
Kelmės r. sav.,2017,4,0
Radviliškio r. sav.,2017,4,2
Šiaulių m. sav.,2017,4,0
Šiaulių r. sav.,2017,4,0
Šiaulių apskritis,2017,4,3
Jurbarko r. sav.,2017,4,1
Šilalės r. sav.,2017,4,0
