name,year,month,infection
Tauragės apskritis,2005,3,0
Jurbarko r. sav.,2005,3,0
Šilalės r. sav.,2005,3,0
Tauragės r. sav.,2005,3,0
Telšių apskritis,2005,3,0
Mažeikių r. sav.,2005,3,0
Plungės r. sav.,2005,3,0
Telšių r. sav.,2005,3,0
Utenos apskritis,2005,3,2
Visagino sav.,2005,3,0
Anykščių r. sav.,2005,3,2
Ignalinos r. sav.,2005,3,0
Molėtų r. sav.,2005,3,0
Utenos r. sav.,2005,3,0
Zarasų r. sav.,2005,3,0
Vilniaus apskritis,2005,3,2
Vilniaus m. sav.,2005,3,2
Šalčininkų r. sav.,2005,3,0
Širvintų r. sav.,2005,3,0
Švenčionių r. sav.,2005,3,0
Ukmergės r. sav.,2005,3,0
Vilniaus r. sav.,2005,3,1
Trakų r. sav.,2005,3,0
Alytaus apskritis,2005,4,0
Alytaus m. sav.,2005,4,0
Druskininkų sav.,2005,4,0
Alytaus r. sav.,2005,4,0
Lazdijų r. sav.,2005,4,0
Varėnos r. sav.,2005,4,0
Kauno apskritis,2005,4,6
Kauno m. sav.,2005,4,3
Jonavos r. sav.,2005,4,0
Kaišiadorių r. sav.,2005,4,1
Kauno r. sav.,2005,4,0
Kėdainių r. sav.,2005,4,1
Prienų r. sav.,2005,4,0
Raseinių r. sav.,2005,4,1
Klaipėdos apskritis,2005,4,0
Klaipėdos m. sav.,2005,4,0
Palangos m. sav.,2005,4,0
Klaipėdos r. sav.,2005,4,0
Kretingos r. sav.,2005,4,0
Skuodo r. sav.,2005,4,0
Šilutės r. sav.,2005,4,0
Marijampolės apskritis,2005,4,0
Marijampolės r. sav.,2005,4,0
Šakių r. sav.,2005,4,0
Vilkaviškio r. sav.,2005,4,0
Panevėžio apskritis,2005,4,1
Panevėžio m. sav.,2005,4,1
Biržų r. sav.,2005,4,0
Kupiškio r. sav.,2005,4,0
Panevėžio r. sav.,2005,4,0
Pasvalio r. sav.,2005,4,0
Rokiškio r. sav.,2005,4,0
Šiaulių apskritis,2005,4,2
Šiaulių m. sav.,2005,4,0
Akmenės r. sav.,2005,4,0
Joniškio r. sav.,2005,4,0
Kelmės r. sav.,2005,4,1
Radviliškio r. sav.,2005,4,0
Šiaulių r. sav.,2005,4,1
Tauragės apskritis,2005,4,1
Jurbarko r. sav.,2005,4,0
Šilalės r. sav.,2005,4,0
Tauragės r. sav.,2005,4,1
Telšių apskritis,2005,4,0
Mažeikių r. sav.,2005,4,0
Plungės r. sav.,2005,4,0
Telšių r. sav.,2005,4,0
Utenos apskritis,2005,4,1
Visagino sav.,2005,4,0
Anykščių r. sav.,2005,4,0
Ignalinos r. sav.,2005,4,0
Molėtų r. sav.,2005,4,0
Alytaus apskritis,2005,5,2
Alytaus m. sav.,2005,5,1
Druskininkų sav.,2005,5,0
Alytaus r. sav.,2005,5,0
Lazdijų r. sav.,2005,5,1
Varėnos r. sav.,2005,5,0
Kauno apskritis,2005,5,15
Kauno m. sav.,2005,5,10
Jonavos r. sav.,2005,5,1
Kaišiadorių r. sav.,2005,5,0
Kauno r. sav.,2005,5,0
Kėdainių r. sav.,2005,5,0
Prienų r. sav.,2005,5,1
Raseinių r. sav.,2005,5,3
Klaipėdos apskritis,2005,5,3
Klaipėdos m. sav.,2005,5,1
Palangos m. sav.,2005,5,0
Klaipėdos r. sav.,2005,5,2
Kretingos r. sav.,2005,5,0
Skuodo r. sav.,2005,5,0
Šilutės r. sav.,2005,5,0
Marijampolės apskritis,2005,5,2
Marijampolės r. sav.,2005,5,0
Šakių r. sav.,2005,5,2
Vilkaviškio r. sav.,2005,5,0
Panevėžio apskritis,2005,5,13
Panevėžio m. sav.,2005,5,7
Biržų r. sav.,2005,5,1
Kupiškio r. sav.,2005,5,0
Panevėžio r. sav.,2005,5,3
Pasvalio r. sav.,2005,5,0
Rokiškio r. sav.,2005,5,2
Šiaulių apskritis,2005,5,3
Šiaulių m. sav.,2005,5,1
Akmenės r. sav.,2005,5,0
Joniškio r. sav.,2005,5,0
Kelmės r. sav.,2005,5,2
Radviliškio r. sav.,2005,5,0
Šiaulių r. sav.,2005,5,0
Tauragės apskritis,2005,5,1
Jurbarko r. sav.,2005,5,1
Šilalės r. sav.,2005,5,0
Tauragės r. sav.,2005,5,0
Telšių apskritis,2005,5,1
Mažeikių r. sav.,2005,5,0
Plungės r. sav.,2005,5,1
Telšių r. sav.,2005,5,0
Utenos apskritis,2005,5,0
Visagino sav.,2005,5,0
Anykščių r. sav.,2005,5,0
Ignalinos r. sav.,2005,5,0
Molėtų r. sav.,2005,5,0
Utenos r. sav.,2005,5,0
Zarasų r. sav.,2005,5,0
Vilniaus apskritis,2005,5,7
Vilniaus m. sav.,2005,5,7
Šalčininkų r. sav.,2005,5,0
Širvintų r. sav.,2005,5,0
Švenčionių r. sav.,2005,5,0
Ukmergės r. sav.,2005,5,0
Vilniaus r. sav.,2005,5,3
Trakų r. sav.,2005,5,0
Alytaus apskritis,2005,6,1
Alytaus m. sav.,2005,6,1
Druskininkų sav.,2005,6,0
Alytaus r. sav.,2005,6,0
Lazdijų r. sav.,2005,6,0
Varėnos r. sav.,2005,6,0
Kauno apskritis,2005,6,40
Kauno m. sav.,2005,6,24
Jonavos r. sav.,2005,6,3
Kaišiadorių r. sav.,2005,6,1
Kauno r. sav.,2005,6,6
Kėdainių r. sav.,2005,6,1
Prienų r. sav.,2005,6,2
Raseinių r. sav.,2005,6,3
Klaipėdos apskritis,2005,6,1
Klaipėdos m. sav.,2005,6,0
Palangos m. sav.,2005,6,1
Klaipėdos r. sav.,2005,6,0
Kretingos r. sav.,2005,6,0
Skuodo r. sav.,2005,6,0
Šilutės r. sav.,2005,6,0
Marijampolės apskritis,2005,6,4
Marijampolės r. sav.,2005,6,2
Šakių r. sav.,2005,6,1
Vilkaviškio r. sav.,2005,6,1
Panevėžio apskritis,2005,6,4
Panevėžio m. sav.,2005,6,2
Biržų r. sav.,2005,6,0
Kupiškio r. sav.,2005,6,0
Panevėžio r. sav.,2005,6,2
Pasvalio r. sav.,2005,6,0
Rokiškio r. sav.,2005,6,0
Šiaulių apskritis,2005,6,2
Šiaulių m. sav.,2005,6,1
