name,year,month,infection
Alytaus r. sav.,2014,1,0
Alytaus m. sav.,2014,1,1
Druskininkų sav.,2014,1,0
Lazdyjų r.,2014,1,0
Varėnos r. sav.,2014,1,0
Alytaus apskritis,2014,1,1
Birštono sav.,2014,1,1
Jonavos r. sav.,2014,1,1
Kaišiadorių r. sav.,2014,1,3
Kauno m. sav.,2014,1,7
Kauno r. sav.,2014,1,1
Kėdainių r. sav.,2014,1,1
Prienų r. sav.,2014,1,0
Raseinių r. sav.,2014,1,0
Kauno apskritis,2014,1,14
Klaipėdos m. sav.,2014,1,1
Klaipėdos r. sav.,2014,1,0
Kretingos r. sav.,2014,1,2
Neringos sav.,2014,1,0
Palangos m. sav.,2014,1,0
Šilutės r. sav.,2014,1,1
Skuodo r. sav.,2014,1,0
Klaipėdos apskritis,2014,1,4
Marijampolės r. sav.,2014,1,0
Šakių r. sav.,2014,1,0
Vilkaviškio r. sav.,2014,1,0
Marijampolės apskritis,2014,1,0
Biržų r. sav.,2014,1,0
Kupiškio r. sav.,2014,1,1
Panevėžio r. sav.,2014,1,3
Panevėžio m. sav.,2014,1,2
Pasvalio r. sav.,2014,1,0
Rokiškio r. sav.,2014,1,2
Panevėžio apskritis,2014,1,8
Akmenės r. sav.,2014,1,0
Joniškio r. sav.,2014,1,0
Kelmės r. sav.,2014,1,0
Radviliškio r. sav.,2014,1,0
Šiaulių m. sav.,2014,1,2
Šiaulių r. sav.,2014,1,0
Šiaulių apskritis,2014,1,3
Jurbarko r. sav.,2014,1,0
Šilalės r. sav.,2014,1,0
Tauragės r. sav.,2014,1,2
Tauragės apskritis,2014,1,2
Mažeikių r. sav.,2014,1,0
Plungės r. sav.,2014,1,0
Telšių r. sav.,2014,1,1
Telšių apskritis,2014,1,1
Anykščių r. sav.,2014,1,1
Ignalinos r. sav.,2014,1,0
Molėtų r. sav.,2014,1,0
Utenos r. sav.,2014,1,2
Visagino sav.,2014,1,1
Zarasų r. sav.,2014,1,0
Utenos apskritis,2014,1,4
Šalčininkų r. sav.,2014,1,0
Širvintų r. sav.,2014,1,0
Švenčionių r. sav.,2014,1,2
Trakų r. sav.,2014,1,1
Ukmergės r. sav.,2014,1,3
Vilniaus r. sav.,2014,1,1
Vilniaus m. sav.,2014,1,12
Vilniaus apskritis,2014,1,19
Alytaus r. sav.,2014,2,0
Alytaus m. sav.,2014,2,0
Druskininkų sav.,2014,2,0
Lazdyjų r.,2014,2,0
Varėnos r. sav.,2014,2,2
Alytaus apskritis,2014,2,2
Birštono sav.,2014,2,0
Jonavos r. sav.,2014,2,0
Kaišiadorių r. sav.,2014,2,0
Kauno m. sav.,2014,2,5
Kauno r. sav.,2014,2,2
Kėdainių r. sav.,2014,2,1
Prienų r. sav.,2014,2,0
Raseinių r. sav.,2014,2,0
Kauno apskritis,2014,2,8
Klaipėdos m. sav.,2014,2,0
Klaipėdos r. sav.,2014,2,0
Kretingos r. sav.,2014,2,0
Neringos sav.,2014,2,0
Palangos m. sav.,2014,2,0
Šilutės r. sav.,2014,2,1
Skuodo r. sav.,2014,2,0
Klaipėdos apskritis,2014,2,1
Marijampolės r. sav.,2014,2,0
Šakių r. sav.,2014,2,0
Vilkaviškio r. sav.,2014,2,0
Marijampolės apskritis,2014,2,0
Biržų r. sav.,2014,2,0
Kupiškio r. sav.,2014,2,0
Panevėžio r. sav.,2014,2,0
Panevėžio m. sav.,2014,2,0
Pasvalio r. sav.,2014,2,0
Rokiškio r. sav.,2014,2,3
Panevėžio apskritis,2014,2,3
Akmenės r. sav.,2014,2,0
Joniškio r. sav.,2014,2,0
Kelmės r. sav.,2014,2,0
Radviliškio r. sav.,2014,2,0
Šiaulių m. sav.,2014,2,3
Šiaulių r. sav.,2014,2,0
Šiaulių apskritis,2014,2,3
Jurbarko r. sav.,2014,2,0
Šilalės r. sav.,2014,2,0
Tauragės r. sav.,2014,2,0
Tauragės apskritis,2014,2,0
Mažeikių r. sav.,2014,2,3
Plungės r. sav.,2014,2,0
Telšių r. sav.,2014,2,2
Telšių apskritis,2014,2,5
Anykščių r. sav.,2014,2,0
Ignalinos r. sav.,2014,2,0
Molėtų r. sav.,2014,2,0
Utenos r. sav.,2014,2,4
Visagino sav.,2014,2,1
Zarasų r. sav.,2014,2,1
Utenos apskritis,2014,2,6
Šalčininkų r. sav.,2014,2,0
Širvintų r. sav.,2014,2,0
Švenčionių r. sav.,2014,2,0
Trakų r. sav.,2014,2,3
Ukmergės r. sav.,2014,2,2
Vilniaus r. sav.,2014,2,0
Vilniaus m. sav.,2014,2,11
Vilniaus apskritis,2014,2,16
Alytaus r. sav.,2014,3,0
Alytaus m. sav.,2014,3,0
Druskininkų sav.,2014,3,0
Lazdyjų r.,2014,3,0
Varėnos r. sav.,2014,3,0
Alytaus apskritis,2014,3,0
Birštono sav.,2014,3,0
Jonavos r. sav.,2014,3,1
Kaišiadorių r. sav.,2014,3,0
Kauno m. sav.,2014,3,4
Kauno r. sav.,2014,3,0
Kėdainių r. sav.,2014,3,0
Prienų r. sav.,2014,3,0
Raseinių r. sav.,2014,3,0
Kauno apskritis,2014,3,5
Klaipėdos m. sav.,2014,3,1
Klaipėdos r. sav.,2014,3,0
Kretingos r. sav.,2014,3,0
Neringos sav.,2014,3,0
Palangos m. sav.,2014,3,0
Šilutės r. sav.,2014,3,1
Skuodo r. sav.,2014,3,0
Klaipėdos apskritis,2014,3,2
Marijampolės r. sav.,2014,3,0
Šakių r. sav.,2014,3,1
Vilkaviškio r. sav.,2014,3,0
Marijampolės apskritis,2014,3,1
Biržų r. sav.,2014,3,1
Kupiškio r. sav.,2014,3,1
Panevėžio r. sav.,2014,3,0
Panevėžio m. sav.,2014,3,0
Pasvalio r. sav.,2014,3,0
Rokiškio r. sav.,2014,3,0
Panevėžio apskritis,2014,3,2
Akmenės r. sav.,2014,3,0
Joniškio r. sav.,2014,3,0
Kelmės r. sav.,2014,3,0
Radviliškio r. sav.,2014,3,2
Šiaulių m. sav.,2014,3,1
Šiaulių r. sav.,2014,3,0
Šiaulių apskritis,2014,3,3
Jurbarko r. sav.,2014,3,0
Šilalės r. sav.,2014,3,0
Tauragės r. sav.,2014,3,0
Tauragės apskritis,2014,3,0
Mažeikių r. sav.,2014,3,0
Plungės r. sav.,2014,3,0
Telšių r. sav.,2014,3,1
Telšių apskritis,2014,3,1
Anykščių r. sav.,2014,3,1
Ignalinos r. sav.,2014,3,0
Molėtų r. sav.,2014,3,0
Utenos r. sav.,2014,3,0
Visagino sav.,2014,3,0
Zarasų r. sav.,2014,3,0
Utenos apskritis,2014,3,1
Šalčininkų r. sav.,2014,3,0
Širvintų r. sav.,2014,3,0
Švenčionių r. sav.,2014,3,0
Trakų r. sav.,2014,3,0
Ukmergės r. sav.,2014,3,0
Vilniaus r. sav.,2014,3,3
Vilniaus m. sav.,2014,3,8
Vilniaus apskritis,2014,3,11
Alytaus r. sav.,2014,4,0
Alytaus m. sav.,2014,4,0
Druskininkų sav.,2014,4,1
Lazdyjų r.,2014,4,1
Varėnos r. sav.,2014,4,0
