name,year,month,infection
Alytaus apskritis,2010,1,1
Alytaus m. sav.,2010,1,0
Druskininkų sav.,2010,1,0
Alytaus r. sav.,2010,1,0
Lazdijų r. sav.,2010,1,0
Varėnos r. sav.,2010,1,1
Kauno apskritis,2010,1,7
Kauno m. sav.,2010,1,4
Jonavos r. sav.,2010,1,1
Kaišiadorių r. sav.,2010,1,0
Kauno r. sav.,2010,1,0
Kėdainių r. sav.,2010,1,0
Prienų r. sav.,2010,1,2
Raseinių r. sav.,2010,1,0
Klaipėdos apskritis,2010,1,1
Klaipėdos m. sav.,2010,1,0
Palangos m. sav.,2010,1,0
Klaipėdos r. sav.,2010,1,1
Kretingos r. sav.,2010,1,0
Skuodo r. sav.,2010,1,0
Šilutės r. sav.,2010,1,0
Marijampolės apskritis,2010,1,1
Marijampolės r. sav.,2010,1,1
Šakių r. sav.,2010,1,0
Vilkaviškio r. sav.,2010,1,0
Panevėžio apskritis,2010,1,27
Panevėžio m. sav.,2010,1,16
Biržų r. sav.,2010,1,3
Kupiškio r. sav.,2010,1,0
Panevėžio r. sav.,2010,1,4
Pasvalio r. sav.,2010,1,0
Rokiškio r. sav.,2010,1,4
Šiaulių apskritis,2010,1,9
Šiaulių m. sav.,2010,1,7
Akmenės r. sav.,2010,1,0
Joniškio r. sav.,2010,1,1
Kelmės r. sav.,2010,1,1
Radviliškio r. sav.,2010,1,0
Šiaulių r. sav.,2010,1,0
Tauragės apskritis,2010,1,6
Jurbarko r. sav.,2010,1,1
Šilalės r. sav.,2010,1,1
Tauragės r. sav.,2010,1,4
Telšių apskritis,2010,1,6
Mažeikių r. sav.,2010,1,1
Plungės r. sav.,2010,1,0
Telšių r. sav.,2010,1,5
Utenos apskritis,2010,1,4
Visagino sav.,2010,1,0
Anykščių r. sav.,2010,1,0
Ignalinos r. sav.,2010,1,0
Molėtų r. sav.,2010,1,0
Utenos r. sav.,2010,1,3
Zarasų r. sav.,2010,1,1
Vilniaus apskritis,2010,1,23
Vilniaus m. sav.,2010,1,16
Šalčininkų r. sav.,2010,1,1
Širvintų r. sav.,2010,1,2
Švenčionių r. sav.,2010,1,0
Ukmergės r. sav.,2010,1,0
Vilniaus r. sav.,2010,1,4
Trakų r. sav.,2010,1,0
Alytaus apskritis,2010,2,2
Alytaus m. sav.,2010,2,0
Druskininkų sav.,2010,2,1
Alytaus r. sav.,2010,2,0
Lazdijų r. sav.,2010,2,0
Varėnos r. sav.,2010,2,1
Kauno apskritis,2010,2,8
Kauno m. sav.,2010,2,5
Jonavos r. sav.,2010,2,0
Kaišiadorių r. sav.,2010,2,0
Kauno r. sav.,2010,2,2
Kėdainių r. sav.,2010,2,0
Prienų r. sav.,2010,2,1
Raseinių r. sav.,2010,2,0
Klaipėdos apskritis,2010,2,3
Klaipėdos m. sav.,2010,2,3
Palangos m. sav.,2010,2,0
Klaipėdos r. sav.,2010,2,0
Kretingos r. sav.,2010,2,0
Skuodo r. sav.,2010,2,0
Šilutės r. sav.,2010,2,0
Marijampolės apskritis,2010,2,3
Marijampolės r. sav.,2010,2,1
Šakių r. sav.,2010,2,1
Vilkaviškio r. sav.,2010,2,1
Panevėžio apskritis,2010,2,8
Panevėžio m. sav.,2010,2,5
Biržų r. sav.,2010,2,1
Kupiškio r. sav.,2010,2,0
Panevėžio r. sav.,2010,2,2
Pasvalio r. sav.,2010,2,0
Rokiškio r. sav.,2010,2,0
Šiaulių apskritis,2010,2,5
Šiaulių m. sav.,2010,2,3
Akmenės r. sav.,2010,2,0
Joniškio r. sav.,2010,2,0
Kelmės r. sav.,2010,2,0
Radviliškio r. sav.,2010,2,1
Šiaulių r. sav.,2010,2,1
Tauragės apskritis,2010,2,3
Jurbarko r. sav.,2010,2,0
Šilalės r. sav.,2010,2,0
Tauragės r. sav.,2010,2,3
Telšių apskritis,2010,2,0
Mažeikių r. sav.,2010,2,0
Plungės r. sav.,2010,2,0
Telšių r. sav.,2010,2,0
Utenos apskritis,2010,2,5
Visagino sav.,2010,2,0
Anykščių r. sav.,2010,2,1
Ignalinos r. sav.,2010,2,0
Molėtų r. sav.,2010,2,0
Utenos r. sav.,2010,2,3
Zarasų r. sav.,2010,2,1
Vilniaus apskritis,2010,2,11
Vilniaus m. sav.,2010,2,8
Šalčininkų r. sav.,2010,2,0
Širvintų r. sav.,2010,2,1
Švenčionių r. sav.,2010,2,0
Ukmergės r. sav.,2010,2,0
Vilniaus r. sav.,2010,2,2
Trakų r. sav.,2010,2,0
Alytaus apskritis,2010,3,0
Alytaus m. sav.,2010,3,0
Druskininkų sav.,2010,3,0
Alytaus r. sav.,2010,3,0
Lazdijų r. sav.,2010,3,0
Varėnos r. sav.,2010,3,0
Kauno apskritis,2010,3,2
Kauno m. sav.,2010,3,0
Jonavos r. sav.,2010,3,2
Kaišiadorių r. sav.,2010,3,0
Kauno r. sav.,2010,3,0
Kėdainių r. sav.,2010,3,0
Prienų r. sav.,2010,3,0
Raseinių r. sav.,2010,3,0
Klaipėdos apskritis,2010,3,2
Klaipėdos m. sav.,2010,3,2
Palangos m. sav.,2010,3,0
Klaipėdos r. sav.,2010,3,0
Kretingos r. sav.,2010,3,0
Skuodo r. sav.,2010,3,0
Šilutės r. sav.,2010,3,0
Marijampolės apskritis,2010,3,1
Marijampolės r. sav.,2010,3,1
Šakių r. sav.,2010,3,0
Vilkaviškio r. sav.,2010,3,0
Panevėžio apskritis,2010,3,11
Panevėžio m. sav.,2010,3,7
Biržų r. sav.,2010,3,1
Kupiškio r. sav.,2010,3,0
Panevėžio r. sav.,2010,3,1
Pasvalio r. sav.,2010,3,0
Rokiškio r. sav.,2010,3,2
Šiaulių apskritis,2010,3,2
