name,year,month,infection
Alytaus apskritis,2004,3,1
Alytaus m. sav.,2004,3,1
Druskininkų sav.,2004,3,0
Alytaus r. sav.,2004,3,0
Lazdijų r. sav.,2004,3,0
Varėnos r. sav.,2004,3,0
Kauno apskritis,2004,3,22
Kauno m. sav.,2004,3,18
Jonavos r. sav.,2004,3,0
Kaišiadorių r. sav.,2004,3,2
Kauno r. sav.,2004,3,1
Kėdainių r. sav.,2004,3,0
Prienų r. sav.,2004,3,0
Raseinių r. sav.,2004,3,1
Klaipėdos apskritis,2004,3,1
Klaipėdos m. sav.,2004,3,0
Palangos m. sav.,2004,3,0
Klaipėdos r. sav.,2004,3,0
Kretingos r. sav.,2004,3,0
Skuodo r. sav.,2004,3,0
Šilutės r. sav.,2004,3,1
Marijampolės apskritis,2004,3,1
Marijampolės r. sav.,2004,3,0
Šakių r. sav.,2004,3,0
Vilkaviškio r. sav.,2004,3,1
Panevėžio apskritis,2004,3,14
Panevėžio m. sav.,2004,3,7
Biržų r. sav.,2004,3,1
Kupiškio r. sav.,2004,3,0
Panevėžio r. sav.,2004,3,1
Pasvalio r. sav.,2004,3,0
Rokiškio r. sav.,2004,3,5
Šiaulių apskritis,2004,3,6
Šiaulių m. sav.,2004,3,4
Akmenės r. sav.,2004,3,0
Joniškio r. sav.,2004,3,0
Kelmės r. sav.,2004,3,1
Radviliškio r. sav.,2004,3,0
Šiaulių r. sav.,2004,3,1
Tauragės apskritis,2004,3,0
Jurbarko r. sav.,2004,3,0
Šilalės r. sav.,2004,3,0
Tauragės r. sav.,2004,3,0
Telšių apskritis,2004,3,4
Mažeikių r. sav.,2004,3,1
Plungės r. sav.,2004,3,0
Telšių r. sav.,2004,3,3
Utenos apskritis,2004,3,6
Visagino sav.,2004,3,0
Anykščių r. sav.,2004,3,3
Ignalinos r. sav.,2004,3,0
Molėtų r. sav.,2004,3,0
Utenos r. sav.,2004,3,3
Zarasų r. sav.,2004,3,0
Vilniaus apskritis,2004,3,6
Šalčininkų r. sav.,2004,3,0
Širvintų r. sav.,2004,3,0
Švenčionių r. sav.,2004,3,0
Ukmergės r. sav.,2004,3,0
Trakų r. sav.,2004,3,1
Alytaus apskritis,2004,4,2
Alytaus m. sav.,2004,4,1
Druskininkų sav.,2004,4,0
Alytaus r. sav.,2004,4,0
Lazdijų r. sav.,2004,4,1
Varėnos r. sav.,2004,4,0
Kauno apskritis,2004,4,9
Kauno m. sav.,2004,4,5
Jonavos r. sav.,2004,4,0
Kaišiadorių r. sav.,2004,4,1
Kauno r. sav.,2004,4,1
Kėdainių r. sav.,2004,4,2
Prienų r. sav.,2004,4,0
Raseinių r. sav.,2004,4,0
Klaipėdos apskritis,2004,4,3
Klaipėdos m. sav.,2004,4,0
Palangos m. sav.,2004,4,2
Klaipėdos r. sav.,2004,4,1
Kretingos r. sav.,2004,4,0
Skuodo r. sav.,2004,4,0
Šilutės r. sav.,2004,4,0
Marijampolės apskritis,2004,4,3
Marijampolės r. sav.,2004,4,1
Šakių r. sav.,2004,4,1
Vilkaviškio r. sav.,2004,4,1
Panevėžio apskritis,2004,4,12
Panevėžio m. sav.,2004,4,5
Biržų r. sav.,2004,4,0
Kupiškio r. sav.,2004,4,0
Panevėžio r. sav.,2004,4,1
Pasvalio r. sav.,2004,4,0
Rokiškio r. sav.,2004,4,6
Šiaulių apskritis,2004,4,4
Šiaulių m. sav.,2004,4,3
Akmenės r. sav.,2004,4,0
Joniškio r. sav.,2004,4,0
Kelmės r. sav.,2004,4,0
Radviliškio r. sav.,2004,4,0
Šiaulių r. sav.,2004,4,1
Tauragės apskritis,2004,4,2
Jurbarko r. sav.,2004,4,0
Šilalės r. sav.,2004,4,0
Tauragės r. sav.,2004,4,2
Telšių apskritis,2004,4,2
Mažeikių r. sav.,2004,4,1
Plungės r. sav.,2004,4,1
Telšių r. sav.,2004,4,0
Utenos apskritis,2004,4,5
Visagino sav.,2004,4,1
Anykščių r. sav.,2004,4,2
Ignalinos r. sav.,2004,4,0
Molėtų r. sav.,2004,4,0
Utenos r. sav.,2004,4,2
Zarasų r. sav.,2004,4,0
Vilniaus apskritis,2004,4,4
Šalčininkų r. sav.,2004,4,0
Širvintų r. sav.,2004,4,0
Švenčionių r. sav.,2004,4,0
Ukmergės r. sav.,2004,4,0
Trakų r. sav.,2004,4,2
Alytaus apskritis,2004,5,0
Alytaus m. sav.,2004,5,0
Druskininkų sav.,2004,5,0
Alytaus r. sav.,2004,5,0
Lazdijų r. sav.,2004,5,0
Varėnos r. sav.,2004,5,0
Kauno apskritis,2004,5,17
Kauno m. sav.,2004,5,13
Jonavos r. sav.,2004,5,3
Kaišiadorių r. sav.,2004,5,0
Kauno r. sav.,2004,5,0
Kėdainių r. sav.,2004,5,0
Prienų r. sav.,2004,5,0
Raseinių r. sav.,2004,5,1
Klaipėdos apskritis,2004,5,7
Klaipėdos m. sav.,2004,5,4
Palangos m. sav.,2004,5,0
Klaipėdos r. sav.,2004,5,1
Kretingos r. sav.,2004,5,0
Skuodo r. sav.,2004,5,0
Šilutės r. sav.,2004,5,2
Marijampolės apskritis,2004,5,0
Marijampolės r. sav.,2004,5,0
Šakių r. sav.,2004,5,0
Vilkaviškio r. sav.,2004,5,0
Panevėžio apskritis,2004,5,9
Panevėžio m. sav.,2004,5,3
Biržų r. sav.,2004,5,2
Kupiškio r. sav.,2004,5,0
Panevėžio r. sav.,2004,5,2
Pasvalio r. sav.,2004,5,0
Rokiškio r. sav.,2004,5,2
Šiaulių apskritis,2004,5,8
Šiaulių m. sav.,2004,5,1
Akmenės r. sav.,2004,5,2
Joniškio r. sav.,2004,5,0
Kelmės r. sav.,2004,5,0
Radviliškio r. sav.,2004,5,1
Šiaulių r. sav.,2004,5,2
Tauragės apskritis,2004,5,2
Jurbarko r. sav.,2004,5,0
Šilalės r. sav.,2004,5,0
Tauragės r. sav.,2004,5,2
Telšių apskritis,2004,5,4
Mažeikių r. sav.,2004,5,1
Plungės r. sav.,2004,5,0
Telšių r. sav.,2004,5,3
Utenos apskritis,2004,5,2
Visagino sav.,2004,5,0
Anykščių r. sav.,2004,5,0
Ignalinos r. sav.,2004,5,0
Molėtų r. sav.,2004,5,0
Utenos r. sav.,2004,5,2
Zarasų r. sav.,2004,5,0
Vilniaus apskritis,2004,5,4
Šalčininkų r. sav.,2004,5,0
Širvintų r. sav.,2004,5,0
Švenčionių r. sav.,2004,5,0
Ukmergės r. sav.,2004,5,0
Trakų r. sav.,2004,5,1
Alytaus apskritis,2004,6,1
Alytaus m. sav.,2004,6,1
Druskininkų sav.,2004,6,0
Alytaus r. sav.,2004,6,0
Lazdijų r. sav.,2004,6,0
Varėnos r. sav.,2004,6,0
Kauno apskritis,2004,6,34
Kauno m. sav.,2004,6,17
Jonavos r. sav.,2004,6,5
Kaišiadorių r. sav.,2004,6,1
Kauno r. sav.,2004,6,5
Kėdainių r. sav.,2004,6,2
Prienų r. sav.,2004,6,1
Raseinių r. sav.,2004,6,3
Klaipėdos apskritis,2004,6,5
Klaipėdos m. sav.,2004,6,4
Palangos m. sav.,2004,6,0
Klaipėdos r. sav.,2004,6,1
Kretingos r. sav.,2004,6,0
Skuodo r. sav.,2004,6,0
Šilutės r. sav.,2004,6,0
Marijampolės apskritis,2004,6,1
Marijampolės r. sav.,2004,6,1
Šakių r. sav.,2004,6,0
Vilkaviškio r. sav.,2004,6,0
Panevėžio apskritis,2004,6,13
Panevėžio m. sav.,2004,6,7
Biržų r. sav.,2004,6,0
Kupiškio r. sav.,2004,6,0
Panevėžio r. sav.,2004,6,3
Pasvalio r. sav.,2004,6,0
Rokiškio r. sav.,2004,6,3
Šiaulių apskritis,2004,6,8
Šiaulių m. sav.,2004,6,3
Akmenės r. sav.,2004,6,1
Joniškio r. sav.,2004,6,0
Kelmės r. sav.,2004,6,0
Radviliškio r. sav.,2004,6,0
Šiaulių r. sav.,2004,6,3
Tauragės apskritis,2004,6,1
Jurbarko r. sav.,2004,6,1
Šilalės r. sav.,2004,6,0
Tauragės r. sav.,2004,6,0
Telšių apskritis,2004,6,2
Mažeikių r. sav.,2004,6,1
Plungės r. sav.,2004,6,0
Telšių r. sav.,2004,6,1
Utenos apskritis,2004,6,6
Visagino sav.,2004,6,0
Anykščių r. sav.,2004,6,0
Ignalinos r. sav.,2004,6,0
Molėtų r. sav.,2004,6,1
Utenos r. sav.,2004,6,5
Zarasų r. sav.,2004,6,0
Vilniaus apskritis,2004,6,25
Šalčininkų r. sav.,2004,6,0
Širvintų r. sav.,2004,6,0
Švenčionių r. sav.,2004,6,0
