name,year,month,infections
Alytaus apskritis,2006,1,0
Alytus,2006,1,0
Druskininkai,2006,1,0
Alytaus r.,2006,1,0
Lazdijų r.,2006,1,0
Varėnos r.,2006,1,0
Kauno apskritis,2006,1,10
Kaunas,2006,1,8
Jonavos r.,2006,1,0
Kaišiadorių r.,2006,1,0
Kauno r.,2006,1,1
Kėdainių r.,2006,1,0
Prienų r.,2006,1,0
Raseinių r.,2006,1,1
Klaipėdos apskritis,2006,1,1
Klaipėda,2006,1,0
Palanga,2006,1,0
Klaipėdos r.,2006,1,1
Kretingos r.,2006,1,0
Skuodo r.,2006,1,0
Šilutės r.,2006,1,0
Marijampolės apskritis,2006,1,0
Marijampolės r.,2006,1,0
Šakių r.,2006,1,0
Vilkaviškio r.,2006,1,0
Panevėžio apskritis,2006,1,4
Panevėžys,2006,1,2
Biržų r.,2006,1,0
Kupiškio r.,2006,1,0
Panevėžio r.,2006,1,1
Pasvalio r.,2006,1,1
Rokiškio r.,2006,1,0
Šiaulių apskritis,2006,1,0
Šiauliai,2006,1,0
Akmenės r.,2006,1,0
Joniškio r.,2006,1,0
Kelmės r.,2006,1,0
Radviliškio r.,2006,1,0
Šiaulių r.,2006,1,0
Tauragės apskritis,2006,1,0
Jurbarko r.,2006,1,0
Šilalės r.,2006,1,0
Tauragės r.,2006,1,0
Telšių apskritis,2006,1,1
Mažeikių r.,2006,1,0
Plungės r.,2006,1,0
Telšių r.,2006,1,1
Utenos apskritis,2006,1,2
Visaginas,2006,1,0
Anykščių r.,2006,1,1
Ignalinos r.,2006,1,0
Molėtų r.,2006,1,0
Utenos r.,2006,1,1
Zarasų r.,2006,1,0
Vilniaus apskritis,2006,1,7
Vilnius,2006,1,7
Šalčininkų r.,2006,1,0
Širvintų r.,2006,1,0
Švenčionių r.,2006,1,0
Ukmergės r.,2006,1,0
Vilniaus r.,2006,1,2
Trakų r.,2006,1,2
Alytaus apskritis,2006,2,1
Alytus,2006,2,1
Druskininkai,2006,2,0
Alytaus r.,2006,2,0
Lazdijų r.,2006,2,0
Varėnos r.,2006,2,0
Kauno apskritis,2006,2,6
Kaunas,2006,2,3
Jonavos r.,2006,2,0
Kaišiadorių r.,2006,2,0
Kauno r.,2006,2,2
Kėdainių r.,2006,2,0
Prienų r.,2006,2,0
Raseinių r.,2006,2,1
Klaipėdos apskritis,2006,2,0
Klaipėda,2006,2,0
Palanga,2006,2,0
Klaipėdos r.,2006,2,0
Kretingos r.,2006,2,0
Skuodo r.,2006,2,0
Šilutės r.,2006,2,0
Marijampolės apskritis,2006,2,1
Marijampolės r.,2006,2,0
Šakių r.,2006,2,0
Vilkaviškio r.,2006,2,1
Panevėžio apskritis,2006,2,1
Panevėžys,2006,2,0
Biržų r.,2006,2,0
Kupiškio r.,2006,2,0
Panevėžio r.,2006,2,1
Pasvalio r.,2006,2,0
Rokiškio r.,2006,2,0
Šiaulių apskritis,2006,2,0
Šiauliai,2006,2,0
Akmenės r.,2006,2,0
Joniškio r.,2006,2,0
Kelmės r.,2006,2,0
Radviliškio r.,2006,2,0
Šiaulių r.,2006,2,0
Tauragės apskritis,2006,2,2
Jurbarko r.,2006,2,0
Šilalės r.,2006,2,0
Tauragės r.,2006,2,2
Telšių apskritis,2006,2,2
