name,year,month,infections
Alytaus apskritis,2005,1,2
Alytus,2005,1,0
Druskininkai,2005,1,0
Alytaus r.,2005,1,2
Lazdijų r.,2005,1,0
Varėnos r.,2005,1,0
Kauno apskritis,2005,1,9
Kaunas,2005,1,6
Jonavos r.,2005,1,0
Kaišiadorių r.,2005,1,0
Kauno r.,2005,1,1
Kėdainių r.,2005,1,1
Prienų r.,2005,1,0
Raseinių r.,2005,1,1
Klaipėdos apskritis,2005,1,1
Klaipėda,2005,1,1
Palanga,2005,1,0
Klaipėdos r.,2005,1,0
Kretingos r.,2005,1,0
Skuodo r.,2005,1,0
Šilutės r.,2005,1,0
Marijampolės apskritis,2005,1,3
Marijampolės r.,2005,1,1
Šakių r.,2005,1,0
Vilkaviškio r.,2005,1,2
Panevėžio apskritis,2005,1,8
Panevėžys,2005,1,4
Biržų r.,2005,1,0
Kupiškio r.,2005,1,0
Panevėžio r.,2005,1,1
Pasvalio r.,2005,1,1
Rokiškio r.,2005,1,2
Šiaulių apskritis,2005,1,5
Šiauliai,2005,1,3
Akmenės r.,2005,1,0
Joniškio r.,2005,1,0
Kelmės r.,2005,1,1
Radviliškio r.,2005,1,0
Šiaulių r.,2005,1,1
Tauragės apskritis,2005,1,2
Jurbarko r.,2005,1,0
Šilalės r.,2005,1,0
Tauragės r.,2005,1,2
Telšių apskritis,2005,1,1
Mažeikių r.,2005,1,0
Plungės r.,2005,1,0
Telšių r.,2005,1,1
Utenos apskritis,2005,1,0
Visaginas,2005,1,0
Anykščių r.,2005,1,0
Ignalinos r.,2005,1,0
Molėtų r.,2005,1,0
Utenos r.,2005,1,0
Zarasų r.,2005,1,0
Vilniaus apskritis,2005,1,16
Vilnius,2005,1,16
Šalčininkų r.,2005,1,0
Širvintų r.,2005,1,0
Švenčionių r.,2005,1,0
Ukmergės r.,2005,1,0
Vilniaus r.,2005,1,4
Trakų r.,2005,1,1
Alytaus apskritis,2005,2,1
Alytus,2005,2,0
Druskininkai,2005,2,0
Alytaus r.,2005,2,0
Lazdijų r.,2005,2,1
Varėnos r.,2005,2,0
Kauno apskritis,2005,2,3
Kaunas,2005,2,3
Jonavos r.,2005,2,0
Kaišiadorių r.,2005,2,0
Kauno r.,2005,2,0
Kėdainių r.,2005,2,0
Prienų r.,2005,2,0
Raseinių r.,2005,2,0
Klaipėdos apskritis,2005,2,1
Klaipėda,2005,2,0
Palanga,2005,2,0
Klaipėdos r.,2005,2,0
Kretingos r.,2005,2,0
Skuodo r.,2005,2,0
Šilutės r.,2005,2,1
Marijampolės apskritis,2005,2,1
Marijampolės r.,2005,2,0
Šakių r.,2005,2,0
Vilkaviškio r.,2005,2,1
Panevėžio apskritis,2005,2,5
Panevėžys,2005,2,2
Biržų r.,2005,2,0
Kupiškio r.,2005,2,1
Panevėžio r.,2005,2,0
Pasvalio r.,2005,2,1
Rokiškio r.,2005,2,1
Šiaulių apskritis,2005,2,3
Šiauliai,2005,2,0
Akmenės r.,2005,2,2
Joniškio r.,2005,2,0
Kelmės r.,2005,2,1
Radviliškio r.,2005,2,0
Šiaulių r.,2005,2,0
Tauragės apskritis,2005,2,0
Jurbarko r.,2005,2,0
Šilalės r.,2005,2,0
Tauragės r.,2005,2,0
Telšių apskritis,2005,2,1
Mažeikių r.,2005,2,1
Plungės r.,2005,2,0
Telšių r.,2005,2,0
Utenos apskritis,2005,2,0
Visaginas,2005,2,0
Anykščių r.,2005,2,0
Ignalinos r.,2005,2,0
Molėtų r.,2005,2,0
Alytaus apskritis,2005,3,0
Alytus,2005,3,0
Druskininkai,2005,3,0
Alytaus r.,2005,3,0
Lazdijų r.,2005,3,0
Varėnos r.,2005,3,0
Kauno apskritis,2005,3,0
Kaunas,2005,3,0
Jonavos r.,2005,3,0
Kaišiadorių r.,2005,3,0
Kauno r.,2005,3,0
Kėdainių r.,2005,3,0
Prienų r.,2005,3,0
Raseinių r.,2005,3,0
Klaipėdos apskritis,2005,3,0
Klaipėda,2005,3,0
Palanga,2005,3,0
Klaipėdos r.,2005,3,0
Kretingos r.,2005,3,0
Skuodo r.,2005,3,0
Šilutės r.,2005,3,0
Marijampolės apskritis,2005,3,1
Marijampolės r.,2005,3,1
Šakių r.,2005,3,0
Vilkaviškio r.,2005,3,0
Panevėžio apskritis,2005,3,2
Panevėžys,2005,3,1
Biržų r.,2005,3,0
Kupiškio r.,2005,3,0
Panevėžio r.,2005,3,1
Pasvalio r.,2005,3,0
Rokiškio r.,2005,3,0
Šiaulių apskritis,2005,3,1
Šiauliai,2005,3,1
Akmenės r.,2005,3,0
Joniškio r.,2005,3,0
Kelmės r.,2005,3,0
Radviliškio r.,2005,3,0
Šiaulių r.,2005,3,0
Tauragės apskritis,2005,3,0
Jurbarko r.,2005,3,0
Šilalės r.,2005,3,0
Tauragės r.,2005,3,0
Telšių apskritis,2005,3,0
Mažeikių r.,2005,3,0
Plungės r.,2005,3,0
Telšių r.,2005,3,0
Utenos apskritis,2005,3,2
Visaginas,2005,3,0
Anykščių r.,2005,3,2
Ignalinos r.,2005,3,0
Molėtų r.,2005,3,0
Utenos r.,2005,3,0
Zarasų r.,2005,3,0
Vilniaus apskritis,2005,3,2
Vilnius,2005,3,2
Šalčininkų r.,2005,3,0
Širvintų r.,2005,3,0
Švenčionių r.,2005,3,0
Ukmergės r.,2005,3,0
Vilniaus r.,2005,3,1
Trakų r.,2005,3,0
Alytaus apskritis,2005,4,0
Alytus,2005,4,0
Druskininkai,2005,4,0
Alytaus r.,2005,4,0
Lazdijų r.,2005,4,0
Varėnos r.,2005,4,0
Kauno apskritis,2005,4,6
Kaunas,2005,4,3
Jonavos r.,2005,4,0
Kaišiadorių r.,2005,4,1
Kauno r.,2005,4,0
Kėdainių r.,2005,4,1
Prienų r.,2005,4,0
Raseinių r.,2005,4,1
Klaipėdos apskritis,2005,4,0
Klaipėda,2005,4,0
Palanga,2005,4,0
Klaipėdos r.,2005,4,0
Kretingos r.,2005,4,0
Skuodo r.,2005,4,0
Šilutės r.,2005,4,0
Marijampolės apskritis,2005,4,0
Marijampolės r.,2005,4,0
Šakių r.,2005,4,0
Vilkaviškio r.,2005,4,0
Panevėžio apskritis,2005,4,1
Panevėžys,2005,4,1
Biržų r.,2005,4,0
Kupiškio r.,2005,4,0
Panevėžio r.,2005,4,0
Pasvalio r.,2005,4,0
Rokiškio r.,2005,4,0
Šiaulių apskritis,2005,4,2
Šiauliai,2005,4,0
Akmenės r.,2005,4,0
Joniškio r.,2005,4,0
Kelmės r.,2005,4,1
Radviliškio r.,2005,4,0
Šiaulių r.,2005,4,1
Tauragės apskritis,2005,4,1
Jurbarko r.,2005,4,0
Šilalės r.,2005,4,0
Tauragės r.,2005,4,1
Telšių apskritis,2005,4,0
Mažeikių r.,2005,4,0
Plungės r.,2005,4,0
Telšių r.,2005,4,0
Utenos apskritis,2005,4,1
Visaginas,2005,4,0
Anykščių r.,2005,4,0
Ignalinos r.,2005,4,0
Molėtų r.,2005,4,0
Alytaus apskritis,2005,5,2
Alytus,2005,5,1
Druskininkai,2005,5,0
Alytaus r.,2005,5,0
Lazdijų r.,2005,5,1
Varėnos r.,2005,5,0
Kauno apskritis,2005,5,15
Kaunas,2005,5,10
Jonavos r.,2005,5,1
Kaišiadorių r.,2005,5,0
Kauno r.,2005,5,0
Kėdainių r.,2005,5,0
Prienų r.,2005,5,1
Raseinių r.,2005,5,3
Klaipėdos apskritis,2005,5,3
Klaipėda,2005,5,1
Palanga,2005,5,0
Klaipėdos r.,2005,5,2
Kretingos r.,2005,5,0
Skuodo r.,2005,5,0
Šilutės r.,2005,5,0
Marijampolės apskritis,2005,5,2
Marijampolės r.,2005,5,0
Šakių r.,2005,5,2
Vilkaviškio r.,2005,5,0
Panevėžio apskritis,2005,5,13
Panevėžys,2005,5,7
Biržų r.,2005,5,1
Kupiškio r.,2005,5,0
Panevėžio r.,2005,5,3
Pasvalio r.,2005,5,0
Rokiškio r.,2005,5,2
Šiaulių apskritis,2005,5,3
Šiauliai,2005,5,1
Akmenės r.,2005,5,0
Joniškio r.,2005,5,0
Kelmės r.,2005,5,2
Radviliškio r.,2005,5,0
Šiaulių r.,2005,5,0
Tauragės apskritis,2005,5,1
Jurbarko r.,2005,5,1
Šilalės r.,2005,5,0
Tauragės r.,2005,5,0
Telšių apskritis,2005,5,1
Mažeikių r.,2005,5,0
Plungės r.,2005,5,1
Telšių r.,2005,5,0
Utenos apskritis,2005,5,0
Visaginas,2005,5,0
Anykščių r.,2005,5,0
Ignalinos r.,2005,5,0
Molėtų r.,2005,5,0
Utenos r.,2005,5,0
Zarasų r.,2005,5,0
Vilniaus apskritis,2005,5,7
Vilnius,2005,5,7
Šalčininkų r.,2005,5,0
Širvintų r.,2005,5,0
Švenčionių r.,2005,5,0
Ukmergės r.,2005,5,0
Vilniaus r.,2005,5,3
Trakų r.,2005,5,0
Alytaus apskritis,2005,6,1
Alytus,2005,6,1
Druskininkai,2005,6,0
Alytaus r.,2005,6,0
Lazdijų r.,2005,6,0
Varėnos r.,2005,6,0
Kauno apskritis,2005,6,40
Kaunas,2005,6,24
Jonavos r.,2005,6,3
Kaišiadorių r.,2005,6,1
Kauno r.,2005,6,6
Kėdainių r.,2005,6,1
Prienų r.,2005,6,2
Raseinių r.,2005,6,3
Klaipėdos apskritis,2005,6,1
Klaipėda,2005,6,0
Palanga,2005,6,1
Klaipėdos r.,2005,6,0
Kretingos r.,2005,6,0
Skuodo r.,2005,6,0
Šilutės r.,2005,6,0
