,name,year,month,infection,forest cover,population
109,Anykščių r. sav.,2004,4,2,30.3,33783.0
110,Ignalinos r. sav.,2004,4,0,35.5,21944.0
111,Molėtų r. sav.,2004,4,0,28.5,24268.0
112,Utenos r. sav.,2004,4,2,31.8,48800.0
113,Zarasų r. sav.,2004,4,0,37.2,21927.0
114,Vilniaus apskritis,2004,4,4,41.9,841748.0
115,Šalčininkų r. sav.,2004,4,0,46.2,38205.0
116,Širvintų r. sav.,2004,4,0,30.5,19677.0
117,Švenčionių r. sav.,2004,4,0,55.8,32002.0
118,Ukmergės r. sav.,2004,4,0,31.3,46920.0
119,Trakų r. sav.,2004,4,2,47.5,36916.0
120,Alytaus apskritis,2004,5,0,49.0,182751.0
121,Alytaus m. sav.,2004,5,0,30.4,70053.0
122,Druskininkų sav.,2004,5,0,69.2,24665.0
123,Alytaus r. sav.,2004,5,0,24.6,31741.0
124,Lazdijų r. sav.,2004,5,0,34.8,26221.0
125,Varėnos r. sav.,2004,5,0,69.0,30071.0
126,Kauno apskritis,2004,5,17,29.5,682074.0
127,Kauno m. sav.,2004,5,13,20.6,363952.0
128,Jonavos r. sav.,2004,5,3,41.8,51510.0
129,Kaišiadorių r. sav.,2004,5,0,31.4,37117.0
130,Kauno r. sav.,2004,5,0,32.6,83167.0
131,Kėdainių r. sav.,2004,5,0,25.5,63692.0
132,Prienų r. sav.,2004,5,0,27.4,34438.0
133,Raseinių r. sav.,2004,5,1,22.9,42958.0
134,Klaipėdos apskritis,2004,5,7,24.7,376854.0
135,Klaipėdos m. sav.,2004,5,4,16.3,186811.0
136,Palangos m. sav.,2004,5,0,39.9,17222.0
137,Klaipėdos r. sav.,2004,5,1,23.8,47367.0
138,Kretingos r. sav.,2004,5,0,33.1,45454.0
139,Skuodo r. sav.,2004,5,0,15.4,24613.0
140,Šilutės r. sav.,2004,5,2,22.1,53143.0
141,Marijampolės apskritis,2004,5,0,21.6,184058.0
142,Marijampolės r. sav.,2004,5,0,,
143,Šakių r. sav.,2004,5,0,22.8,37575.0
144,Vilkaviškio r. sav.,2004,5,0,10.5,49137.0
145,Panevėžio apskritis,2004,5,9,27.2,290097.0
146,Panevėžio m. sav.,2004,5,3,0.6,114917.0
147,Biržų r. sav.,2004,5,2,26.3,34266.0
148,Kupiškio r. sav.,2004,5,0,27.9,23865.0
149,Panevėžio r. sav.,2004,5,2,33.9,42588.0
150,Pasvalio r. sav.,2004,5,0,16.5,33629.0
151,Rokiškio r. sav.,2004,5,2,27.9,40832.0
152,Šiaulių apskritis,2004,5,8,25.8,357441.0
153,Šiaulių m. sav.,2004,5,1,15.0,127805.0
154,Akmenės r. sav.,2004,5,2,32.1,28951.0
155,Joniškio r. sav.,2004,5,0,18.4,31012.0
156,Kelmės r. sav.,2004,5,0,26.2,39498.0
157,Radviliškio r. sav.,2004,5,1,25.7,50638.0
158,Šiaulių r. sav.,2004,5,2,32.6,51002.0
159,Tauragės apskritis,2004,5,2,31.7,130179.0
160,Jurbarko r. sav.,2004,5,0,38.0,36314.0
161,Šilalės r. sav.,2004,5,0,24.0,30768.0
162,Tauragės r. sav.,2004,5,2,38.5,51352.0
163,Telšių apskritis,2004,5,4,32.9,175090.0
164,Mažeikių r. sav.,2004,5,1,29.3,65831.0
165,Plungės r. sav.,2004,5,0,32.7,43349.0
166,Telšių r. sav.,2004,5,3,29.7,55587.0
