name,year,month,infections
Alytaus apskritis,2007,1,4
Alytus,2007,1,4
Druskininkai,2007,1,0
Alytaus r.,2007,1,0
Lazdijų r.,2007,1,0
Varėnos r.,2007,1,0
Kauno apskritis,2007,1,18
Kaunas,2007,1,9
Jonavos r.,2007,1,2
Kaišiadorių r.,2007,1,0
Kauno r.,2007,1,4
Kėdainių r.,2007,1,1
Prienų r.,2007,1,0
Raseinių r.,2007,1,2
Klaipėdos apskritis,2007,1,3
Klaipėda,2007,1,1
Palanga,2007,1,0
Klaipėdos r.,2007,1,0
Kretingos r.,2007,1,0
Skuodo r.,2007,1,0
Šilutės r.,2007,1,2
Marijampolės apskritis,2007,1,0
Marijampolės r.,2007,1,0
Šakių r.,2007,1,0
Vilkaviškio r.,2007,1,0
Panevėžio apskritis,2007,1,15
Panevėžys,2007,1,6
Biržų r.,2007,1,0
Kupiškio r.,2007,1,2
Panevėžio r.,2007,1,4
Pasvalio r.,2007,1,1
Rokiškio r.,2007,1,2
Šiaulių apskritis,2007,1,11
Šiauliai,2007,1,6
Akmenės r.,2007,1,0
Joniškio r.,2007,1,0
Kelmės r.,2007,1,1
Radviliškio r.,2007,1,1
Šiaulių r.,2007,1,3
Tauragės apskritis,2007,1,7
Jurbarko r.,2007,1,0
Šilalės r.,2007,1,0
Tauragės r.,2007,1,7
Telšių apskritis,2007,1,9
Mažeikių r.,2007,1,2
Plungės r.,2007,1,1
Telšių r.,2007,1,6
Utenos apskritis,2007,1,2
Visaginas,2007,1,0
Anykščių r.,2007,1,0
Ignalinos r.,2007,1,0
Molėtų r.,2007,1,1
Utenos r.,2007,1,0
Zarasų r.,2007,1,1
Vilniaus apskritis,2007,1,23
Vilnius,2007,1,22
Šalčininkų r.,2007,1,0
Širvintų r.,2007,1,1
Švenčionių r.,2007,1,0
Ukmergės r.,2007,1,0
Vilniaus r.,2007,1,0
Trakų r.,2007,1,0
Alytaus apskritis,2007,2,1
Alytus,2007,2,1
Druskininkai,2007,2,0
Alytaus r.,2007,2,0
Lazdijų r.,2007,2,0
Varėnos r.,2007,2,0
Kauno apskritis,2007,2,3
Kaunas,2007,2,3
Jonavos r.,2007,2,0
Kaišiadorių r.,2007,2,0
Kauno r.,2007,2,0
Kėdainių r.,2007,2,0
Prienų r.,2007,2,0
Raseinių r.,2007,2,0
Klaipėdos apskritis,2007,2,0
Klaipėda,2007,2,0
Palanga,2007,2,0
Klaipėdos r.,2007,2,0
Kretingos r.,2007,2,0
Skuodo r.,2007,2,0
Šilutės r.,2007,2,0
Marijampolės apskritis,2007,2,4
Marijampolės r.,2007,2,2
Šakių r.,2007,2,0
Vilkaviškio r.,2007,2,2
Panevėžio apskritis,2007,2,3
Panevėžys,2007,2,3
Biržų r.,2007,2,0
Kupiškio r.,2007,2,0
Panevėžio r.,2007,2,0
Pasvalio r.,2007,2,0
Rokiškio r.,2007,2,0
Šiaulių apskritis,2007,2,4
Šiauliai,2007,2,0
Akmenės r.,2007,2,0
Joniškio r.,2007,2,0
Kelmės r.,2007,2,1
Radviliškio r.,2007,2,2
Šiaulių r.,2007,2,0
Tauragės apskritis,2007,2,0
Jurbarko r.,2007,2,0
Šilalės r.,2007,2,0
Tauragės r.,2007,2,0
Telšių apskritis,2007,2,1
Mažeikių r.,2007,2,0
Plungės r.,2007,2,1
Telšių r.,2007,2,0
Utenos apskritis,2007,2,1
Visaginas,2007,2,0
Anykščių r.,2007,2,0
Ignalinos r.,2007,2,0
Molėtų r.,2007,2,0
Utenos r.,2007,2,1
Zarasų r.,2007,2,0
Vilniaus apskritis,2007,2,25
Vilnius,2007,2,21
Šalčininkų r.,2007,2,0
Širvintų r.,2007,2,1
Švenčionių r.,2007,2,0
Ukmergės r.,2007,2,1
Vilniaus r.,2007,2,2
Trakų r.,2007,2,0
Alytaus apskritis,2007,3,0
Alytus,2007,3,0
Druskininkai,2007,3,0
Alytaus r.,2007,3,0
Lazdijų r.,2007,3,0
Varėnos r.,2007,3,0
Kauno apskritis,2007,3,5
Kaunas,2007,3,3
Jonavos r.,2007,3,0
Kaišiadorių r.,2007,3,0
Kauno r.,2007,3,2
Kėdainių r.,2007,3,0
Prienų r.,2007,3,0
Raseinių r.,2007,3,0
Klaipėdos apskritis,2007,3,0
Klaipėda,2007,3,0
Palanga,2007,3,0
Klaipėdos r.,2007,3,0
Kretingos r.,2007,3,0
Skuodo r.,2007,3,0
Šilutės r.,2007,3,0
Marijampolės apskritis,2007,3,2
Marijampolės r.,2007,3,2
Šakių r.,2007,3,0
Vilkaviškio r.,2007,3,0
Panevėžio apskritis,2007,3,7
Panevėžys,2007,3,6
Biržų r.,2007,3,0
Kupiškio r.,2007,3,0
Panevėžio r.,2007,3,0
Pasvalio r.,2007,3,0
Rokiškio r.,2007,3,1
Šiaulių apskritis,2007,3,6
Šiauliai,2007,3,3
Akmenės r.,2007,3,0
Joniškio r.,2007,3,0
Kelmės r.,2007,3,3
Radviliškio r.,2007,3,0
Šiaulių r.,2007,3,0
Tauragės apskritis,2007,3,1
Jurbarko r.,2007,3,0
Šilalės r.,2007,3,0
Tauragės r.,2007,3,1
Telšių apskritis,2007,3,0
Mažeikių r.,2007,3,0
Plungės r.,2007,3,0
Telšių r.,2007,3,0
Utenos apskritis,2007,3,3
Visaginas,2007,3,1
Anykščių r.,2007,3,1
Ignalinos r.,2007,3,0
Molėtų r.,2007,3,1
Utenos r.,2007,3,0
Zarasų r.,2007,3,0
Vilniaus apskritis,2007,3,9
Vilnius,2007,3,7
Šalčininkų r.,2007,3,0
Širvintų r.,2007,3,1
Švenčionių r.,2007,3,0
Ukmergės r.,2007,3,1
Vilniaus r.,2007,3,0
Trakų r.,2007,3,2
Alytaus apskritis,2007,4,1
Alytus,2007,4,1
Druskininkai,2007,4,0
Alytaus r.,2007,4,0
