name,year,month,infections
Alytaus r.,2014,1,0
Alytus,2014,1,1
Druskininkai,2014,1,0
Lazdyjų r.,2014,1,0
Varėnos r.,2014,1,0
Alytaus apskritis,2014,1,1
Birštonas,2014,1,1
Jonavos r.,2014,1,1
Kaišiadorių r.,2014,1,3
Kaunas,2014,1,7
Kauno r.,2014,1,1
Kėdainių r.,2014,1,1
Prienų r.,2014,1,0
Raseinių r.,2014,1,0
Kauno apskritis,2014,1,14
Klaipėda,2014,1,1
Klaipėdos r.,2014,1,0
Kretingos r.,2014,1,2
Neringa,2014,1,0
Palanga,2014,1,0
Šilutės r.,2014,1,1
Skuodo r.,2014,1,0
Klaipėdos apskritis,2014,1,4
Marijampolės r.,2014,1,0
Šakių r.,2014,1,0
Vilkaviškio r.,2014,1,0
Marijampolės apskritis,2014,1,0
Biržų r.,2014,1,0
Kupiškio r.,2014,1,1
Panevėžio r.,2014,1,3
Panevėžys,2014,1,2
Pasvalio r.,2014,1,0
Rokiškio r.,2014,1,2
Panevėžio apskritis,2014,1,8
Akmenės r.,2014,1,0
Joniškio r.,2014,1,0
Kelmės r.,2014,1,0
Radviliškio r.,2014,1,0
Šiauliai,2014,1,2
Šiaulių r.,2014,1,0
Šiaulių apskritis,2014,1,3
Jurbarko r.,2014,1,0
Šilalės r.,2014,1,0
Tauragės r.,2014,1,2
Tauragės apskritis,2014,1,2
Mažeikių r.,2014,1,0
Plungės r.,2014,1,0
Telšių r.,2014,1,1
Telšių apskritis,2014,1,1
Anykščių r.,2014,1,1
Ignalinos r.,2014,1,0
Molėtų r.,2014,1,0
Utenos r.,2014,1,2
Visaginas,2014,1,1
Zarasų r.,2014,1,0
Utenos apskritis,2014,1,4
Šalčininkų r.,2014,1,0
Širvintų r.,2014,1,0
Švenčionių r.,2014,1,2
Trakų r.,2014,1,1
Ukmergės r.,2014,1,3
Vilniaus r.,2014,1,1
Vilnius,2014,1,12
Vilniaus apskritis,2014,1,19
Alytaus r.,2014,2,0
Alytus,2014,2,0
Druskininkai,2014,2,0
Lazdyjų r.,2014,2,0
Varėnos r.,2014,2,2
Alytaus apskritis,2014,2,2
