name,year,month,infections
Alytaus apskritis,2008,1,0
Alytus,2008,1,0
Druskininkai,2008,1,0
Alytaus r.,2008,1,0
Lazdijų r.,2008,1,0
Varėnos r.,2008,1,0
Kauno apskritis,2008,1,1
Kaunas,2008,1,1
Jonavos r.,2008,1,0
Kaišiadorių r.,2008,1,0
Kauno r.,2008,1,0
Kėdainių r.,2008,1,0
Prienų r.,2008,1,0
Raseinių r.,2008,1,0
Klaipėdos apskritis,2008,1,0
Klaipėda,2008,1,0
Palanga,2008,1,0
Klaipėdos r.,2008,1,0
Kretingos r.,2008,1,0
Skuodo r.,2008,1,0
Šilutės r.,2008,1,0
Marijampolės apskritis,2008,1,1
Marijampolės r.,2008,1,1
Šakių r.,2008,1,0
Vilkaviškio r.,2008,1,0
Panevėžio apskritis,2008,1,8
Panevėžys,2008,1,3
Biržų r.,2008,1,1
Kupiškio r.,2008,1,2
Panevėžio r.,2008,1,2
Pasvalio r.,2008,1,0
Rokiškio r.,2008,1,0
Šiaulių apskritis,2008,1,1
Šiauliai,2008,1,0
Akmenės r.,2008,1,0
Joniškio r.,2008,1,0
Kelmės r.,2008,1,1
Radviliškio r.,2008,1,0
Šiaulių r.,2008,1,0
Tauragės apskritis,2008,1,1
Jurbarko r.,2008,1,0
Šilalės r.,2008,1,0
Tauragės r.,2008,1,1
Telšių apskritis,2008,1,1
Mažeikių r.,2008,1,0
Plungės r.,2008,1,0
Telšių r.,2008,1,1
Utenos apskritis,2008,1,3
Visaginas,2008,1,0
Anykščių r.,2008,1,0
Ignalinos r.,2008,1,0
Molėtų r.,2008,1,0
Utenos r.,2008,1,3
Zarasų r.,2008,1,0
Vilniaus apskritis,2008,1,13
Vilnius,2008,1,10
Šalčininkų r.,2008,1,0
Širvintų r.,2008,1,0
Švenčionių r.,2008,1,1
Ukmergės r.,2008,1,1
Vilniaus r.,2008,1,1
Trakų r.,2008,1,0
Alytaus apskritis,2008,2,1
Alytus,2008,2,0
Druskininkai,2008,2,0
Alytaus r.,2008,2,0
Lazdijų r.,2008,2,1
Varėnos r.,2008,2,0
Kauno apskritis,2008,2,3
Kaunas,2008,2,3
Jonavos r.,2008,2,0
Kaišiadorių r.,2008,2,0
Kauno r.,2008,2,0
Kėdainių r.,2008,2,0
Prienų r.,2008,2,0
Raseinių r.,2008,2,0
Klaipėdos apskritis,2008,2,1
Klaipėda,2008,2,0
Palanga,2008,2,1
Klaipėdos r.,2008,2,0
Kretingos r.,2008,2,0
Skuodo r.,2008,2,0
Šilutės r.,2008,2,0
Marijampolės apskritis,2008,2,1
Marijampolės r.,2008,2,1
Šakių r.,2008,2,0
Vilkaviškio r.,2008,2,0
Panevėžio apskritis,2008,2,6
Panevėžys,2008,2,6
Biržų r.,2008,2,0
Kupiškio r.,2008,2,0
Panevėžio r.,2008,2,0
Pasvalio r.,2008,2,0
Rokiškio r.,2008,2,0
Šiaulių apskritis,2008,2,0
Šiauliai,2008,2,0
Akmenės r.,2008,2,0
Joniškio r.,2008,2,0
Kelmės r.,2008,2,0
Radviliškio r.,2008,2,0
Šiaulių r.,2008,2,0
Tauragės apskritis,2008,2,0
Jurbarko r.,2008,2,0
Šilalės r.,2008,2,0
Tauragės r.,2008,2,0
Telšių apskritis,2008,2,2
Mažeikių r.,2008,2,0
Plungės r.,2008,2,0
Telšių r.,2008,2,2
Utenos apskritis,2008,2,0
Visaginas,2008,2,0
Anykščių r.,2008,2,0
Ignalinos r.,2008,2,0
Molėtų r.,2008,2,0
Utenos r.,2008,2,0
Zarasų r.,2008,2,0
Vilniaus apskritis,2008,2,9
Vilnius,2008,2,8
Šalčininkų r.,2008,2,0
Širvintų r.,2008,2,0
Švenčionių r.,2008,2,1
Ukmergės r.,2008,2,0
Vilniaus r.,2008,2,0
Trakų r.,2008,2,0
Alytaus apskritis,2008,3,1
Alytus,2008,3,1
Druskininkai,2008,3,0
Alytaus r.,2008,3,0
Lazdijų r.,2008,3,0
Varėnos r.,2008,3,0
Kauno apskritis,2008,3,1
Kaunas,2008,3,0
Jonavos r.,2008,3,0
Kaišiadorių r.,2008,3,0
Kauno r.,2008,3,1
Kėdainių r.,2008,3,0
Prienų r.,2008,3,0
Raseinių r.,2008,3,0
Klaipėdos apskritis,2008,3,0
Klaipėda,2008,3,0
Palanga,2008,3,0
Klaipėdos r.,2008,3,0
Kretingos r.,2008,3,0
Skuodo r.,2008,3,0
Šilutės r.,2008,3,0
Marijampolės apskritis,2008,3,0
Marijampolės r.,2008,3,0
Šakių r.,2008,3,0
Vilkaviškio r.,2008,3,0
Panevėžio apskritis,2008,3,3
Panevėžys,2008,3,2
Biržų r.,2008,3,0
Kupiškio r.,2008,3,0
Panevėžio r.,2008,3,1
Pasvalio r.,2008,3,0
Rokiškio r.,2008,3,0
Šiaulių apskritis,2008,3,1
Šiauliai,2008,3,0
Akmenės r.,2008,3,0
Joniškio r.,2008,3,0
Kelmės r.,2008,3,1
Radviliškio r.,2008,3,0
Šiaulių r.,2008,3,0
Tauragės apskritis,2008,3,0
Jurbarko r.,2008,3,0
Šilalės r.,2008,3,0
Tauragės r.,2008,3,0
Telšių apskritis,2008,3,0
Mažeikių r.,2008,3,0
Plungės r.,2008,3,0
Telšių r.,2008,3,0
Utenos apskritis,2008,3,3
Visaginas,2008,3,0
Anykščių r.,2008,3,2
Ignalinos r.,2008,3,0
Molėtų r.,2008,3,0
Utenos r.,2008,3,0
Zarasų r.,2008,3,1
Vilniaus apskritis,2008,3,26
Vilnius,2008,3,23
Šalčininkų r.,2008,3,0
Širvintų r.,2008,3,0
Švenčionių r.,2008,3,1
Ukmergės r.,2008,3,0
Vilniaus r.,2008,3,2
Trakų r.,2008,3,0
Alytaus apskritis,2008,4,1
Alytus,2008,4,1
Druskininkai,2008,4,0
Alytaus r.,2008,4,0
Lazdijų r.,2008,4,0
Varėnos r.,2008,4,0
Kauno apskritis,2008,4,6
Kaunas,2008,4,5
Jonavos r.,2008,4,0
Kaišiadorių r.,2008,4,0
Kauno r.,2008,4,1
Kėdainių r.,2008,4,0
Prienų r.,2008,4,0
Raseinių r.,2008,4,0
Klaipėdos apskritis,2008,4,0
Klaipėda,2008,4,0
Palanga,2008,4,0
Klaipėdos r.,2008,4,0
Kretingos r.,2008,4,0
Skuodo r.,2008,4,0
Šilutės r.,2008,4,0
Marijampolės apskritis,2008,4,0
Marijampolės r.,2008,4,0
