name,year,month,infections
Alytaus apskritis,2004,3,1
Alytus,2004,3,1
Druskininkai,2004,3,0
Alytaus r.,2004,3,0
Lazdijų r.,2004,3,0
Varėnos r.,2004,3,0
Kauno apskritis,2004,3,22
Kaunas,2004,3,18
Jonavos r.,2004,3,0
Kaišiadorių r.,2004,3,2
Kauno r.,2004,3,1
Kėdainių r.,2004,3,0
Prienų r.,2004,3,0
Raseinių r.,2004,3,1
Klaipėdos apskritis,2004,3,1
Klaipėda,2004,3,0
Palanga,2004,3,0
Klaipėdos r.,2004,3,0
Kretingos r.,2004,3,0
Skuodo r.,2004,3,0
Šilutės r.,2004,3,1
Marijampolės apskritis,2004,3,1
Marijampolės r.,2004,3,0
Šakių r.,2004,3,0
Vilkaviškio r.,2004,3,1
Panevėžio apskritis,2004,3,14
Panevėžys,2004,3,7
Biržų r.,2004,3,1
Kupiškio r.,2004,3,0
Panevėžio r.,2004,3,1
Pasvalio r.,2004,3,0
Rokiškio r.,2004,3,5
Šiaulių apskritis,2004,3,6
Šiauliai,2004,3,4
Akmenės r.,2004,3,0
Joniškio r.,2004,3,0
Kelmės r.,2004,3,1
Radviliškio r.,2004,3,0
Šiaulių r.,2004,3,1
Tauragės apskritis,2004,3,0
Jurbarko r.,2004,3,0
Šilalės r.,2004,3,0
Tauragės r.,2004,3,0
Telšių apskritis,2004,3,4
Mažeikių r.,2004,3,1
Plungės r.,2004,3,0
Telšių r.,2004,3,3
Utenos apskritis,2004,3,6
Visaginas,2004,3,0
Anykščių r.,2004,3,3
Ignalinos r.,2004,3,0
Molėtų r.,2004,3,0
Utenos r.,2004,3,3
Zarasų r.,2004,3,0
Vilniaus apskritis,2004,3,6
Šalčininkų r.,2004,3,0
Širvintų r.,2004,3,0
Švenčionių r.,2004,3,0
Ukmergės r.,2004,3,0
Trakų r.,2004,3,1
Alytaus apskritis,2004,4,2
Alytus,2004,4,1
Druskininkai,2004,4,0
Alytaus r.,2004,4,0
Lazdijų r.,2004,4,1
Varėnos r.,2004,4,0
Kauno apskritis,2004,4,9
Kaunas,2004,4,5
Jonavos r.,2004,4,0
Kaišiadorių r.,2004,4,1
Kauno r.,2004,4,1
Kėdainių r.,2004,4,2
Prienų r.,2004,4,0
Raseinių r.,2004,4,0
Klaipėdos apskritis,2004,4,3
Klaipėda,2004,4,0
Palanga,2004,4,2
Klaipėdos r.,2004,4,1
Kretingos r.,2004,4,0
Skuodo r.,2004,4,0
Šilutės r.,2004,4,0
Marijampolės apskritis,2004,4,3
Marijampolės r.,2004,4,1
Šakių r.,2004,4,1
Vilkaviškio r.,2004,4,1
Panevėžio apskritis,2004,4,12
Panevėžys,2004,4,5
Biržų r.,2004,4,0
Kupiškio r.,2004,4,0
Panevėžio r.,2004,4,1
Pasvalio r.,2004,4,0
Rokiškio r.,2004,4,6
Šiaulių apskritis,2004,4,4
Šiauliai,2004,4,3
Akmenės r.,2004,4,0
Joniškio r.,2004,4,0
Kelmės r.,2004,4,0
Radviliškio r.,2004,4,0
Šiaulių r.,2004,4,1
Tauragės apskritis,2004,4,2
Jurbarko r.,2004,4,0
Šilalės r.,2004,4,0
Tauragės r.,2004,4,2
Telšių apskritis,2004,4,2
Mažeikių r.,2004,4,1
Plungės r.,2004,4,1
Telšių r.,2004,4,0
