name,year,month,infections
Alytaus r.,2018,1,0
Alytus,2018,1,0
Druskininkai,2018,1,0
Lazdijų r.,2018,1,0
Varėnos r.,2018,1,4
Alytaus apskritis,2018,1,4
Birštonas,2018,1,0
Jonavos r.,2018,1,3
Kaišiadorių r.,2018,1,0
Kaunas,2018,1,3
Kauno r.,2018,1,1
Kėdainių r.,2018,1,1
Prienų r.,2018,1,0
Raseinių r.,2018,1,0
Kauno apskritis,2018,1,8
Klaipėda,2018,1,3
Klaipėdos r.,2018,1,1
Kretingos r.,2018,1,0
Neringa,2018,1,0
Palanga,2018,1,1
Šilutės r.,2018,1,3
Skuodo r.,2018,1,0
Klaipėdos apskritis,2018,1,8
Marijampolės r.,2018,1,0
Šakių r.,2018,1,0
Vilkaviškio r.,2018,1,1
Marijampolės apskritis,2018,1,1
Biržų r.,2018,1,0
Kupiškio r.,2018,1,2
Panevėžio r.,2018,1,1
Panevėžys,2018,1,6
Pasvalio r.,2018,1,0
Rokiškio r.,2018,1,0
Panevėžio apskritis,2018,1,9
Akmenės r.,2018,1,0
Joniškio r.,2018,1,0
Kelmės r.,2018,1,1
Radviliškio r.,2018,1,0
Šiauliai,2018,1,0
Šiaulių r.,2018,1,2
Šiaulių apskritis,2018,1,3
Jurbarko r.,2018,1,0
Šilalės r.,2018,1,2
Tauragės r.,2018,1,2
Tauragės apskritis,2018,1,4
Mažeikių r.,2018,1,1
Plungės r.,2018,1,1
Telšių r.,2018,1,1
Telšių apskritis,2018,1,3
Anykščių r.,2018,1,1
Ignalinos r.,2018,1,1
Molėtų r.,2018,1,1
Utenos r.,2018,1,0
Visaginas,2018,1,0
Zarasų r.,2018,1,0
Utenos apskritis,2018,1,3
Šalčininkų r.,2018,1,0
Širvintų r.,2018,1,0
Švenčionių r.,2018,1,0
Trakų r.,2018,1,3
Ukmergės r.,2018,1,2
Vilniaus r.,2018,1,1
Vilnius,2018,1,27
Vilniaus apskritis,2018,1,33
Alytaus r.,2018,2,0
Alytus,2018,2,0
Druskininkai,2018,2,0
Lazdijų r.,2018,2,0
Varėnos r.,2018,2,0
Alytaus apskritis,2018,2,0
Birštonas,2018,2,0
Jonavos r.,2018,2,0
Kaišiadorių r.,2018,2,0
Kaunas,2018,2,3
Kauno r.,2018,2,2
Kėdainių r.,2018,2,0
Prienų r.,2018,2,1
Raseinių r.,2018,2,0
Kauno apskritis,2018,2,6
Klaipėda,2018,2,1
Klaipėdos r.,2018,2,0
Kretingos r.,2018,2,0
Neringa,2018,2,0
Palanga,2018,2,1
Šilutės r.,2018,2,1
Skuodo r.,2018,2,0
Klaipėdos apskritis,2018,2,3
Marijampolės r.,2018,2,1
Šakių r.,2018,2,0
Vilkaviškio r.,2018,2,0
Marijampolės apskritis,2018,2,1
Biržų r.,2018,2,0
Kupiškio r.,2018,2,0
Panevėžio r.,2018,2,2
Panevėžys,2018,2,6
Pasvalio r.,2018,2,0
Rokiškio r.,2018,2,1
Panevėžio apskritis,2018,2,9
Akmenės r.,2018,2,0
Joniškio r.,2018,2,0
Kelmės r.,2018,2,0
Radviliškio r.,2018,2,0
Šiauliai,2018,2,0
Šiaulių r.,2018,2,0
Šiaulių apskritis,2018,2,0
Jurbarko r.,2018,2,0
Šilalės r.,2018,2,5
Tauragės r.,2018,2,1
Tauragės apskritis,2018,2,6
Mažeikių r.,2018,2,1
Plungės r.,2018,2,1
Telšių r.,2018,2,0
Telšių apskritis,2018,2,2
Anykščių r.,2018,2,1
Ignalinos r.,2018,2,1
Molėtų r.,2018,2,1
Utenos r.,2018,2,0
Visaginas,2018,2,1
Zarasų r.,2018,2,0
Utenos apskritis,2018,2,4
Šalčininkų r.,2018,2,0
Širvintų r.,2018,2,0
Švenčionių r.,2018,2,1
Trakų r.,2018,2,0
Ukmergės r.,2018,2,1
Vilniaus r.,2018,2,2
Vilnius,2018,2,13
Vilniaus apskritis,2018,2,17
Alytaus r.,2018,3,0
Alytus,2018,3,0
Druskininkai,2018,3,0
Lazdijų r.,2018,3,0
Varėnos r.,2018,3,0
Alytaus apskritis,2018,3,0
Birštonas,2018,3,0
Jonavos r.,2018,3,0
Kaišiadorių r.,2018,3,0
Kaunas,2018,3,0
Kauno r.,2018,3,0
Kėdainių r.,2018,3,0
Prienų r.,2018,3,0
Raseinių r.,2018,3,0
Kauno apskritis,2018,3,0
Klaipėda,2018,3,0
Klaipėdos r.,2018,3,0
Kretingos r.,2018,3,0
Neringa,2018,3,0
Palanga,2018,3,1
Šilutės r.,2018,3,0
Skuodo r.,2018,3,0
Klaipėdos apskritis,2018,3,1
Marijampolės r.,2018,3,1
Šakių r.,2018,3,0
Vilkaviškio r.,2018,3,1
Marijampolės apskritis,2018,3,2
Biržų r.,2018,3,0
Kupiškio r.,2018,3,2
Panevėžio r.,2018,3,1
Panevėžys,2018,3,1
Pasvalio r.,2018,3,0
Rokiškio r.,2018,3,0
Panevėžio apskritis,2018,3,4
Akmenės r.,2018,3,0
Joniškio r.,2018,3,0
Kelmės r.,2018,3,0
Radviliškio r.,2018,3,0
Šiauliai,2018,3,0
Šiaulių r.,2018,3,0
Šiaulių apskritis,2018,3,1
Jurbarko r.,2018,3,0
Šilalės r.,2018,3,0
Tauragės r.,2018,3,3
Tauragės apskritis,2018,3,3
Mažeikių r.,2018,3,0
Plungės r.,2018,3,0
Telšių r.,2018,3,0
Telšių apskritis,2018,3,0
Anykščių r.,2018,3,0
Ignalinos r.,2018,3,0
