name,year,month,infections
Alytaus apskritis,2010,1,1
Alytus,2010,1,0
Druskininkai,2010,1,0
Alytaus r.,2010,1,0
Lazdijų r.,2010,1,0
Varėnos r.,2010,1,1
Kauno apskritis,2010,1,7
Kaunas,2010,1,4
Jonavos r.,2010,1,1
Kaišiadorių r.,2010,1,0
Kauno r.,2010,1,0
Kėdainių r.,2010,1,0
Prienų r.,2010,1,2
Raseinių r.,2010,1,0
Klaipėdos apskritis,2010,1,1
Klaipėda,2010,1,0
Palanga,2010,1,0
Klaipėdos r.,2010,1,1
Kretingos r.,2010,1,0
Skuodo r.,2010,1,0
Šilutės r.,2010,1,0
Marijampolės apskritis,2010,1,1
Marijampolės r.,2010,1,1
Šakių r.,2010,1,0
Vilkaviškio r.,2010,1,0
Panevėžio apskritis,2010,1,27
Panevėžys,2010,1,16
Biržų r.,2010,1,3
Kupiškio r.,2010,1,0
Panevėžio r.,2010,1,4
Pasvalio r.,2010,1,0
Rokiškio r.,2010,1,4
Šiaulių apskritis,2010,1,9
Šiauliai,2010,1,7
Akmenės r.,2010,1,0
Joniškio r.,2010,1,1
Kelmės r.,2010,1,1
Radviliškio r.,2010,1,0
Šiaulių r.,2010,1,0
Tauragės apskritis,2010,1,6
Jurbarko r.,2010,1,1
Šilalės r.,2010,1,1
Tauragės r.,2010,1,4
Telšių apskritis,2010,1,6
Mažeikių r.,2010,1,1
Plungės r.,2010,1,0
Telšių r.,2010,1,5
Utenos apskritis,2010,1,4
Visaginas,2010,1,0
Anykščių r.,2010,1,0
Ignalinos r.,2010,1,0
Molėtų r.,2010,1,0
Utenos r.,2010,1,3
Zarasų r.,2010,1,1
Vilniaus apskritis,2010,1,23
Vilnius,2010,1,16
Šalčininkų r.,2010,1,1
Širvintų r.,2010,1,2
Švenčionių r.,2010,1,0
Ukmergės r.,2010,1,0
Vilniaus r.,2010,1,4
Trakų r.,2010,1,0
Alytaus apskritis,2010,2,2
Alytus,2010,2,0
Druskininkai,2010,2,1
Alytaus r.,2010,2,0
Lazdijų r.,2010,2,0
Varėnos r.,2010,2,1
Kauno apskritis,2010,2,8
Kaunas,2010,2,5
Jonavos r.,2010,2,0
Kaišiadorių r.,2010,2,0
Kauno r.,2010,2,2
Kėdainių r.,2010,2,0
Prienų r.,2010,2,1
Raseinių r.,2010,2,0
Klaipėdos apskritis,2010,2,3
Klaipėda,2010,2,3
Palanga,2010,2,0
Klaipėdos r.,2010,2,0
Kretingos r.,2010,2,0
Skuodo r.,2010,2,0
Šilutės r.,2010,2,0
Marijampolės apskritis,2010,2,3
