name,year,month,infections
Alytaus r.,2017,1,0
Alytus,2017,1,0
Druskininkai,2017,1,0
Lazdijų r.,2017,1,0
Varėnos r.,2017,1,2
Alytaus apskritis,2017,1,2
Birštonas,2017,1,0
Jonavos r.,2017,1,3
Kaišiadorių r.,2017,1,0
Kaunas,2017,1,12
Kauno r.,2017,1,2
Kėdainių r.,2017,1,1
Prienų r.,2017,1,3
Raseinių r.,2017,1,1
Kauno apskritis,2017,1,22
Klaipėda,2017,1,1
Klaipėdos r.,2017,1,0
Kretingos r.,2017,1,0
Neringa,2017,1,0
Palanga,2017,1,1
Šilutės r.,2017,1,0
Skuodo r.,2017,1,0
Klaipėdos apskritis,2017,1,2
Marijampolės r.,2017,1,0
Šakių r.,2017,1,0
Vilkaviškio r.,2017,1,0
Marijampolės apskritis,2017,1,0
Biržų r.,2017,1,0
Kupiškio r.,2017,1,0
Panevėžio r.,2017,1,2
Panevėžys,2017,1,12
Pasvalio r.,2017,1,0
Rokiškio r.,2017,1,0
Panevėžio apskritis,2017,1,14
Akmenės r.,2017,1,0
Joniškio r.,2017,1,0
Kelmės r.,2017,1,1
Radviliškio r.,2017,1,0
Šiauliai,2017,1,2
Šiaulių r.,2017,1,0
Šiaulių apskritis,2017,1,3
Jurbarko r.,2017,1,0
Šilalės r.,2017,1,1
Tauragės r.,2017,1,1
Tauragės apskritis,2017,1,2
Mažeikių r.,2017,1,0
Plungės r.,2017,1,0
Telšių r.,2017,1,1
Telšių apskritis,2017,1,1
Anykščių r.,2017,1,0
Ignalinos r.,2017,1,1
Molėtų r.,2017,1,2
Utenos r.,2017,1,1
Visaginas,2017,1,1
Zarasų r.,2017,1,0
Utenos apskritis,2017,1,5
Šalčininkų r.,2017,1,0
Širvintų r.,2017,1,0
Švenčionių r.,2017,1,1
Trakų r.,2017,1,2
Ukmergės r.,2017,1,0
Vilniaus r.,2017,1,2
Vilnius,2017,1,16
Vilniaus apskritis,2017,1,21
Alytaus r.,2017,2,1
Alytus,2017,2,0
Druskininkai,2017,2,1
Lazdijų r.,2017,2,0
Varėnos r.,2017,2,0
Alytaus apskritis,2017,2,2
Birštonas,2017,2,0
Jonavos r.,2017,2,0
Kaišiadorių r.,2017,2,1
Kaunas,2017,2,4
Kauno r.,2017,2,0
Kėdainių r.,2017,2,0
Prienų r.,2017,2,1
Raseinių r.,2017,2,1
Kauno apskritis,2017,2,7
Klaipėda,2017,2,2
Klaipėdos r.,2017,2,0
Kretingos r.,2017,2,1
Neringa,2017,2,0
Palanga,2017,2,0
Šilutės r.,2017,2,0
Skuodo r.,2017,2,0
Klaipėdos apskritis,2017,2,3
Marijampolės r.,2017,2,0
Šakių r.,2017,2,0
Vilkaviškio r.,2017,2,0
Marijampolės apskritis,2017,2,0
Biržų r.,2017,2,1
Kupiškio r.,2017,2,0
Panevėžio r.,2017,2,1
Panevėžys,2017,2,3
Pasvalio r.,2017,2,0
Rokiškio r.,2017,2,0
Panevėžio apskritis,2017,2,5
Akmenės r.,2017,2,0
Joniškio r.,2017,2,0
Kelmės r.,2017,2,0
Radviliškio r.,2017,2,0
Šiauliai,2017,2,0
Šiaulių r.,2017,2,0
Šiaulių apskritis,2017,2,0
Jurbarko r.,2017,2,1
Šilalės r.,2017,2,1
Tauragės r.,2017,2,0
Tauragės apskritis,2017,2,2
Mažeikių r.,2017,2,1
Plungės r.,2017,2,1
Telšių r.,2017,2,0
Telšių apskritis,2017,2,2
Anykščių r.,2017,2,0
Ignalinos r.,2017,2,1
Molėtų r.,2017,2,1
Utenos r.,2017,2,1
Visaginas,2017,2,0
Zarasų r.,2017,2,0
Utenos apskritis,2017,2,3
Šalčininkų r.,2017,2,0
Širvintų r.,2017,2,0
Švenčionių r.,2017,2,0
Trakų r.,2017,2,1
Ukmergės r.,2017,2,0
Vilniaus r.,2017,2,3
Vilnius,2017,2,8
Vilniaus apskritis,2017,2,12
Alytaus r.,2017,3,0
Alytus,2017,3,0
Druskininkai,2017,3,0
Lazdijų r.,2017,3,0
Varėnos r.,2017,3,2
Alytaus apskritis,2017,3,2
Birštonas,2017,3,1
Jonavos r.,2017,3,0
Kaišiadorių r.,2017,3,0
Kaunas,2017,3,0
Kauno r.,2017,3,1
Kėdainių r.,2017,3,0
Prienų r.,2017,3,0
Raseinių r.,2017,3,0
Kauno apskritis,2017,3,2
Klaipėda,2017,3,0
Klaipėdos r.,2017,3,1
Kretingos r.,2017,3,0
Neringa,2017,3,0
Palanga,2017,3,1
Šilutės r.,2017,3,0
Skuodo r.,2017,3,0
Klaipėdos apskritis,2017,3,2
Marijampolės r.,2017,3,0
Šakių r.,2017,3,0
Vilkaviškio r.,2017,3,1
Marijampolės apskritis,2017,3,1
Biržų r.,2017,3,0
Kupiškio r.,2017,3,0
Panevėžio r.,2017,3,2
Panevėžys,2017,3,4
Pasvalio r.,2017,3,0
Rokiškio r.,2017,3,0
Panevėžio apskritis,2017,3,6
Akmenės r.,2017,3,0
Joniškio r.,2017,3,0
Kelmės r.,2017,3,0
Radviliškio r.,2017,3,0
Šiauliai,2017,3,0
Šiaulių r.,2017,3,0
Šiaulių apskritis,2017,3,0
Jurbarko r.,2017,3,0
Šilalės r.,2017,3,0
Tauragės r.,2017,3,0
Tauragės apskritis,2017,3,0
Mažeikių r.,2017,3,0
Plungės r.,2017,3,0
Telšių r.,2017,3,0
Telšių apskritis,2017,3,0
Anykščių r.,2017,3,0
Ignalinos r.,2017,3,0
Molėtų r.,2017,3,1
Utenos r.,2017,3,1
Visaginas,2017,3,0
Zarasų r.,2017,3,0
Utenos apskritis,2017,3,2
Šalčininkų r.,2017,3,0
Širvintų r.,2017,3,1
Švenčionių r.,2017,3,2
Trakų r.,2017,3,0
Ukmergės r.,2017,3,1
Vilniaus r.,2017,3,1
Vilnius,2017,3,9
Vilniaus apskritis,2017,3,14
Alytaus r.,2017,4,0
Alytus,2017,4,0
Druskininkai,2017,4,0
Lazdijų r.,2017,4,0
Varėnos r.,2017,4,1
Alytaus apskritis,2017,4,1
Birštonas,2017,4,0
Jonavos r.,2017,4,0
Kaišiadorių r.,2017,4,0
Kaunas,2017,4,5
Kauno r.,2017,4,0
Kėdainių r.,2017,4,0
Prienų r.,2017,4,2
Raseinių r.,2017,4,0
Kauno apskritis,2017,4,7
Klaipėda,2017,4,0
Klaipėdos r.,2017,4,0
Kretingos r.,2017,4,1
Neringa,2017,4,0
Palanga,2017,4,1
Šilutės r.,2017,4,1
Skuodo r.,2017,4,1
Klaipėdos apskritis,2017,4,4
Marijampolės r.,2017,4,3
Šakių r.,2017,4,0
Vilkaviškio r.,2017,4,0
Marijampolės apskritis,2017,4,3
Biržų r.,2017,4,2
Kupiškio r.,2017,4,0
Panevėžio r.,2017,4,1
Panevėžys,2017,4,2
Pasvalio r.,2017,4,0
Rokiškio r.,2017,4,0
Panevėžio apskritis,2017,4,5
Akmenės r.,2017,4,0
Joniškio r.,2017,4,0
Kelmės r.,2017,4,0
Radviliškio r.,2017,4,2
Šiauliai,2017,4,0
