name,year,month,infections
Alytaus r.,2013,1,0
Alytus,2013,1,0
Druskininkai,2013,1,0
Lazdyjų r.,2013,1,0
Varėnos r.,2013,1,0
Alytaus apskritis,2013,1,0
Birštonas,2013,1,1
Jonavos r.,2013,1,1
Kaišiadorių r.,2013,1,0
Kaunas,2013,1,2
Kauno r.,2013,1,2
Kėdainių r.,2013,1,0
Prienų r.,2013,1,0
Raseinių r.,2013,1,0
Kauno apskritis,2013,1,6
Klaipėda,2013,1,0
Klaipėdos r.,2013,1,1
Kretingos r.,2013,1,1
Neringa,2013,1,0
Palanga,2013,1,1
Šilutės r.,2013,1,0
Skuodo r.,2013,1,0
Klaipėdos apskritis,2013,1,3
Marijampolės r.,2013,1,0
Šakių r.,2013,1,0
Vilkaviškio r.,2013,1,1
Marijampolės apskritis,2013,1,1
Biržų r.,2013,1,0
Kupiškio r.,2013,1,1
Panevėžio r.,2013,1,0
Panevėžys,2013,1,2
Pasvalio r.,2013,1,0
Rokiškio r.,2013,1,0
Panevėžio apskritis,2013,1,3
Akmenės r.,2013,1,0
Joniškio r.,2013,1,1
Kelmės r.,2013,1,0
Radviliškio r.,2013,1,0
Šiauliai,2013,1,2
Šiaulių r.,2013,1,2
Šiaulių apskritis,2013,1,5
Jurbarko r.,2013,1,0
Šilalės r.,2013,1,0
Tauragės r.,2013,1,1
Tauragės apskritis,2013,1,1
Mažeikių r.,2013,1,0
Plungės r.,2013,1,0
Telšių r.,2013,1,0
Telšių apskritis,2013,1,0
Anykščių r.,2013,1,3
Ignalinos r.,2013,1,2
Molėtų r.,2013,1,0
Utenos r.,2013,1,0
Visaginas,2013,1,1
Zarasų r.,2013,1,1
Utenos apskritis,2013,1,7
Šalčininkų r.,2013,1,0
Širvintų r.,2013,1,2
Švenčionių r.,2013,1,1
Trakų r.,2013,1,1
Ukmergės r.,2013,1,1
Vilniaus r.,2013,1,0
Vilnius,2013,1,14
Vilniaus apskritis,2013,1,19
Alytaus r.,2013,2,0
Alytus,2013,2,1
Druskininkai,2013,2,0
Lazdyjų r.,2013,2,0
Varėnos r.,2013,2,0
Alytaus apskritis,2013,2,1
Birštonas,2013,2,0
Jonavos r.,2013,2,1
Kaišiadorių r.,2013,2,0
Kaunas,2013,2,1
Kauno r.,2013,2,0
Kėdainių r.,2013,2,0
Prienų r.,2013,2,0
Raseinių r.,2013,2,2
Kauno apskritis,2013,2,4
Klaipėda,2013,2,0
Klaipėdos r.,2013,2,1
Kretingos r.,2013,2,0
Neringa,2013,2,0
Palanga,2013,2,0
Šilutės r.,2013,2,0
Skuodo r.,2013,2,0
Klaipėdos apskritis,2013,2,1
Marijampolės r.,2013,2,1
Šakių r.,2013,2,0
Vilkaviškio r.,2013,2,0
Marijampolės apskritis,2013,2,1
Biržų r.,2013,2,1
Kupiškio r.,2013,2,2
Panevėžio r.,2013,2,0
Panevėžys,2013,2,0
Pasvalio r.,2013,2,0
Rokiškio r.,2013,2,1
Panevėžio apskritis,2013,2,4
Akmenės r.,2013,2,0
Joniškio r.,2013,2,0
Kelmės r.,2013,2,0
Radviliškio r.,2013,2,0
Šiauliai,2013,2,0
Šiaulių r.,2013,2,0
Šiaulių apskritis,2013,2,0
Jurbarko r.,2013,2,0
Šilalės r.,2013,2,0
Tauragės r.,2013,2,0
Tauragės apskritis,2013,2,0
Mažeikių r.,2013,2,0
Plungės r.,2013,2,0
Telšių r.,2013,2,0
Telšių apskritis,2013,2,0
Anykščių r.,2013,2,1
Ignalinos r.,2013,2,0
Molėtų r.,2013,2,0
Utenos r.,2013,2,0
Visaginas,2013,2,1
Zarasų r.,2013,2,2
Utenos apskritis,2013,2,4
Šalčininkų r.,2013,2,0
Širvintų r.,2013,2,1
Švenčionių r.,2013,2,1
Trakų r.,2013,2,4
Ukmergės r.,2013,2,0
Vilniaus r.,2013,2,2
Vilnius,2013,2,11
Vilniaus apskritis,2013,2,19
Alytaus r.,2013,3,0
Alytus,2013,3,0
Druskininkai,2013,3,0
Lazdyjų r.,2013,3,0
Varėnos r.,2013,3,0
Alytaus apskritis,2013,3,0
Birštonas,2013,3,0
Jonavos r.,2013,3,0
Kaišiadorių r.,2013,3,0
Kaunas,2013,3,2
Kauno r.,2013,3,0
Kėdainių r.,2013,3,0
Prienų r.,2013,3,0
Raseinių r.,2013,3,0
Kauno apskritis,2013,3,2
Klaipėda,2013,3,0
Klaipėdos r.,2013,3,1
Kretingos r.,2013,3,0
Neringa,2013,3,0
Palanga,2013,3,0
Šilutės r.,2013,3,2
Skuodo r.,2013,3,0
Klaipėdos apskritis,2013,3,3
Marijampolės r.,2013,3,0
Šakių r.,2013,3,0
Vilkaviškio r.,2013,3,0
Marijampolės apskritis,2013,3,0
Biržų r.,2013,3,0
Kupiškio r.,2013,3,0
Panevėžio r.,2013,3,0
Panevėžys,2013,3,0
Pasvalio r.,2013,3,0
Rokiškio r.,2013,3,1
Panevėžio apskritis,2013,3,1
Akmenės r.,2013,3,0
Joniškio r.,2013,3,0
Kelmės r.,2013,3,0
Radviliškio r.,2013,3,0
Šiauliai,2013,3,0
Šiaulių r.,2013,3,0
Šiaulių apskritis,2013,3,0
Jurbarko r.,2013,3,0
Šilalės r.,2013,3,0
Tauragės r.,2013,3,0
Tauragės apskritis,2013,3,0
Mažeikių r.,2013,3,1
Plungės r.,2013,3,0
Telšių r.,2013,3,0
Telšių apskritis,2013,3,1
Anykščių r.,2013,3,2
Ignalinos r.,2013,3,1
Molėtų r.,2013,3,0
Utenos r.,2013,3,0
Visaginas,2013,3,0
Zarasų r.,2013,3,1
Utenos apskritis,2013,3,4
Šalčininkų r.,2013,3,0
Širvintų r.,2013,3,0
Švenčionių r.,2013,3,1
Trakų r.,2013,3,1
Ukmergės r.,2013,3,0
Vilniaus r.,2013,3,1
Vilnius,2013,3,11
Vilniaus apskritis,2013,3,14
Alytaus r.,2013,4,0
Alytus,2013,4,0
Druskininkai,2013,4,0
Lazdyjų r.,2013,4,0
Varėnos r.,2013,4,1
Alytaus apskritis,2013,4,1
Birštonas,2013,4,0
Jonavos r.,2013,4,1
Kaišiadorių r.,2013,4,0
Kaunas,2013,4,2
Kauno r.,2013,4,0
Kėdainių r.,2013,4,0
Prienų r.,2013,4,0
Raseinių r.,2013,4,0
Kauno apskritis,2013,4,3
Klaipėda,2013,4,0
Klaipėdos r.,2013,4,0
Kretingos r.,2013,4,1
Neringa,2013,4,0
Palanga,2013,4,0
Šilutės r.,2013,4,0
Skuodo r.,2013,4,0
Klaipėdos apskritis,2013,4,1
