name,year,month,infections
Alytaus r.,2015,1,0
Alytus,2015,1,0
Druskininkai,2015,1,0
Lazdyjų r.,2015,1,0
Varėnos r.,2015,1,1
Alytaus apskritis,2015,1,1
Birštonas,2015,1,0
Jonavos r.,2015,1,3
Kaišiadorių r.,2015,1,0
Kaunas,2015,1,5
Kauno r.,2015,1,2
Kėdainių r.,2015,1,0
Prienų r.,2015,1,1
Raseinių r.,2015,1,2
Kauno apskritis,2015,1,13
Klaipėda,2015,1,0
Klaipėdos r.,2015,1,1
Kretingos r.,2015,1,0
Neringa,2015,1,0
Palanga,2015,1,0
Šilutės r.,2015,1,0
Skuodo r.,2015,1,0
Klaipėdos apskritis,2015,1,1
Marijampolės r.,2015,1,1
Šakių r.,2015,1,0
Vilkaviškio r.,2015,1,0
Marijampolės apskritis,2015,1,1
Biržų r.,2015,1,0
Kupiškio r.,2015,1,1
Panevėžio r.,2015,1,1
Panevėžys,2015,1,2
Pasvalio r.,2015,1,0
Rokiškio r.,2015,1,0
Panevėžio apskritis,2015,1,4
Akmenės r.,2015,1,0
Joniškio r.,2015,1,1
Kelmės r.,2015,1,0
Radviliškio r.,2015,1,1
Šiauliai,2015,1,5
Šiaulių r.,2015,1,2
Šiaulių apskritis,2015,1,10
Jurbarko r.,2015,1,0
Šilalės r.,2015,1,0
Tauragės r.,2015,1,0
Tauragės apskritis,2015,1,0
Mažeikių r.,2015,1,0
Plungės r.,2015,1,0
Telšių r.,2015,1,0
Telšių apskritis,2015,1,0
Anykščių r.,2015,1,0
Ignalinos r.,2015,1,0
Molėtų r.,2015,1,0
Utenos r.,2015,1,4
Visaginas,2015,1,0
Zarasų r.,2015,1,0
Utenos apskritis,2015,1,4
Šalčininkų r.,2015,1,0
Širvintų r.,2015,1,0
Švenčionių r.,2015,1,0
Trakų r.,2015,1,3
Ukmergės r.,2015,1,1
Vilniaus r.,2015,1,3
Vilnius,2015,1,10
Vilniaus apskritis,2015,1,17
Alytaus r.,2015,2,0
Alytus,2015,2,0
Druskininkai,2015,2,0
Lazdyjų r.,2015,2,0
Varėnos r.,2015,2,1
Alytaus apskritis,2015,2,1
Birštonas,2015,2,0
Jonavos r.,2015,2,0
Kaišiadorių r.,2015,2,1
Kaunas,2015,2,1
Kauno r.,2015,2,1
Kėdainių r.,2015,2,0
Prienų r.,2015,2,0
Raseinių r.,2015,2,1
Kauno apskritis,2015,2,4
Klaipėda,2015,2,1
Klaipėdos r.,2015,2,0
Kretingos r.,2015,2,0
Neringa,2015,2,0
Palanga,2015,2,0
Šilutės r.,2015,2,0
Skuodo r.,2015,2,1
Klaipėdos apskritis,2015,2,2
Marijampolės r.,2015,2,0
Šakių r.,2015,2,0
Vilkaviškio r.,2015,2,1
Marijampolės apskritis,2015,2,1
Biržų r.,2015,2,1
Kupiškio r.,2015,2,1
Panevėžio r.,2015,2,0
Panevėžys,2015,2,2
Pasvalio r.,2015,2,0
Rokiškio r.,2015,2,0
Panevėžio apskritis,2015,2,4
Akmenės r.,2015,2,0
Joniškio r.,2015,2,0
Kelmės r.,2015,2,0
Radviliškio r.,2015,2,3
Šiauliai,2015,2,2
Šiaulių r.,2015,2,1
Šiaulių apskritis,2015,2,6
Jurbarko r.,2015,2,0
Šilalės r.,2015,2,0
Tauragės r.,2015,2,2
Tauragės apskritis,2015,2,2
Mažeikių r.,2015,2,0
Plungės r.,2015,2,0
Telšių r.,2015,2,2
Telšių apskritis,2015,2,2
Anykščių r.,2015,2,3
Ignalinos r.,2015,2,0
Molėtų r.,2015,2,2
Utenos r.,2015,2,1
Visaginas,2015,2,0
Zarasų r.,2015,2,0
Utenos apskritis,2015,2,6
Šalčininkų r.,2015,2,0
Širvintų r.,2015,2,2
Švenčionių r.,2015,2,0
Trakų r.,2015,2,1
Ukmergės r.,2015,2,0
Vilniaus r.,2015,2,1
Vilnius,2015,2,7
Vilniaus apskritis,2015,2,11
Alytaus r.,2015,3,0
Alytus,2015,3,0
Druskininkai,2015,3,0
Lazdyjų r.,2015,3,1
Varėnos r.,2015,3,0
Alytaus apskritis,2015,3,1
Birštonas,2015,3,0
Jonavos r.,2015,3,0
Kaišiadorių r.,2015,3,0
Kaunas,2015,3,0
Kauno r.,2015,3,0
Kėdainių r.,2015,3,0
Prienų r.,2015,3,0
Raseinių r.,2015,3,0
Kauno apskritis,2015,3,0
Klaipėda,2015,3,0
Klaipėdos r.,2015,3,0
Kretingos r.,2015,3,0
Neringa,2015,3,0
Palanga,2015,3,0
Šilutės r.,2015,3,0
Skuodo r.,2015,3,0
Klaipėdos apskritis,2015,3,0
