name,year,month,infections
Alytaus apskritis,2009,1,0
Alytus,2009,1,0
Druskininkai,2009,1,0
Alytaus r.,2009,1,0
Lazdijų r.,2009,1,0
Varėnos r.,2009,1,0
Kauno apskritis,2009,1,2
Kaunas,2009,1,2
Jonavos r.,2009,1,0
Kaišiadorių r.,2009,1,0
Kauno r.,2009,1,0
Kėdainių r.,2009,1,0
Prienų r.,2009,1,0
Raseinių r.,2009,1,0
Klaipėdos apskritis,2009,1,1
Klaipėda,2009,1,0
Palanga,2009,1,0
Klaipėdos r.,2009,1,1
Kretingos r.,2009,1,0
Skuodo r.,2009,1,0
Šilutės r.,2009,1,0
Marijampolės apskritis,2009,1,2
Marijampolės r.,2009,1,2
Šakių r.,2009,1,0
Vilkaviškio r.,2009,1,0
Panevėžio apskritis,2009,1,9
Panevėžys,2009,1,3
Biržų r.,2009,1,0
Kupiškio r.,2009,1,1
Panevėžio r.,2009,1,2
Pasvalio r.,2009,1,1
Rokiškio r.,2009,1,2
Šiaulių apskritis,2009,1,6
Šiauliai,2009,1,3
Akmenės r.,2009,1,1
Joniškio r.,2009,1,0
Kelmės r.,2009,1,2
Radviliškio r.,2009,1,0
Šiaulių r.,2009,1,0
Tauragės apskritis,2009,1,4
Jurbarko r.,2009,1,0
Šilalės r.,2009,1,1
Tauragės r.,2009,1,3
Telšių apskritis,2009,1,2
Mažeikių r.,2009,1,0
Plungės r.,2009,1,0
Telšių r.,2009,1,2
Utenos apskritis,2009,1,3
Visaginas,2009,1,0
Anykščių r.,2009,1,0
Ignalinos r.,2009,1,0
Molėtų r.,2009,1,0
Utenos r.,2009,1,3
Zarasų r.,2009,1,0
Vilniaus apskritis,2009,1,8
Vilnius,2009,1,6
Šalčininkų r.,2009,1,0
Širvintų r.,2009,1,2
Švenčionių r.,2009,1,0
Ukmergės r.,2009,1,0
Vilniaus r.,2009,1,0
Trakų r.,2009,1,2
Alytaus apskritis,2009,2,4
Alytus,2009,2,1
Druskininkai,2009,2,0
Alytaus r.,2009,2,2
Lazdijų r.,2009,2,0
Varėnos r.,2009,2,1
Kauno apskritis,2009,2,2
