name,year,month,infections
Alytaus r.,2012,1,0
Alytus,2012,1,4
Druskininkai,2012,1,0
Lazdyjų r.,2012,1,0
Varėnos r.,2012,1,0
Alytaus apskritis,2012,1,4
Birštonas,2012,1,1
Jonavos r.,2012,1,3
Kaišiadorių r.,2012,1,0
Kaunas,2012,1,9
Kauno r.,2012,1,1
Kėdainių r.,2012,1,0
Prienų r.,2012,1,0
Raseinių r.,2012,1,0
Kauno apskritis,2012,1,14
Klaipėda,2012,1,1
Klaipėdos r.,2012,1,0
Kretingos r.,2012,1,1
Neringa,2012,1,0
Palanga,2012,1,2
Šilutės r.,2012,1,2
Skuodo r.,2012,1,0
Klaipėdos apskritis,2012,1,6
Marijampolės r.,2012,1,0
Šakių r.,2012,1,0
Vilkaviškio r.,2012,1,0
Marijampolės apskritis,2012,1,0
Biržų r.,2012,1,1
Kupiškio r.,2012,1,1
Panevėžio r.,2012,1,1
Panevėžys,2012,1,3
Pasvalio r.,2012,1,0
Rokiškio r.,2012,1,0
Panevėžio apskritis,2012,1,6
Akmenės r.,2012,1,0
Joniškio r.,2012,1,0
Kelmės r.,2012,1,0
Radviliškio r.,2012,1,0
Šiauliai,2012,1,7
Šiaulių r.,2012,1,1
Šiaulių apskritis,2012,1,8
Jurbarko r.,2012,1,0
Šilalės r.,2012,1,1
Tauragės r.,2012,1,3
Tauragės apskritis,2012,1,4
Mažeikių r.,2012,1,2
Plungės r.,2012,1,1
Telšių r.,2012,1,2
Telšių apskritis,2012,1,5
Anykščių r.,2012,1,1
Ignalinos r.,2012,1,0
Molėtų r.,2012,1,1
Utenos r.,2012,1,2
Visaginas,2012,1,0
Zarasų r.,2012,1,1
Utenos apskritis,2012,1,5
Šalčininkų r.,2012,1,0
Širvintų r.,2012,1,0
Švenčionių r.,2012,1,1
Trakų r.,2012,1,2
Ukmergės r.,2012,1,0
Vilniaus r.,2012,1,4
Vilnius,2012,1,15
Vilniaus apskritis,2012,1,22
Alytaus r.,2012,2,0
Alytus,2012,2,0
Druskininkai,2012,2,0
Lazdyjų r.,2012,2,0
Varėnos r.,2012,2,1
Alytaus apskritis,2012,2,1
Birštonas,2012,2,0
Jonavos r.,2012,2,0
Kaišiadorių r.,2012,2,0
Kaunas,2012,2,2
Kauno r.,2012,2,0
Kėdainių r.,2012,2,0
Prienų r.,2012,2,0
Raseinių r.,2012,2,0
Kauno apskritis,2012,2,2
Klaipėda,2012,2,0
Klaipėdos r.,2012,2,0
Kretingos r.,2012,2,0
Neringa,2012,2,0
Palanga,2012,2,0
Šilutės r.,2012,2,0
Skuodo r.,2012,2,0
Klaipėdos apskritis,2012,2,0
Marijampolės r.,2012,2,2
Šakių r.,2012,2,0
Vilkaviškio r.,2012,2,0
Marijampolės apskritis,2012,2,2
Biržų r.,2012,2,0
Kupiškio r.,2012,2,0
Panevėžio r.,2012,2,0
Panevėžys,2012,2,1
Pasvalio r.,2012,2,0
Rokiškio r.,2012,2,0
Panevėžio apskritis,2012,2,1
Akmenės r.,2012,2,0
Joniškio r.,2012,2,1
Kelmės r.,2012,2,0
Radviliškio r.,2012,2,0
Šiauliai,2012,2,0
Šiaulių r.,2012,2,0
Šiaulių apskritis,2012,2,1
Jurbarko r.,2012,2,0
Šilalės r.,2012,2,0
Tauragės r.,2012,2,1
Tauragės apskritis,2012,2,1
Mažeikių r.,2012,2,1
Plungės r.,2012,2,0
Telšių r.,2012,2,0
Telšių apskritis,2012,2,1
